"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"The Employers Liability Assurance Corporation Limited","000069F"," ","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CvaYrfH39P%2fBwxbEb3TT3w%3d%3d","2024-04-28"
"The Fatstock Marketing Corporation Limited","000121F"," ","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2w8xx%2bVYbI1ERaN5ej1mUA%3d%3d","2024-04-28"
"Sharmayne Textile Corporation Limited","001553C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=BIp%2fKzIKHEFZh31MVfTOgQ%3d%3d","2024-04-28"
"Vannin Investment Corporation Limited","007234C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=XnDpeYzkANUVl9TIKwwRdw%3d%3d","2024-04-28"
"The Wigan Coal Corporation Limited","000018F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xRVAuf5%2fXs39zxoGm1Wsmg%3d%3d","2024-04-28"
"The Motor Traders Guarantee Corporation Limited","000048F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=NPrGaPO0rbd7TW5FoQViyg%3d%3d","2024-04-28"
"The Ocean Accident and Guarantee Corporation Limited","000071F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wWD0ZzvyIK58RMK6Pk4QZg%3d%3d","2024-04-28"
"Debenture Trust Corporation Limited","000114C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CayLzn8Sfh0MlgI2PatXLg%3d%3d","2024-04-28"
"Standard Contract and Debenture Corporation Limited","000117C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uj8a9Ml510Y1gJtB0Vs5kw%3d%3d","2024-04-28"
"Royal Trusts Assets and Securities Insurance Corporation Limited","000128C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ezJuzknNOrrVdUlT2ANTIA%3d%3d","2024-04-28"
"Imperial Debenture Corporation Limited","000130C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=tXKTqdt7%2bye%2fynjxrzBE4g%3d%3d","2024-04-28"
"English and Scottish Securities Insurance Corporation Limited","000142C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=SQr59eTC2BjPTQ8Pp9%2bUgg%3d%3d","2024-04-28"
"The Securities Guarantee and Investment Corporation Limited","000143C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hgL7VU7snak8k43VU3u3Hg%3d%3d","2024-04-28"
"The Employers' Liability Assurance Corporation Limited","000204F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=47Nn2m9jFgtsgX5icBX7Bg%3d%3d","2024-04-28"
"The Investment Corporation Limited","000259C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OPfPjO%2f8V%2f0JNFWyq4KWZg%3d%3d","2024-04-28"
"Australian Corporation Limited","000290C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=3V2nJ7K3Yz2OmkcUOobrbQ%3d%3d","2024-04-28"
"Ballymena and Coleraine Corporation Limited","000395C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZgHr9a%2bYh8WuD78QeSLNKg%3d%3d","2024-04-28"
"Belize Orient Corporation Limited","000501F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=DXoqqP%2bYlKyy9%2bPVJphS2g%3d%3d","2024-04-28"
"Cyclomat Dominions Corporation Limited","001051C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wMJZtodyQ8Q2Y%2b1Js5%2bRSQ%3d%3d","2024-04-28"
"Unitas Corporation Limited","001174C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fvCvi3OB0UKRihLRsII99g%3d%3d","2024-04-28"
"Northern Airways Corporation Limited","001194C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=aoiY7UeYi8d%2fCUDH%2fBLPRg%3d%3d","2024-04-28"
"Isle of man Property Corporation Limited","001721C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=doafY8o%2fHUahoA8i5YwL%2bg%3d%3d","2024-04-28"
"Goulston Banking and Investment Corporation Limited","001768C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=MsxPI6jbyGy0yZi1v3hXlg%3d%3d","2024-04-28"
"Ellan Vannin Investment Corporation Limited","001902C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=sOQfTMloonnAzYiL7zEB%2bg%3d%3d","2024-04-28"
"Windsor Banking Corporation Limited","001988C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=D2KSZAxQu%2bff0xkn7TxiQw%3d%3d","2024-04-28"
"The Manx Development Corporation Limited","001993C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lfv2Iu9jXB4iNEj9nV2fRQ%3d%3d","2024-04-28"
"John Duff Agricultural Credit Corporation Limited","002614C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=taP2SjRRrtKl%2fJMpJFW1Zw%3d%3d","2024-04-28"
"Agricultural Insurance Corporation Limited","002860C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=3jN97mYcjYz1cyl%2bmgQnGw%3d%3d","2024-04-28"
"International Drill-Torque Corporation Limited","003284C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hIJuqdzzJl2NGBU3jgGDPg%3d%3d","2024-04-28"
"Douglas and overseas Finance Corporation Limited","007083C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2f3Gn5nOSjhZu%2bqRCD05gDw%3d%3d","2024-04-28"
"Ocean Investment Corporation Limited","007234C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=XnDpeYzkANUVl9TIKwwRdw%3d%3d","2024-04-28"
"International Trust Corporation","007299B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=RGc1hSKRwb6kYHQ4zVCGgg%3d%3d","2024-04-28"
"Corpex Investment Advisors Limited","014948C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=YMa2A2jSMmoZhUNFbELaKA%3d%3d","2024-04-28"
"First Marine Corporate Investments Limited","026513C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=d0gyaa2Q9cyhFBwirG%2fTBw%3d%3d","2024-04-28"
"The Elim Trust Corporation","000420F","7 Aug 1934","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=D%2busSDj2Xv38AdxZYKGiug%3d%3d","2024-04-28"
"General Accident Fire and Life Assurance Corporation Limited","000049F","22 Jan 1937","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KBLSD%2fze%2b6rXMG0s%2fKqv4g%3d%3d","2024-04-28"
"General Accident Fire and Life Assurance Corporation Public Limited Company","000049F","22 Jan 1937","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KBLSD%2fze%2b6rXMG0s%2fKqv4g%3d%3d","2024-04-28"
"British European Airways Corporation","000076F","6 Mar 1948","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=7HJywXurQnOwTvr2%2bCqMiQ%3d%3d","2024-04-28"
"Credit Corporation (I. Of M.) Limited","001283C","3 Jul 1952","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=o%2b9xzTmReh3gIAYmpGYtvg%3d%3d","2024-04-28"
"British Shoe Corporation Limited","000125F","7 Apr 1956","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5tRfCPpxnOkDDsmZGuEdkg%3d%3d","2024-04-28"
"General Mercantile Corporation","020079V","10 Feb 1964","Live","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=SI9EUNZQNME9cAMBcb%2bXog%3d%3d","2024-04-28"
"The Corporation Trust Limited","002419C","2 Mar 1968","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=dvQQXu68%2f2OrReqgFRHWHw%3d%3d","2024-04-28"
"International Finance & Trust Corporation Limited","002722C","18 Feb 1969","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ONMWROb3Hi%2fZPFWeT5caXg%3d%3d","2024-04-28"
"WEST CORPORATION LIMITED","002975C","29 Sep 1969","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=knRt2iZhIB2F7bFkWdUoPw%3d%3d","2024-04-28"
"WEST CORPORATION","002975C","29 Sep 1969","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=knRt2iZhIB2F7bFkWdUoPw%3d%3d","2024-04-28"
"The West Corporation","002975C","29 Sep 1969","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=knRt2iZhIB2F7bFkWdUoPw%3d%3d","2024-04-28"
"EQUIOM CORPORATION LIMITED","002975C","29 Sep 1969","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=knRt2iZhIB2F7bFkWdUoPw%3d%3d","2024-04-28"
"Isle of Man & Overseas Estates Corporation Limited","003085C","28 Jan 1970","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Qn%2fAhRu4wbczySjONRLc%2bA%3d%3d","2024-04-28"
"NatWest International Trust Corporation (Man) Limited","003225C","4 Jun 1970","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=slqr6yEKrclqxQbcS6ViZw%3d%3d","2024-04-28"
"Airways Corporations Joint Pension Fund Trustees Limited","000212F","23 Jun 1970","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=NDdHqkvm%2fVNAtK3iJmIZyw%3d%3d","2024-04-28"
"Corpach Limited","003633C","29 Jun 1971","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hIocAVTjhfIxznjp2f5oSg%3d%3d","2024-04-28"
"Lennard Corporate Services Limited","003827C","28 Jul 1971","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=79mb9dPRtN%2f2J9TZne6Eow%3d%3d","2024-04-28"
"Onchan Estates Corporation Limited","004262C","9 May 1972","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5SqR%2fASWlQp2DVZ5ugkA5g%3d%3d","2024-04-28"
"Chequepoint Corporation Limited","006146C","10 Aug 1973","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GZevk1ui0iQeEBI3jCngDQ%3d%3d","2024-04-28"
"REPADRE INTERNATIONAL CORPORATION","013189V","17 Feb 1974","Dissolved","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=a%2feH9oWR9hFtk5ZreN8Mbg%3d%3d","2024-04-28"
"Midland Bank Trust Corporation (Isle of Man) Limited","006953C","18 Sep 1974","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=mNSH8OdFngIL7BBe%2bcN6vg%3d%3d","2024-04-28"
"HSBC Trust Corporation (Isle of Man) Limited","006953C","18 Sep 1974","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=mNSH8OdFngIL7BBe%2bcN6vg%3d%3d","2024-04-28"
"QUADRANT CORPORATE LIMITED","014161V","7 Nov 1974","Discontinued","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=YsfKqRN68whi1p1KYp%2fSLw%3d%3d","2024-04-28"
"Transatlantic Trust Corporation","000268F","17 Apr 1975","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KsWKeAU1MAbF5X2m67ERtA%3d%3d","2024-04-28"
"LASKER TRADING CORPORATION","005966F","22 Sep 1975","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UUfnlyxRiZN7C053qn0jSQ%3d%3d","2024-04-28"
"Corporative Administration Services","003175B","7 Jan 1976","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZpnKOPDj5Rh3LCmCPZKe0w%3d%3d","2024-04-28"
"International Corporate Services Limited","009049C","14 Mar 1977","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GYcOS6HonyaotUIm505ajg%3d%3d","2024-04-28"
"Select Corporate Services Limited","009049C","14 Mar 1977","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GYcOS6HonyaotUIm505ajg%3d%3d","2024-04-28"
"Cornwallis Investment Corporation Limited","009461C","20 Jun 1977","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=gknOeoAi4%2bO4uZ3k6JvUcQ%3d%3d","2024-04-28"
"Gentrex Corporate Services Limited","010178C","16 Nov 1977","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=yCkOsTDeZsYaq7mm5YOC6g%3d%3d","2024-04-28"
"Securities and Exchange Corporation Limited","010938C","31 Mar 1978","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=PZpvuckHVccaC5Pnp2pzzA%3d%3d","2024-04-28"
"Corporate Textiles Limited","011173C","4 May 1978","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IARvVisB%2bOLO6%2fnEKkVfUQ%3d%3d","2024-04-28"
"ANGLO IRISH CORPORATE SERVICES LIMITED","011528C","3 Aug 1978","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OjCdLJW23zXT8kREGyNvcg%3d%3d","2024-04-28"
"Ernst & Young Corporate Services Limited","011528C","3 Aug 1978","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OjCdLJW23zXT8kREGyNvcg%3d%3d","2024-04-28"
"EQUIOM CORPORATE SERVICES LIMITED","011528C","3 Aug 1978","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OjCdLJW23zXT8kREGyNvcg%3d%3d","2024-04-28"
"Corporate Direction Limited","011577C","9 Aug 1978","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0%2fhO3jvALvDGxUhit4wecw%3d%3d","2024-04-28"
"FERRANTE CORPORATION LIMITED","017852V","11 Aug 1978","Live","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2btg4gJoqFm7u049bkV150A%3d%3d","2024-04-28"
"Jorvik Corporate Trust Services Limited","012065C","20 Nov 1978","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Hf5UjZWWD8dj0SluTAhwaQ%3d%3d","2024-04-28"
"Telmar Corporation Limited","012560C","22 Feb 1979","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=gFmCyd%2bVvmt820AvEdqCtA%3d%3d","2024-04-28"
"The Kingdom Motion Picture Corporation Limited","013357C","26 Apr 1979","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=3s19e%2buPerQY0W7P20hZuQ%3d%3d","2024-04-28"
"Signet Corporate Company Secretaries Limited","013631C","21 Jun 1979","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hBLRvcN5mrGvqYo9HkxCOQ%3d%3d","2024-04-28"
"TOLNORD CORPORATION","014876V","12 Jul 1979","Live","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZpEoyLHQfoM%2f02ldw5fb9w%3d%3d","2024-04-28"
"Aston Corporate Management Limited","014125C","28 Sep 1979","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fsb4zOmB1p6oYNTpzsnMXg%3d%3d","2024-04-28"
"The Revco Trust Corporation","014176C","8 Oct 1979","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lnIJdVoDhqQ6w6xvdxby1Q%3d%3d","2024-04-28"
"Molyneux Roche Corporation Limited","014436C","14 Nov 1979","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UInYdjKCdDfOgTVjDJFZZw%3d%3d","2024-04-28"
"Jersey International Trust Corporation Limited","000346F","14 Jan 1980","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Y3zQjJdozIbae9doZ%2fEZ5w%3d%3d","2024-04-28"
"Island Corporate Services Limited","016340C","18 Sep 1980","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=72ZVCCx0sJZewPKZC%2bgG6Q%3d%3d","2024-04-28"
"Natwest International Trust Corporation (Isle of Man) Limited","016391C","30 Sep 1980","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iwyOyc3%2flylvKaA6EGpeZQ%3d%3d","2024-04-28"
"Roywest Trust Corporation (Isle Of Man) Limited","016391C","30 Sep 1980","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iwyOyc3%2flylvKaA6EGpeZQ%3d%3d","2024-04-28"
"Gulf Banking and Trust Corporation Limited","000361F","7 Nov 1980","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Dtki0OyiDwq9ukaZzfKyNw%3d%3d","2024-04-28"
"Intercontinental Corporate Limited","016923C","22 Dec 1980","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2bad550XqeAih31Ib9sCOw%3d%3d","2024-04-28"
"Langtry Corporate Services (I.O.M.) Limited","018248C","5 Aug 1981","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=4trQQtPX92RFK%2bvffh4UWQ%3d%3d","2024-04-28"
"Advanced Airship Corporation Limited","018704C","13 Oct 1981","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2DEwwgllgLEJ%2foDrTx4BMA%3d%3d","2024-04-28"
"WARREGO CORPORATION INC.","015860V","12 Apr 1982","Dissolved","2006 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ncf6S2nIZSLWiVEhf6N3lQ%3d%3d","2024-04-28"
"European Corporate Services (Isle Of Man) Limited","020097C","14 May 1982","Live","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ib27YmTzcmDAXPcq93Xm%2fg%3d%3d","2024-04-28"
"Lindum Corporation (IOM) Limited","020524C","5 Aug 1982","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=h7QXP7G8dhehEGSSaNGQfg%3d%3d","2024-04-28"
"Corporate Finance Limited","021587C","22 Mar 1983","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=LKU5zohJLBXAPyzivv3Y1Q%3d%3d","2024-04-28"
