"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"The Employers Liability Assurance Corporation Limited","000069F"," ","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CvaYrfH39P%2fBwxbEb3TT3w%3d%3d","2024-04-29"
"Nestles Products (Eastern) Co. Limited","000073F"," ","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hDbsIIf%2bD%2bkGK%2bnRZW81wA%3d%3d","2024-04-29"
"Douglas and Laxey Coast Electric Tramway Limited","000160C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UgYAqjUOrrZGoAqrsW6gnA%3d%3d","2024-04-29"
"Express Photographic Service","000177B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=llhQE6Hc609Juhlw6%2bcJIw%3d%3d","2024-04-29"
"Manx Electric Railway Company Limited","000241C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lSzF%2fJBl3imXxuc4YLQBWQ%3d%3d","2024-04-29"
"Etomic Products Co.","000644B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=r5WcW%2fPVfTEcgKCu55HPPA%3d%3d","2024-04-29"
"Milntown Estates Limited","000880C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fBqfYqN%2bM1gBtEPzfbC3Qg%3d%3d","2024-04-29"
"The Ayre Engineering Company Limited","001054C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wV8jgYswjDMo4uvwNlftCA%3d%3d","2024-04-29"
"Empress Hotel Limited","001095C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=nts0rmHJ8Xk7dIfVdW1Y0g%3d%3d","2024-04-29"
"Ellan Vannin Crisps Limited","001144C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=N8MBdHytYWeq%2bE6loLbpiA%3d%3d","2024-04-29"
"Davies Engineering Limited","001373C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=f%2fxvGNM4rlvTg2bzvoy%2fxw%3d%3d","2024-04-29"
"Respirex Osxygen Equipment Co. Limited","001645C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=8fzxiQNX20qc1KQdVHBBBw%3d%3d","2024-04-29"
"Eletype LImited","001957C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=tSYcMLJcnXXvVXYZWU5Enw%3d%3d","2024-04-29"
"Manx Expresso Limited","002014C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Yl9lQft6lFnTLsIGJHCzdQ%3d%3d","2024-04-29"
"Manx Motor Engineers Limited","002025C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5kDNTxdJzp5RD%2bJ9ttmw%2fg%3d%3d","2024-04-29"
"Mila Estates Limited","002203C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=NuospxRrzxUQ9wLImY2B5g%3d%3d","2024-04-29"
"Padua Enterprises Limited","002307C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=1m21iqF0RWdbSaoT7mGVng%3d%3d","2024-04-29"
"Sizzler Enterprises Limited","002893C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=AVPmxaVf1xTy9juT6uP%2bpg%3d%3d","2024-04-29"
"Mona Electric Services Limited","003029C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vsFqzZyo9e4BBRFi4mEfNw%3d%3d","2024-04-29"
"Moore Engineering Limited","003321C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9tmzGxU9d5PUKwFDLZ87mw%3d%3d","2024-04-29"
"Marine Enterprises (Port St Mary) Limited","004150C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=PSLMJS%2fOAB7jc%2f%2bHUxJgeA%3d%3d","2024-04-29"
"Etcetera Design & Development Limited","005323C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ua27i18%2fwZ3l%2fjvZkgShOA%3d%3d","2024-04-29"
"Cook & Walker (Electrics) Limited","006279C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=x77lf1%2fVTF%2bmKlX6FwqG6A%3d%3d","2024-04-29"
"Pendleton Import Export Limited","007197C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uOkm0yeCQ5aZcULJ0oSMig%3d%3d","2024-04-29"
"Vig Estates Limited","007397C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZhP7UEehSgKCosVz5JA0AA%3d%3d","2024-04-29"
"Howe Engineering Limited","007973C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KzsHx3sd7JkV64K36HszFA%3d%3d","2024-04-29"
"Eurofeeds Limited","009938C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ten4l7bkzyBW2OFwFl5%2fOg%3d%3d","2024-04-29"
"Protech Engineering Limited","010128C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xCvRmW7s9IkT9QvisXlDBw%3d%3d","2024-04-29"
"Zettox Electronics Limited","010429C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=bGvF6Ibt3dLs3EDaVyQ3Ew%3d%3d","2024-04-29"
"Holiday Coin Exchange Limited","013196C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=IxT1Jsv5YaZG6ZXQg637RQ%3d%3d","2024-04-29"
"Ellmore Properties Limited","015401C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=DvrAcXvYbnclOT56VzieOA%3d%3d","2024-04-29"
"Easibrew Limited","016354C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=1kr%2bsla2Dfams96VnBcfIw%3d%3d","2024-04-29"
"Elistha Holding and Management Company Limited","017595C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KQjLYIZ6485iJI6w%2fWtG4A%3d%3d","2024-04-29"
"Edward Qualtrough","000006B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=eFlLruZ3MgdsImBrHWvKGA%3d%3d","2024-04-29"
"Port-E-Vullen Slab and Slate Quarry Company Limited","000017C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=z3rWFG30xXLr%2bJh0vDRTYg%3d%3d","2024-04-29"
"The Old Laxey Equitable Cooperative Society Limited","000030C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WrhyWLxbR%2f%2fg6fHP7%2fD5DA%3d%3d","2024-04-29"
"The Glen Helen Hotel and Estate Company Limited","000036C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=nCN3DX4nR%2fpODao9hqNjNg%3d%3d","2024-04-29"
"E. Cubbon & Son","000047B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=EPRlsriPoA%2ba%2fyUClVsIkg%3d%3d","2024-04-29"
"The Erskine Clothing Manufacturing Company Limited","000052F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iMF%2bO3iGlJmFF9wt1T%2b2Xg%3d%3d","2024-04-29"
"Elac Insurance Company Limited","000069F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CvaYrfH39P%2fBwxbEb3TT3w%3d%3d","2024-04-29"
"The Port Erin Water Works Company Limited","000070C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KWwQ%2bBqTsvDwplN3ys6dQQ%3d%3d","2024-04-29"
"Nestle' (Export) Co. Limited","000073F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hDbsIIf%2bD%2bkGK%2bnRZW81wA%3d%3d","2024-04-29"
"Port Erin Gaslight and Aerated Waters Company Limited","000079C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=yMznP6BdeUb8dtDP1Mn%2fSw%3d%3d","2024-04-29"
"Hollandia Milk Export Co. Limited","000079F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2faF4N5%2b5%2bbguZj3uQfub1Q%3d%3d","2024-04-29"
"E. Clarke","000085B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=1rS%2frwG7iqVhEtHGhNqHtw%3d%3d","2024-04-29"
