"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Foundation Limited","001574C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vzbRCC15uFJRJW8SVI2iKQ%3d%3d","2024-04-28"
"High Flight Foundation","014794C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=1teF6N%2bOlyiza%2bvR2zXZVA%3d%3d","2024-04-28"
"BRITISH HEART FOUNDATION","006201F","28 Jul 1961","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=VNgDASbJlU8h7wFRz20E9A%3d%3d","2024-04-28"
"Foundation Techniques Limited","008670C","18 Oct 1976","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2jTNPq5%2fiRH%2bp3LrnbsXcg%3d%3d","2024-04-28"
"Pain Relief Foundation","011607C","15 Aug 1978","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=4gqdjr3xolNWkBhUgdOcqQ%3d%3d","2024-04-28"
"Manx Foundation Vaduz","000348F","7 Feb 1980","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GcSrm0lU%2bxXyIVrFRhwLmg%3d%3d","2024-04-28"
"The Golden Fortress Foundation Fund Limited","015679C","12 May 1980","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=cNXj3iD9v03rwM1FbZxWhQ%3d%3d","2024-04-28"
"The Foundation for Administrative Research Limited","021614C","23 Mar 1983","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=LhjQoHdi8xBhxAmlrPrzRw%3d%3d","2024-04-28"
"Foundation Holdings Limited","021827C","5 May 1983","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=gawnGzOmfHZdhCPCr5Kg%2fA%3d%3d","2024-04-28"
"The Starlight Foundation Limited","022987C","21 Nov 1983","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9d2ATkrAtJdieqdTyfHkUQ%3d%3d","2024-04-28"
"BRITISH LUNG FOUNDATION LIMITED","005851F","14 Nov 1984","Live","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=efHoED2%2fu0pHDbYamxoMXQ%3d%3d","2024-04-28"
"ASTHMA UK AND BRITISH LUNG FOUNDATION PARTNERSHIP","005851F","14 Nov 1984","Live","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=efHoED2%2fu0pHDbYamxoMXQ%3d%3d","2024-04-28"
"The Orion Foundation Limited","032814C","22 Jan 1987","Live","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=NhUEJNAcWtxvmdAsDE7B0A%3d%3d","2024-04-28"
"Khamasin Foundation","000512F","20 Jul 1987","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=17abAk7xb9ZCJxckKX%2fPxQ%3d%3d","2024-04-28"
