"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Petroleum Converters Inc.","000257F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=6GZ%2fRWQaLF1r9WtLDzgIIA%3d%3d","2024-04-28"
"Assets & Incomes Limited","000406F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=iOe3piqX0sVdKN%2fQ3Cbctg%3d%3d","2024-04-28"
"Douglas Head Incline Railway Limited","000418C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fnJLPXwykaTNjWaue4ZarQ%3d%3d","2024-04-28"
"Douglas Holdings Incorporated","000446F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=A741O2t95wnr2WlKGmQ1Jg%3d%3d","2024-04-28"
"Ince Builders Limited","003128C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=QMi74Dz6JA7raoWvAIqGfQ%3d%3d","2024-04-28"
"Safehaven Accountancy Services Inclusive","005115B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=nM%2f%2ftCDAzj6lGgdqSFBIkw%3d%3d","2024-04-28"
"Inchstone Holdings Limited","006884C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fr0yB0J6zhA2xvr74g8cKg%3d%3d","2024-04-28"
"Inco Limited","007734C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=cEG%2f4f860%2fohXN%2bjTGoqNA%3d%3d","2024-04-28"
"Inca Trading Company Limited","009555C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=pOfsA7mh7gteyfNi8Bqvqw%3d%3d","2024-04-28"
"Kellys' Inclusive Tours","001389B","14 Apr 1961","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=16VfTDWV7Q7sp4n%2fECsk1g%3d%3d","2024-04-28"
"Bill Kennaugh (inc. George Hislop)","001582B","10 Sep 1964","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Abr0mxVGqt8NYCJtEZ%2fujw%3d%3d","2024-04-28"
"EPERNAY ET FILS INC.","006094F","5 Sep 1973","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=m6RjaWwbEznhBs9sr%2b2T3Q%3d%3d","2024-04-28"
"The Gilbey Horses Incorporating Grianagh Stables","003309B","1 Jul 1976","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Pv6HCyocI4J0Zm3JVWVoEg%3d%3d","2024-04-28"
