"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"The Isle of Man Breweries (1903) Ltd.","000249C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=l8fDj7Ukheyqw%2fUoxwSctA%3d%3d","2024-04-29"
"Isle of Man Manufacturing and Distributing Agencies","000628B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=39ZPOZbnsXl2caK1u2IJQA%3d%3d","2024-04-29"
"Pre Fabricated Concrete (Isle of Man) Limited","000891C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lAtGUXDeRIVH5Dg7IZM%2fMg%3d%3d","2024-04-29"
"John Holt (Overseas) Limited","001081C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OGiQpx0YEzstgOW2X9RAMg%3d%3d","2024-04-29"
"Nurseryland (Isle of Man) Limited","001205C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=J8tYIMWIf8pyhPzgqtKT2w%3d%3d","2024-04-29"
"British and Overseas Paint Company Limited","001413C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OYTx20a9Sckl0tg8PpFSQw%3d%3d","2024-04-29"
"Gordon Brooks Catamarans (Isle of Man) Limited","001644C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2KPhhA6zWv0I4Aj62mA0Bw%3d%3d","2024-04-29"
"Respirex Osxygen Equipment Co. Limited","001645C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=8fzxiQNX20qc1KQdVHBBBw%3d%3d","2024-04-29"
"John Drew (Isle of Man) Limited","001645C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=8fzxiQNX20qc1KQdVHBBBw%3d%3d","2024-04-29"
"S. & F. Bankers (Isle of Man) Limited","001888C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uAQLHTb8TMSJm0Qqmu6S1g%3d%3d","2024-04-29"
"Nickersons (Isle of Man) Limited","002119C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fRvRigw6TsdBCj%2bAGUTpVg%3d%3d","2024-04-29"
"Oakstrong Property Co. Limited","002281C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=c%2bwbNcKI%2faupFK3uXcKCeQ%3d%3d","2024-04-29"
"Oakstrong Properties Limited","002281C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=c%2bwbNcKI%2faupFK3uXcKCeQ%3d%3d","2024-04-29"
"R. Draper (Isle of Man) Limited","002486C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=pM88A9SOqdOL%2fiVdSSZ77w%3d%3d","2024-04-29"
"Orchid Limited","002489C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=DPw6HUktdpl6qODTaGoOLg%3d%3d","2024-04-29"
"Oliver Heath and Company","002717B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=A1StdZ%2bgHMV2kF6c%2fUCjsA%3d%3d","2024-04-29"
"Orry Holdings Limited","003223C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=YSgxHuuhyACFCY%2faJXyS2w%3d%3d","2024-04-29"
"Fraser Simpson (Overseas) Limited","003298C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=qFAD2kelXbJGaotA6yBZmA%3d%3d","2024-04-29"
"Peat, Marwick, Mitchell & Co. (Isle of Man)","005967B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=meYnrr%2fjm0Jt2Xhd30H28Q%3d%3d","2024-04-29"
"Sign of the Steer Limited","006287C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=sRY%2bTLVe8DCEJ09MS7VafA%3d%3d","2024-04-29"
