"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"C.P. Choularton Sons & Partners (I.O.M.) Limited","001553C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=BIp%2fKzIKHEFZh31MVfTOgQ%3d%3d","2024-04-28"
"R.J. Holmes & Partners I.O.M.","002701B"," ","Dissolved","Business Name","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=jEQV3U1mo6jXNsIh752LbA%3d%3d","2024-04-28"
"C. P. Choularton Sons & Partners (I.o.M) Limited","004755C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=zQCWBBW2%2fCzrLv7rpi%2b9vQ%3d%3d","2024-04-28"
"John Burrow & Partners Limited","010473C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fBDv9UWdbWHcCHNb2gYwLg%3d%3d","2024-04-28"
"Paul Gelling & Partners","000690B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=eyBLZy49h3QX9yYKivPjVw%3d%3d","2024-04-28"
"J.V.T. Scott & Partner","000973B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=gGjdvFMY5wCq8sDSO1V8sQ%3d%3d","2024-04-28"
"G.B. Stubbs and Partners","001680B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=7vAv44nbtujZ48L1FwYeww%3d%3d","2024-04-28"
"F.W. Gillespie & Partner","001778B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=KUE7RE7NoO1T1J3KcFWYWw%3d%3d","2024-04-28"
"R.C. Teare & Partners","001889B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bS5QXz17WAarlVEOs0qJNA%3d%3d","2024-04-28"
"N. Yates & Partner","001947B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JvmvVld6RrIIxS0XFcQW6g%3d%3d","2024-04-28"
