"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"The Universal Housing Company Limited","000053F"," ","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JqDSjcEEwFa8W7srEd3OCQ%3d%3d","2024-04-29"
"Udisco Brokers (I.O.M.) Limited","008660C"," ","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=n7eC8F7MM5J6s%2bfxArI5Yw%3d%3d","2024-04-29"
"U.H.C. Holdings Limited","000053F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=JqDSjcEEwFa8W7srEd3OCQ%3d%3d","2024-04-29"
"The Universal Housing Company Limited","000078F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2MR7TbWAwCNvTWfN9VBVLg%3d%3d","2024-04-29"
"Union Mills Limited","000094C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=djGL%2fB9nqDZC16AOemvPRQ%3d%3d","2024-04-29"
"Union Assurance Society Limited","000097F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=bVA33JS88z52iZk8BVhG3g%3d%3d","2024-04-29"
"The Singer Company (U.K.) Limited","000100F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=l6c1jyjembMU6qMa2ADs9g%3d%3d","2024-04-29"
"The Universal Press","000222B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Hq2Ru2OclpIihPliCMNvtA%3d%3d","2024-04-29"
"Unique Fire Protection Limited","000276F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fGfFgB75BjZqniIzbel9tg%3d%3d","2024-04-29"
"U.S. Ventures S.A.","000369F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=p4cQpH6iqanGjJojboa%2bPw%3d%3d","2024-04-29"
"Savic (UK) Limited","000474F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fSt4vdem4bM9WliRbq9DEQ%3d%3d","2024-04-29"
"J. Usher & Company Limited","000544C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2f3j%2fNJCK%2f7yyShBukSytcQ%3d%3d","2024-04-29"
"United Amusements Limited","000630C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=QizHy%2bCjQYcJDuVYH682LQ%3d%3d","2024-04-29"
"Universal Display Service Limited","000636C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Phah%2bGWvDbPmmmFQgB75Ow%3d%3d","2024-04-29"
"Unitas Corporation Limited","001174C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2fvCvi3OB0UKRihLRsII99g%3d%3d","2024-04-29"
"Union Mills Limited","001327C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ihEwxqpQy9yy5Y0qQJJCYA%3d%3d","2024-04-29"
