"Number","Index Date"
"000126L","2024-05-04"
"000435L","2024-05-04"
"000436L","2024-05-04"
"000458L","2024-05-04"
"000553L","2024-05-04"
"000675B","2024-05-04"
"000720F","2024-05-04"
"000763L","2024-05-04"
"000785L","2024-05-04"
"000818L","2024-05-04"
"000893L","2024-05-04"
"000920L","2024-05-04"
"000932L","2024-05-04"
"000950L","2024-05-04"
"000969L","2024-05-04"
"001310F","2024-05-04"
"001630F","2024-05-04"
"001670F","2024-05-04"
"002215B","2024-05-04"
"003436F","2024-05-04"
"003455F","2024-05-04"
"003462F","2024-05-04"
"003518F","2024-05-04"
"003600F","2024-05-04"
"003601F","2024-05-04"
"003820F","2024-05-04"
"003895F","2024-05-04"
"003935F","2024-05-04"
"003936F","2024-05-04"
"003948F","2024-05-04"
"003982F","2024-05-04"
"004040F","2024-05-04"
"004137F","2024-05-04"
"004221F","2024-05-04"
"004241F","2024-05-04"
"004291F","2024-05-04"
"004383F","2024-05-04"
"004387F","2024-05-04"
"004456V","2024-05-04"
"004457V","2024-05-04"
"004464F","2024-05-04"
"004466F","2024-05-04"
"004681F","2024-05-04"
"004699F","2024-05-04"
"004789F","2024-05-04"
"004795F","2024-05-04"
"004809F","2024-05-04"
"004816F","2024-05-04"
"004834F","2024-05-04"
"004873F","2024-05-04"
"004874F","2024-05-04"
"004875F","2024-05-04"
"004876F","2024-05-04"
"004877F","2024-05-04"
"004898F","2024-05-04"
"004923F","2024-05-04"
"004924F","2024-05-04"
"004925F","2024-05-04"
"005077F","2024-05-04"
"005534F","2024-05-04"
"005594F","2024-05-04"
"005602F","2024-05-04"
"005628F","2024-05-04"
"005633F","2024-05-04"
"005640F","2024-05-04"
"005737F","2024-05-04"
"005743F","2024-05-04"
"005768F","2024-05-04"
"005852F","2024-05-04"
"006191V","2024-05-04"
"006351B","2024-05-04"
"006424F","2024-05-04"
"006445B","2024-05-04"
"006455B","2024-05-04"
"006494V","2024-05-04"
"006565B","2024-05-04"
"007056V","2024-05-04"
"007655B","2024-05-04"
"007763B","2024-05-04"
"007927V","2024-05-04"
"007957B","2024-05-04"
"008336B","2024-05-04"
"008355V","2024-05-04"
"008417B","2024-05-04"
"008457B","2024-05-04"
"008545B","2024-05-04"
"008586B","2024-05-04"
"008977B","2024-05-04"
"009025B","2024-05-04"
"009044B","2024-05-04"
"009058B","2024-05-04"
"009191B","2024-05-04"
"009300B","2024-05-04"
"009307B","2024-05-04"
"009308B","2024-05-04"
"009314B","2024-05-04"
"009336B","2024-05-04"
"009337B","2024-05-04"
"009394B","2024-05-04"
"009443B","2024-05-04"
"009466B","2024-05-04"
"009529B","2024-05-04"
"009621B","2024-05-04"
"009628B","2024-05-04"
"009638C","2024-05-04"
"009643B","2024-05-04"
"009767B","2024-05-04"
"009809B","2024-05-04"
"009810B","2024-05-04"
"009832B","2024-05-04"
"009841B","2024-05-04"
"009972B","2024-05-04"
"009973B","2024-05-04"
"009974B","2024-05-04"
"009976B","2024-05-04"
"010008B","2024-05-04"
"010009B","2024-05-04"
"010109C","2024-05-04"
"010116B","2024-05-04"
"010417B","2024-05-04"
"010435B","2024-05-04"
"010492B","2024-05-04"
"010507B","2024-05-04"
"010781B","2024-05-04"
"010812B","2024-05-04"
"010884V","2024-05-04"
"010913B","2024-05-04"
"011019B","2024-05-04"
"011078B","2024-05-04"
"011260B","2024-05-04"
"012078B","2024-05-04"
"012079B","2024-05-04"
"012197B","2024-05-04"
"012488B","2024-05-04"
"012503B","2024-05-04"
"012556B","2024-05-04"
"012565B","2024-05-04"
"012571B","2024-05-04"
"012866V","2024-05-04"
"012923B","2024-05-04"
"012952B","2024-05-04"
"013001B","2024-05-04"
"013095B","2024-05-04"
"013205B","2024-05-04"
"013912B","2024-05-04"
"013977B","2024-05-04"
"014652B","2024-05-04"
"014751B","2024-05-04"
"014914B","2024-05-04"
"015219B","2024-05-04"
"015314B","2024-05-04"
"015346B","2024-05-04"
"015491B","2024-05-04"
"015749B","2024-05-04"
"016540B","2024-05-04"
"016647B","2024-05-04"
"016983B","2024-05-04"
"017003B","2024-05-04"
"017017B","2024-05-04"
"017041B","2024-05-04"
"017075B","2024-05-04"
"017103B","2024-05-04"
"017122B","2024-05-04"
"017168B","2024-05-04"
"017260B","2024-05-04"
"017360B","2024-05-04"
"017405B","2024-05-04"
"017441B","2024-05-04"
"017485B","2024-05-04"
"017558B","2024-05-04"
"017621B","2024-05-04"
"017675B","2024-05-04"
"017739B","2024-05-04"
"017878B","2024-05-04"
"017888B","2024-05-04"
"017966B","2024-05-04"
"018019B","2024-05-04"
"018046B","2024-05-04"
"018100B","2024-05-04"
"018102B","2024-05-04"
"018129B","2024-05-04"
"018250B","2024-05-04"
"018284B","2024-05-04"
"018320B","2024-05-04"
"018414B","2024-05-04"
"018502B","2024-05-04"
"018511B","2024-05-04"
"018951B","2024-05-04"
"019066B","2024-05-04"
"019175B","2024-05-04"
"019226B","2024-05-04"
"019439B","2024-05-04"
"019737B","2024-05-04"
"019741B","2024-05-04"
"019759B","2024-05-04"
"019815B","2024-05-04"
"019836B","2024-05-04"
"019878B","2024-05-04"
"019954B","2024-05-04"
"020083B","2024-05-04"
"020099B","2024-05-04"
"020211B","2024-05-04"
"020295B","2024-05-04"
"020310B","2024-05-04"
"020429B","2024-05-04"
"020664B","2024-05-04"
"021021B","2024-05-04"
"021101B","2024-05-04"
"021132B","2024-05-04"
"021249B","2024-05-04"
"021297B","2024-05-04"
"021347B","2024-05-04"
"021566B","2024-05-04"
"021734B","2024-05-04"
"021778B","2024-05-04"
"021838B","2024-05-04"
"021870B","2024-05-04"
"021979B","2024-05-04"
"022022B","2024-05-04"
"022309B","2024-05-04"
"022354B","2024-05-04"
"022391B","2024-05-04"
"022392B","2024-05-04"
"022401B","2024-05-04"
"022413B","2024-05-04"
"022464B","2024-05-04"
"022488B","2024-05-04"
"022519B","2024-05-04"
"022522B","2024-05-04"
"022557B","2024-05-04"
"022612B","2024-05-04"
"022658B","2024-05-04"
"022664B","2024-05-04"
"022837B","2024-05-04"
"022958B","2024-05-04"
"022968B","2024-05-04"
"023057B","2024-05-04"
"023074B","2024-05-04"
"023264B","2024-05-04"
"023268B","2024-05-04"
"023381B","2024-05-04"
"023388B","2024-05-04"
"023390B","2024-05-04"
"023396B","2024-05-04"
"023401B","2024-05-04"
"023435B","2024-05-04"
"023517C","2024-05-04"
"023540B","2024-05-04"
"023618B","2024-05-04"
"023634B","2024-05-04"
"023746B","2024-05-04"
"023828B","2024-05-04"
"023863B","2024-05-04"
"023878B","2024-05-04"
"023894B","2024-05-04"
"024033B","2024-05-04"
"024034B","2024-05-04"
"024168B","2024-05-04"
"024418B","2024-05-04"
"024485B","2024-05-04"
"024602B","2024-05-04"
"024816C","2024-05-04"
"024884B","2024-05-04"
"024923B","2024-05-04"
"024925B","2024-05-04"
"025105B","2024-05-04"
"025106B","2024-05-04"
"025193B","2024-05-04"
"025243B","2024-05-04"
"025313B","2024-05-04"
"025367B","2024-05-04"
"025378C","2024-05-04"
"025386B","2024-05-04"
"025410B","2024-05-04"
"025569B","2024-05-04"
"030645C","2024-05-04"
"039858C","2024-05-04"
"041169C","2024-05-04"
"041660C","2024-05-04"
"041661C","2024-05-04"
"041662C","2024-05-04"
"041663C","2024-05-04"
"041664C","2024-05-04"
"041665C","2024-05-04"
"041666C","2024-05-04"
"041667C","2024-05-04"
"041668C","2024-05-04"
"041669C","2024-05-04"
"041889C","2024-05-04"
"042319C","2024-05-04"
"042916C","2024-05-04"
"043048C","2024-05-04"
"043702C","2024-05-04"
"043913C","2024-05-04"
"043948C","2024-05-04"
"044629C","2024-05-04"
"046368C","2024-05-04"
"046694C","2024-05-04"
"046911C","2024-05-04"
"047443C","2024-05-04"
"047608C","2024-05-04"
"047807C","2024-05-04"
"047876C","2024-05-04"
"048315C","2024-05-04"
"048883C","2024-05-04"
"049368C","2024-05-04"
"049369C","2024-05-04"
"049499C","2024-05-04"
"049717C","2024-05-04"
"050000C","2024-05-04"
"050505C","2024-05-04"
"050506C","2024-05-04"
"050635C","2024-05-04"
"051316C","2024-05-04"
"051387C","2024-05-04"
"051627C","2024-05-04"
"051707C","2024-05-04"
"051983C","2024-05-04"
"052196C","2024-05-04"
"052411C","2024-05-04"
"052583C","2024-05-04"
"055097C","2024-05-04"
"055250C","2024-05-04"
"055824C","2024-05-04"
"056667C","2024-05-04"
"056669C","2024-05-04"
"056691C","2024-05-04"
"057134C","2024-05-04"
"057526C","2024-05-04"
"057804C","2024-05-04"
"060780C","2024-05-04"
"061043C","2024-05-04"
"061752C","2024-05-04"
"061866C","2024-05-04"
"062514C","2024-05-04"
"062515C","2024-05-04"
"062638C","2024-05-04"
"063408C","2024-05-04"
"065698C","2024-05-04"
"070724C","2024-05-04"
"072771C","2024-05-04"
"074001C","2024-05-04"
"074002C","2024-05-04"
"074970C","2024-05-04"
"080016C","2024-05-04"
"081322C","2024-05-04"
"088304C","2024-05-04"
"088329C","2024-05-04"
"091251C","2024-05-04"
"094173C","2024-05-04"
"095513C","2024-05-04"
"096385C","2024-05-04"
"097126C","2024-05-04"
"097693C","2024-05-04"
"098285C","2024-05-04"
"098729C","2024-05-04"
"098773C","2024-05-04"
"099279C","2024-05-04"
"100218C","2024-05-04"
"100559C","2024-05-04"
"103339C","2024-05-04"
"106116C","2024-05-04"
"108463C","2024-05-04"
"109451C","2024-05-04"
"109672C","2024-05-04"
"110055C","2024-05-04"
"112083C","2024-05-04"
"112133C","2024-05-04"
"112370C","2024-05-04"
"112387C","2024-05-04"
"113271C","2024-05-04"
"113278C","2024-05-04"
"113303C","2024-05-04"
"113755C","2024-05-04"
"114191C","2024-05-04"
"114850C","2024-05-04"
"116388C","2024-05-04"
"116750C","2024-05-04"
"118116C","2024-05-04"
"119030C","2024-05-04"
"119117C","2024-05-04"
"119657C","2024-05-04"
"120089C","2024-05-04"
"120236C","2024-05-04"
"120363C","2024-05-04"
"120401C","2024-05-04"
"121498C","2024-05-04"
"122329C","2024-05-04"
"122396C","2024-05-04"
"122880C","2024-05-04"
"124168C","2024-05-04"
"124926C","2024-05-04"
"124985C","2024-05-04"
"125809C","2024-05-04"
"127147C","2024-05-04"
"127222C","2024-05-04"
"127574C","2024-05-04"
"127581C","2024-05-04"
"127651C","2024-05-04"
"127783C","2024-05-04"
"128279C","2024-05-04"
"128545C","2024-05-04"
"128770C","2024-05-04"
"129496C","2024-05-04"
