"SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish"
"","","Farrants Fort","","St Judes","Andreas","IM7 2EN","Andreas"
"","","Land At Archallagan Terrace","","","Foxdale","IM4 3EZ","Patrick"
"","","Ballaglonney Farm","","","Malew","IM4 1ES","Malew"
"Electrical Substation","","Billown Farm","","","Malew","","Malew"
"","","Clypse And Kerrowdhoo Reservoirs","","","Onchan","","Onchan"
"","","Ballamoar","","","Patrick","IM5 3AW","Patrick"
"","","Knockaloe Beg","","","Patrick","IM5 3AQ","Patrick"
"","","Land At Thie Ny Garee","(Field 614193 And Part Of Field 614194)","Ballaragh","Lonan","IM4 7PL","Lonan"
"","","Land Near Keeill Cottage","(Part Of Field 614237)","Ballaragh","Lonan","IM4 7PL","Lonan"
"","","Access And Parking Area At The Rear Of","1 2 & 3 Harbourside","Tent Road","Laxey","","Lonan"
"","","Cleveland Lodge","1 Albany Road","","Douglas","IM2 3AJ","Onchan"
"Flat 6","","Frankville Court","1 And 2 Woodville Terrace","","Douglas","IM2 4HA","Onchan"
"","","","1 And 3 Farrant Street","","Douglas","IM2 3HF","Onchan"
"","","","1 Costain Close","","Colby","IM9 4NZ","Arbory"
"","","","1 Hillcroft Green","Governors Hill","Douglas","IM2 7EQ","Onchan"
"","","","1 Lower Cronk Orry","","Laxey","IM4 7EG","Lonan"
"Apartment 5","","Walpole House","1 Marine Parade","","Peel","IM5 1PB","German"
"","","","1 Ravens Wharf","South Quay","Douglas","IM1 5BT","Braddan"
"","","Yard Rear Of Somerset House","1 Somerset Road","","Douglas","","Onchan"
"","","","1 Spaldrick","","Port Erin","IM9 6PB","Rushen"
"","","Westlea","1 Springfield Terrace","","Higher Foxdale","IM4 3HG","Patrick"
"","","Casa Mia","1 St Patricks View","","Jurby","IM7 3EX","Jurby"
"","","","1 Summerhill Place","","Douglas","IM2 4PQ","Onchan"
"","","","1 The Millrace","","Sulby","IM7 2HT","Lezayre"
"","","","10 Ballasteen Road","","Andreas","IM7 4HG","Andreas"
"","","","10 Bridge Street","","Castletown","IM9 1AX","Malew"
"","","","10 Chaffinch Close","Ashbourne Park","Douglas","IM2 1QP","Braddan"
"","","","10 Crown Street","","Peel","IM5 1AJ","German"
"","","","101 Saddle Mews","","Douglas","IM2 1HX","Braddan"
"","","","101 Woodbourne Road","","Douglas","IM2 3AR","Onchan"
"","","","105 Saddle Mews","Groves Road","Douglas","IM2 1HX","Braddan"
"","","Shared Area In Relation To","10A And 10B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","","11 Christian Road","","Douglas","IM1 2QH","Onchan"
"","","","11 Cronk-Y-Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Shared Area In Relation To","11 Cronk-Y-Berry Mews","","Douglas","","Onchan"
"","","","11 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"","","","11 Garages","Off Fairfield Avenue","Onchan","IM3 4BQ","Onchan"
"","","","11 Peveril Street","","Douglas","IM1 1BT","Onchan"
"","","Apartment 1","11/12 Peel Road","","Douglas","IM1 4LR","Onchan"
"","","Silver Creek House","12 Cronk Road","Union Mills","Braddan","IM4 4NJ","Braddan"
"","","","12 Devonshire Road","","Douglas","IM2 3RB","Onchan"
"","","","12 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"","","","12 Harcroft Meadows","","Douglas","IM2 1PB","Braddan"
"","","Caedmon","12 Mountain View","","Peel","IM5 1QF","German"
"","","","12 North Quay And 25/27 Queens Street","","Douglas","","Onchan"
"","","Sekondi","12 Victoria Road","","Castletown","IM9 1EW","Malew"
"Apt 2","","","120 Bucks Road","","Douglas","IM1 3AH","Onchan"
"","","","129 St Pauls Apartments","St Pauls Square","Ramsey","IM8 1LE","Maughold"
"","","Shared Area In Relation To","13 Cronk Y Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Showroom And Workshop","13 Peel Road","Mount Vernon","Douglas","IM1 5EW","Onchan"
"","","","13 Sprucewood View","","Foxdale","IM4 3HA","Patrick"
"","","","13 Victoria Road","","Castletown","IM9 1EN","Malew"
"","","Wyverne","13 Victoria Road","","Castletown","IM9 1EN","Malew"
"","","Shared Area Associated With","14 Brewery Wharf","Victoria Road","Castletown","IM9 1EU","Malew"
"","","","14 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"Flat 2","","","14 Mona Street","","Douglas","IM1 2QD","Onchan"
"","","Land Adjacent To ","14 Murrays Lake Drive","Mount Murray","Santon","","Santon"
"","","","14 Woodlands View","Farmhill","Douglas","IM2 2BT","Braddan"
"","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Apartment 2","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Apartment 4","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"Flat 3","","","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"","","Shop","142 Bucks Road And 2A Windsor Road","","Douglas","IM1 3AJ","Onchan"
"","","","15 And 17 Arbory Road","","Castletown","IM9 1NA","Malew"
"","","Greenmount","15 Ballagale Avenue","Surby","Rushen","IM9 6QN","Rushen"
"","","Shared Areas In Relation To","15 Cronk Y Berry Mews","","Douglas","IM2 6HQ","Onchan"
"","","Land Adjacent To ","15 Murrays Lake Drive","Mount Murray","Santon","","Santon"
"","","","15 Royal Avenue West","","Onchan","IM3 1HB","Onchan"
"Apartment 4","","Prospect House Apartments","15, 17 And 19 Woodbourne Road","","Douglas","","Onchan"
"Apartment 6","","Prospect House Apartments","15, 17 And 19 Woodbourne Road","","Douglas","","Onchan"
"Apartment 6","","Prospect House Apartments","15-19 Woodbourne Road","","Douglas","","Onchan"
"","","","16 Acres Of Land","","Abbeyfields","","Onchan"
"","","","16 Close Quirk","","Douglas","IM2 2HN","Braddan"
"","","","16 Fleshwick Close","Ballakilley","Port St Mary","IM9 5NS","Rushen"
"Flat 8","","Claymore Apartments","16 Stanley View","","Douglas","IM2 3JA","Onchan"
"","","","16 Wallberry Mews","","Douglas","IM2 2NE","Braddan"
"","","","16, 17 And 18 Port Jack","","Onchan","IM3 1EA","Onchan"
"","","","16A And 16B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","Shared Area In Relation To","16A And 16B Cronk Y Berry View","","Douglas","IM2 6HH","Onchan"
"","","","17 Queen Street","","Castletown","IM9 1PB","Malew"
"","","Plot Of Land Between","18 And 22 Victoria Terrace","","Douglas","IM2 4EX","Onchan"
"","","Land Abutting The Rear Of ","18 Ashlar Drive","","Union Mills","IM4 4LL","Braddan"
"","","","18 Bayr Cam","","Douglas","IM2 2HT","Braddan"
"","","","18 Malvern Road","","Douglas","IM2 5AR","Onchan"
"","","","19 Fleshwick Close","Ballakilley","Port Erin","IM9 5NS","Rushen"
"","","","19 King Edward Park","","Onchan","IM3 2AD","Onchan"
"","","","19 Magnus Court","Kings Reach","Ramsey","IM8 3NT","Lezayre"
"","","","2 & 4 Michael Street And 15 & 17 Douglas Street","","Peel","IM5 1BA","German"
"","","Bank Premises","2 Athol Street","","Douglas","IM99 1AN","Onchan"
"","","","2 Ballaughton Villas","","Douglas","IM2 1JF","Braddan"
"","","","2 Garages Off Westbourne Drive","","Douglas","","Onchan"
"","","Ocean Reach","2 Gellings Avenue","","Port St Mary","IM9 5BG","Rushen"
"","","Shared Area In Relation To","2 Hillberry Meadows","Governors Hill","Douglas","IM2 7BJ","Onchan"
"","","","2 Hillcroft","Governors Hill","Douglas","IM2 7DW","Onchan"
"","","","2 Laureys Avenue","","Ramsey","IM8 2HE","Maughold"
"","","","2 Laurys Avenue","","Ramsey","IM8 2HE","Maughold"
"","","Kala","2 Marine Terrace","","Port St Mary","IM9 5EQ","Rushen"
"","","","2 Market Place And 1 Dale Street","","Ramsey","IM8 1BJ","Maughold"
"","","","2 Meayll Drive","Ballakilley","Port St Mary","IM9 5NT","Rushen"
