"Name","Town"
"Aalin Lea","Kirk Michael"
"Abbey Ford Lane","Ballasalla"
"Abbey Road","Ballasalla"
"Abbey Road Lane","Ballasalla"
"Abbeyfields","Onchan"
"Abbeylands","Douglas"
"Abbeylands","Onchan"
"Abbeylands Estate","Onchan"
"Abbeyville","Lezayre"
"Abbots Close","Ballasalla"
"Abbots Drive","Ballasalla"
"Abbots Way","Ballasalla"
"Abbots Way","Malew"
"Abbotsway","Ballasalla"
"Abbotswood","Ballasalla"
"Abbotswood Court","Ballasalla"
"Access Road","Malew"
"Adelaide Terrace","Douglas"
"Admirals Court","Ramsey"
"Africa Court","Douglas"
"Agneash","Laxey"
"Agneash","Lonan"
"Agneash Road","Laxey"
"Albany Close","Peel"
"Albany Road","Douglas"
"Albany Road","Peel"
"Albany Street","Douglas"
"Albert Road","Ramsey"
"Albert Road/Brookfield Avenue","Ramsey"
"Albert Road/Christian Street","Ramsey"
"Albert Square","Ramsey"
"Albert Street","Douglas"
"Albert Street","Ramsey"
"Albert Terrace","Casltetown"
"Albert Terrace","Castletown"
"Albert Terrace","Douglas"
"Albert Terrace Lane","Douglas"
"Alberta Drive","Onchan"
"Albion Lane","Douglas"
"Albion Terrace","Douglas"
"Albion Terrace","Ramsey"
"Alderley Close","Douglas"
"Alexander Drive","Douglas"
"Alexander Road","Glen Vine"
"Alexander Road","Marown"
"Alexandra Road","Castletown"
"Alfred Pier","Port St Mary"
"Alkest Way","Ramsey"
"All Saints Park","Laxey"
"All Saints Park","Lonan"
"Allan Street","Douglas"
"Alpine Close","Onchan"
"Alpine Mews","Onchan"
"Altdale Terrace","Ramsey"
"Amulree Cottage","Laxey"
"Amulree Cottages","Laxey"
"Anagh Coar Road","Douglas"
"Andreas","Dhoor"
"Andreas Airfield","Andreas"
"Andreas Road","Andreas"
"Andreas Road","Bride"
"Andreas Road","Lezayre"
"Andreas Road","Ramsey"
"Andreas Road","Regaby"
"Andreas Road","St Judes"
"Andreas Village","Andreas"
"Andreas Village","Kirk Andreas"
"Annacur Lane","Douglas"
"Apple Tree Grove","Ramsey"
"Appledene Court","Douglas"
"Approach Road","Ramsey"
"Arbory And Malew Street","Castletown"
"Arbory Burial Ground","Arbory"
"Arbory Road","Ballabeg"
"Arbory Road","Castletown"
"Arbory Street","Castletown"
"Arbory Street & Malew Street","Malew"
"Arbory Vicarage","Ballabeg"
"Arbrory Street","Castletown"
"Archallagan","East Foxdale"
"Archallagan","Marown"
"Archallagan Terrace","Foxdale"
"Archallagan Terrace","Patrick"
"Ard Reayrt","Laxey"
"Ard Wooilley","Colby"
"Ardenvohr","Douglas"
"Ardonan Farm","Andreas"
"Ardonan Lane","Andreas"
"Ardonan Lane","Regaby"
"Areas Of Public Open Space","Ramsey"
"Arragon","Santon"
"Arragon Lane","Santon"
"Arrasey Road","Glen Maye"
"Arrasey Road","Patrick"
"Asbourne Avenue","Douglas"
"Ash Close","Peel"
"Ash Grove","Ramsey"
"Ashberry Avenu","Douglas"
"Ashberry Avenue","Braddan"
"Ashberry Avenue","Douglas"
"Ashbourne Avenue","Braddan"
"Ashbourne Avenue","Douglas"
"Ashbourne Grove","Douglas"
"Ashbourne Park","Douglas"
"Ashen Bank","Braddan"
"Ashfield Avenue","Braddan"
"Ashlar Drive","Braddan"
"Ashlar Drive","Union Mills"
"Ashley Road","Onchan"
"Aspen Drive","Peel"
"Athol Avenue","Port Erin"
"Athol Court","Port Erin"
"Athol Park","Port Erin"
"Athol Place","Peel"
"Athol Place","Port St Mary"
"Athol Street","Douglas"
"Athol Street","Port St Mary"
"Athol Terrace","Castletown"
"Athol Terrace","Douglas"
"Atholl Buildings","Peel"
"Atholl Place","Peel"
"Atholl Street","Peel"
"Auburn Place","Ramsey"
"Auburn Road","Onchan"
"Auckland Grove","Douglas"
"Auckland Grove Lane","Douglas"
"Auckland Lane","Ramsey"
"Auckland Terrace","Ramsey"
"Auldyn Close","Ramsey"
"Auldyn Court","Ramsey"
"Auldyn Meadow","Ramsey"
"Auldyn Meadow Drivae","Ramsey"
"Auldyn Meadow Drive","Ramsey"
"Auldyn Meadow Way","Ramsey"
"Auldyn Walk","Douglas"
"Auldyn Walk","Ramsey"
"Auldyn Walk Estate","Ramsey"
"Aust Lane","Lezayre"
"Avondale Court","Onchan"
"Avondale Road","Onchan"
"Axenfell Lane","Laxey"
"Back Allan Street","Douglas"
"Back Hope Street","Castletown"
"Back Marina Road","Douglas"
"Back Shore Road","Laxey"
"Baldhoon Road","Laxey"
"Baldhoon Road","Lonan"
"Baldrine","Laxey"
"Baldrine","Lonan"
"Baldrine Hill","Baldrine"
"Baldrine Park","Baldrine"
"Baldrine Park","Lonan"
"Baldrine Road","Baldrine"
"Baldrine Road","Lonan"
"Baldromma","Lezayre"
"Baldromma","Maughold"
"Baldromma Beg","Maughold"
"Baldromma Estate","Lezayre"
"Baldromma Moar","Lonan"
"Ballabane","Andreas"
"Ballabeg","Arbory"
"Ballabeg","Baldrine"
"Ballabeg","Laxey"
"Ballabeg","Lonan"
"Ballabeg Crossing","Lonan"
"Ballabeg Grove","Glen Vine"
"Ballabenna Lane","Patrick"
"Ballabirragh Farm","Andreas"
"Ballabooie Road","German"
"Ballabooie Road","Peel"
"Ballabridson Park","Ballasalla"
"Ballabridson Park","Malew"
"Ballabrooie Avenue","Douglas"
"Ballabrooie Close","Douglas"
"Ballabrooie Drive","Douglas"
"Ballabrooie Gardens","Douglas"
"Ballabrooie Grove","Douglas"
"Ballabrooie Park","Douglas"
"Ballabrooie Way","Douglas"
"Ballacain","Dalby"
"Ballacain","Jurby"
"Ballacain Cottages","Jurby"
"Ballacaley","Lezayre"
"Ballacaley Road","Lezayre"
"Ballacaley Road","Sulby"
"Ballacallin","Patrick"
"Ballacallin Beg","Marown"
"Ballacallin Bungalow","Dalby"
"Ballacallin Cottages","Patrick"
"Ballacallum","Andreas"
"Ballacannell","Laxey"
"Ballacannell","Lonan"
"Ballacharry Road","Ballasalla"
"Ballacharry Road","Malew"
"Ballacharry Road","St Marks"
"Ballachrink","Colby"
"Ballachrink","Glen Maye"
"Ballachrink","Patrick"
"Ballachrink And Ballavar","Santon"
"Ballachrink Drive","Onchan"
"Ballachrink Estate","Onchan"
"Ballachrink Farm","East Jurby"
"Ballachurry","Andreas"
"Ballachurry Avenue","Onchan"
"Ballachurry Close","Onchan"
"Ballachurry Corner","Ballafesson"
"Ballachurry Road","Greeba"
"Ballacollister Heights","Laxey"
"Ballacollister Lane","Laxey"
"Ballacollister Lane","Lonan"
"Ballacollister Road","Laxey"
"Ballacollister Road","Lonan"
"Ballaconley","Jurby"
"Ballaconley","Jurby East"
"Ballacorey Road","Andreas"
"Ballacorey Road","Bride"
"Ballacosnahan Farm","Patrick"
"Ballacotch Lane","Crosby"
"Ballacottier","Andreas"
"Ballacottier And Slegaby","Onchan"
"Ballacottier Meadow","Braddan"
"Ballacottier Meadow","Douglas"
"Ballacottier Road","Onchan"
"Ballacowin","Lonan"
"Ballacowle","Lezayre"
"Ballacraine","German"
"Ballacraine","St Johns"
"Ballacraine Cottages","St Johns"
"Ballacraine To Peel Road","St Johns"
"Ballacrebbin","Andreas"
"Ballacrebbin Estate","Andreas"
"Ballacree Estate","Bride"
"Ballacreggan","Maughold"
"Ballacreggan Estate","Port St Mary"
"Ballacriy Park","Arbory"
"Ballacriy Park","Colby"
"Ballacroak","Malew"
"Ballacrosha","Ballaugh"
"Ballacrosha Off","Ballaugh"
"Ballacross Road","Peel"
"Ballacrye Farm","Ballaugh"
"Ballacrye Road","Ballaugh"
"Ballacubbon","Ballabeg"
"Ballacubbon","Foxdale"
"Ballacubbon","Malew"
"Ballacubbon Close","Arbory"
"Ballacubbon Close","Ballabeg"
"Ballacuberagh","Lezayre"
"Ballacuberagh","Sulby Glen"
"Ballacurn Road","Ballaugh"
"Ballacutchel Road","Braddan"
"Balladan","Maughold"
"Balladoole House","Castletown"
"Balladoyne","St Johns"
"Balladoyne Estate","German"
"Balladoyne Estate","St Johns"
"Ballaellis","Andreas"
"Ballafadine","Kirk Michael"
"Ballafadine","Michael"
"Ballafayle","Maughold"
"Ballafayle","Ramsey"
"Ballafayle Beg","Maughold"
"Ballafayle Road","Cornaa"
"Ballafayle Road","Maughold"
"Ballafayle-E-Callow","Maughold"
"Ballafesson","Port Erin"
"Ballafesson","Rushen"
"Ballafesson","Surby"
"Ballafesson Corner","Port Erin"
"Ballafesson Road","Port Erin"
"Ballafesson Road","Rushen"
"Ballafletcher","Douglas"
"Ballafletcher Farm Road","Braddan"
"Ballafletcher Road","Braddan"
"Ballafletcher Road","Douglas"
"Ballafodda","Arbory"
"Ballafreer","Marown"
"Ballafreer","Union Mills"
"Ballafreer Farm","Marown"
"Ballafreer Lane","Union Mills"
"Ballafurt Close","Port Erin"
"Ballafurt Lane","Santon"
"Ballafurt Road","Port Erin"
"Ballagale Avenue","Port Erin"
"Ballagale Avenue","Rushen"
"Ballagale Avenue","Surby"
"Ballagare","Lonan"
"Ballagarey Close","Glen Vine"
"Ballagarey Close","Marown"
"Ballagarey Crescent","Glen Vine"
"Ballagarey Crescent","Marown"
"Ballagarey Estate","Marown"
"Ballagarey Lodge","Glen Vine"
"Ballagarey Road","Glen Vine"
"Ballagarey Road","Marown"
"Ballagarraghyn","Jurby"
"Ballagary Road","Marown"
"Ballagawne","Arbory"
"Ballagawne","Ballabeg"
"Ballagawne","Ballasalla"
"Ballagawne Farm","Baldrine"
"Ballagawne Road","Arbory"
"Ballagawne Road","Baldrine"
"Ballagawne Road","Colby"
"Ballagawne Road","Lonan"
"Ballagawne Road","Rushen"
"Ballaghaue Cottages","Andreas"
"Ballaghennie","Bride"
"Ballagick Gareys","Santon"
"Ballagill","Colby"
"Ballagilley","Maughold"
"Ballaglass Glen","Maughold"
"Ballaglass Glen Road","Maughold"
"Ballaglonney","Marown"
"Ballaglonney","Rushen"
"Ballaglonney Close","Crosby"
"Ballaglonney Close","Marown"
"Ballaglonney Farm","Malew"
"Ballaglonney Farmhouse","Malew"
"Ballagorrey Drive","Glen Mona"
"Ballagorrey Drive","Maughold"
"Ballagorry Cottages","Maughold"
"Ballagorry Drive","Glen Mona"
"Ballagorry Drive","Maughold"
"Ballagorry Drive","Ramsey"
"Ballagorry Heights","Maughold"
"Ballagyr Lane","Peel"
"Ballagyr Park","Peel"
"Ballahague Cottages","Andreas"
"Ballahane Close","Port Erin"
"Ballahane Close","Rushen"
"Ballahargy Mooar","Dalby"
"Ballahick Farm","Malew"
