"Hash","SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish","Market_Value","Consideration","Acquisition_Date","MinCompletionDate","CompletionDate","Issue"
"a5359c33e9e238377faef4cc15c4da55","","","Land Part Of The Craig","St Judes","","Andreas And Lezayre","","Andreas","1437682.0","1437682.0","24/12/2010","08/01/2013","","Andreas And Lezayre is an invalid town name"
"fe79ac11c566815cf9130744b3c38579",""," 1 & 3","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","","180000.0","17/03/2004","18/08/2004","","Ramsey Road is an invalid town name"
"4c119bce5279fbfbe31f1fb7ef50f08c","","1","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","","0.0","12/08/2005","02/03/2007","","Ramsey Road is an invalid town name"
"63e19c642afc8d717cd0574186363e92","","1","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","179000.0","179000.0","07/12/2007","23/07/2008","","Ramsey Road is an invalid town name"
"d6544fa4c0ae620db5093da6be428ed8","","","The Old School House And Corrody  Cottage","Tholt-Y-Will","Sulby Glen","Lezayre And Ballaugh","IM7 2BF","Lezayre","","625000.0","20/01/2006","21/08/2006","","Lezayre And Ballaugh is an invalid town name"
"12e3101f2fd0aff4c7434529f58899fb","","","Cottage 2","Riversdale Cottages","","Jurby Road","IM7 2EA","Lezayre","345000.0","345000.0","10/02/2021","22/04/2021","","Jurby Road is an invalid town name"
"9195c1b80eab489312b42d2322f27a5b","","","Cottage 2","Riversdale Cottages","","Jurby Road","IM7 2EA","Lezayre","350000.0","0.0","18/07/2022","12/09/2022","","Jurby Road is an invalid town name"
"80cdc281bff65dcf39fe8a5d60539ff0","","8","","Grand Island","","Bride Road","IM8 3UQ","Lezayre","855000.0","855000.0","27/09/2021","16/12/2021","","Bride Road is an invalid town name"
"7a7b2c6ae662ef74be7abd3bac69d349","","","Yn Soalt","Ballavarkish","Greeba","Main Road","IM4 3LG","German","425000.0","425000.0","04/03/2020","16/06/2020","","Main Road is an invalid town name"
"6e4b9f8a2f1c6f7d36540e418b96b1db","","","Gleneedle Service Reservoir","Gleneedle","","Nr Lower Foxdale","","Patrick","","14500.0","18/03/1994","21/02/2003","","Nr Lower Foxdale is an invalid town name"
"30c3ef3573410b0ff25e7b7b152d7717","","","Knockaloe Beg","Patrick","","Im5 3Aq","","Patrick","520000.0","0.0","06/07/2007","17/05/2010","","Im5 3Aq is an invalid town name"
"662872dcc66ab691a3d97efd80da0311","","","Land At Archallagan Terrace","Foxdale","","Im4 3Ez","","Patrick","252000.0","252000.0","26/03/2009","03/02/2010","","Im4 3Ez is an invalid town name"
"67096b4c004689bd9efda22b5997860e","","","Gansey View","Concorde Developments","","Cronk Road","IM9 5AS","Rushen","295000.0","295000.0","11/05/2007","21/04/2008","","Cronk Road is an invalid town name"
"f5bf34e65310dbcc796fa4fcabd5f179","","","Land Situate At Ballafesson","Surby","","Isle Of Man","","Rushen","45000.0","45000.0","04/04/2019","24/07/2020","","Isle Of Man is an invalid town name"
"bd159488537bf8d6660bcde883672262","","","Land Situate","Colby","","Isle Of Man","","Arbory","116800.0","116800.0","04/04/2019","02/12/2020","","Isle Of Man is an invalid town name"
"3620b134f73ad7a72031ee7b2901f173","Land at Ronague Road","","Field Number 420667","Ronague Road","","Nr Ballabeg","IM9 4HG ","Arbory","5000.0","5000.0","13/12/2023","04/04/2024","","Nr Ballabeg is an invalid town name"
"1e54ddae745c1e07e0763213eb763c67","","37","","Knock Rushen","Castletown","Scarlett Road","IM9 1TQ","Malew","570000.0","570000.0","25/08/2021","14/12/2021","","Scarlett Road is an invalid town name"
"82d8fd1fc03cd64eab88380e0bf525eb","","","","Parcel Of Land","","Part Of The Estate Of Mullinaragher","","Malew","200000.0","200000.0","12/05/2016","21/09/2016","","Part Of The Estate Of Mullinaragher is an invalid town name"
"d49d5b4831dff052c3af313ded3dc48e","","","Parcel Of Land","Between New Castletown Road And","","Mount Murray Back Road","","Santon","20000.0","10001.0","10/10/2018","10/10/2018","","Mount Murray Back Road is an invalid town name"
"b35fa927852500a1dc904d865e448447","","","Arragon Veg","Santon","","Isle Of Man","IM9 3AB","Santon","1600000.0","1600000.0","19/12/2022","31/03/2023","","Isle Of Man is an invalid town name"
"4cb6d282195790f216f174286c08a984","","37","","Saddle Mews","Douglas","Groves Road","IM2 1HS","Braddan","190000.0","190000.0","10/02/2022","24/02/2022","","Groves Road is an invalid town name"
"ce4ebfec1844db4cdab017f2bb9ac843","","","Land Abutting Johnny Watterson's Lane","Douglas","","Isle Of Man","","Onchan","500000.0","500000.0","12/08/2022","22/06/2023","","Isle Of Man is an invalid town name"
"58b192de1a6c871bcba59b963ddbe7ba","","","A Parcel Of Land","Canaan","West Kimmeragh Road","Bride","IM7 4BA","Bride","","9000.0","14/05/2004","17/08/2004","","West Kimmeragh Road is an invalid locality name"
"c87a24401ad681f8854f0e7a8bc52ec2","","","A Parcel Of Land","Canaan","West Kimmeragh Road","Bride","IM7 4BA","Bride","10000.0","0.25","25/05/2016","01/08/2016","","West Kimmeragh Road is an invalid locality name"
"bfafaa8884772d706144bd4600d1819f","","","Part Of Field 111304 Adjacent To","Lheakarrow Cottage","Andreas Road","Andreas","","Bride","","27500.0","12/11/2004","25/02/2005","","Andreas Road is an invalid locality name"
"c80ac2998a44d1e74c6ff8ae9daa5410","","","Part Of Field 111304 Adjacent To","Lheakerrow Cottage","Andreas Road","Andreas","","Bride","50000.0","50000.0","10/10/2007","04/02/2008","","Andreas Road is an invalid locality name"
"4206e34a71b972a9fe8d0ca4b0f5747b","","","A Plot Of Land Abutting","Orry's Mount Lodge","Grenaby Road","Bride","IM7 4AN","Bride","10000.0","10000.0","19/08/2009","22/12/2009","","Grenaby Road is an invalid locality name"
"c7d5f1c04b9bd16c9662596754daee3e","","","","Land Known As Dorans Croft","Ballacherrims Road","Bride","","Bride","1000.0","0.25","11/02/2011","13/07/2011","","Ballacherrims Road is an invalid locality name"
"057742afa26d9a5e9be95e7ea1fa3619","","","Field Number 114040","Land At Dogmills","Bride Road","Bride","IM7 4AE","Bride","55000.0","55000.0","05/01/2017","28/04/2017","","Bride Road is an invalid locality name"
"2eb952f4faf7091db2e89f2acf885a68","","","Field Number 114040","Land At Dogmills","Bride Road","Bride","IM7 4AE","Bride","49950.0","49950.0","10/01/2019","27/02/2019","","Bride Road is an invalid locality name"
"b3dcac0a5d01d356b1be170e20615a58","","","Field Number 114218 And Ballamin Access Roads","Ballamin","Off Lhen Road","Bride","","Bride","20000.0","20000.0","26/05/2022","03/10/2022","","Off Lhen Road is an invalid locality name"
"c8294b998c2516eb48f18e06e98ab763","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","139950.0","16/05/2003","29/07/2003","","Leodest Road is an invalid locality name"
"af5dbd524f7c2d17893532a0abc99404","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","178950.0","12/12/2003","19/08/2004","","Leodest Road is an invalid locality name"
"659833826f34cdf426afd90a49a6f089","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","180000.0","28/07/2005","24/11/2005","","Leodest Road is an invalid locality name"
"5874fcaad02bc3c872db403119379400","","","Plot 20","Larivane Meadows","Leodest Road","Andreas","","Andreas","","159950.0","30/04/2003","04/08/2003","","Leodest Road is an invalid locality name"
"7367c32fa5b4213f54029e1c2479012d","","","Plot 17","Larivane Meadows","Leodest Road","Andreas","","Andreas","","182500.0","21/05/2003","06/08/2003","","Leodest Road is an invalid locality name"
"d3e2ce30ec0bd23c1fa63ea5576969bf","","2","","Georges Close","Leodest Road","Andreas","","Andreas","","260000.0","20/10/2005","13/01/2006","","Leodest Road is an invalid locality name"
"d599bd87a74918bf3df19208d056af7e","","2","","Georges Close","Leodest Road","Andreas","","Andreas","525000.0","525000.0","19/10/2023","01/11/2023","","Leodest Road is an invalid locality name"
"62cc653ba8102fab1337523f73ec53e7","","1","","Georges Close","Leodest Road","Andreas","","Andreas","","280000.0","09/09/2005","16/01/2006","","Leodest Road is an invalid locality name"
"8ab60600bcd323d061a9088afc3cabba","","1","","Georges Close","Leodest Road","Andreas","IM7 4HZ","Andreas","","296000.0","11/12/2006","03/05/2007","","Leodest Road is an invalid locality name"
"2c4ff5ed134aba58338711d2bfd316c9","","1","","Georges Close","Leodest Road","Andreas","IM7 4HZ","Andreas","350000.0","0.25","31/10/2008","18/02/2009","","Leodest Road is an invalid locality name"
"6d95ec9ec3bf7d4283a64402fbf00942","","1","","Mountain View ","Main Road","Andreas","IM7 4EZ","Andreas","","267000.0","12/05/2006","30/06/2006","","Main Road is an invalid locality name"
"0fffab1b20f5a223ccd3e742949f47d7","","3","","St Georges Close","Leodest Road","Andreas","IM7 4HA","Andreas","","279000.0","31/05/2006","17/08/2007","","Leodest Road is an invalid locality name"
"0abba4e0b4b75db2e8aa3f9996fee682","","17","","Ballaradcliffe","Kiondroghad Road","Andreas","IM7 3EN","Andreas","170000.0","170000.0","25/05/2007","07/12/2007","","Kiondroghad Road is an invalid locality name"
"1d499d042a680c94bb4008903eb2e698","","17","","Ballaradcliffe","Kiondroghad Road","Andreas","IM7 3EN","Andreas","250000.0","250000.0","31/03/2023","15/05/2023","","Kiondroghad Road is an invalid locality name"
"811fa1213891080ff564659dee9b8353","Plot 4","","","Georges Close","Leodest Road","Andreas","IM7 4HA","Andreas","380000.0","380000.0","19/12/2007","03/12/2008","","Leodest Road is an invalid locality name"
"e0a0c79f474a0bed85a6d9927f6664cb","","2","","Ballalough Beg","Bride Road","Andreas","IM7 4HR","Andreas","142500.0","142500.0","25/07/2008","30/11/2008","","Bride Road is an invalid locality name"
"8a8eb63c694ee341fb409e4d32ad523b","","","Parcel Of Land","The Cronk","Smeale Road","Andreas","IM7 4JA","Andreas","2500.0","2500.0","01/04/2011","03/08/2011","","Smeale Road is an invalid locality name"
"3fea3159f17eddf0f778b6840a723020","","","The Cottage","Cains Croft","Smeale Road","Andreas","IM7 4JA","Andreas","170000.0","170000.0","14/08/2015","05/02/2016","","Smeale Road is an invalid locality name"
"49f5480c81abfc074387bc148fdb5720","","","Ayre Cottage","Rue Point","Smeale Road","Andreas","","Andreas","52250.0","52250.0","08/05/2018","08/08/2018","","Smeale Road is an invalid locality name"
"7b69d95056a092fc02bf08ea13155474","","","Plot Of Land Part Of Field 1077","The Dhowin","Smeale Road","Andreas","IM7 4JA","Andreas","10000.0","10000.0","18/08/2017","23/01/2018","","Smeale Road is an invalid locality name"
"891fcb4562af90439010ffdfe2792d82","","","Parcel Of Land","Abutting Thie Cheerey","Main Road","Andreas","IM7 4HH","Andreas","5000.0","5000.0","19/06/2017","31/08/2017","","Main Road is an invalid locality name"
"8713875cf0c6993e89b39ef43755c0ad","","","Parcel Of Land","Abutting Thie Cheerey","Main Road","Andreas","IM7 4HH","Andreas","23000.0","23000.0","23/11/2021","26/01/2022","","Main Road is an invalid locality name"
"80cc970b3c6ecc4e7513db0d02e3c642","","","","Ballaslieg","Ballacorey Road","Andreas","IM7 1EL","Andreas","375000.0","375000.0","04/05/2018","25/10/2019","","Ballacorey Road is an invalid locality name"
"6e023e46c93a40b4b97909b0598f51a0","","","","Part Of Field 122653","St Judes Road","Andreas","","Andreas","45000.0","45000.0","26/03/2019","26/10/2019","","St Judes Road is an invalid locality name"
"7c33a20ee3c7bba761636171df3d1554","","3","","Ballaghaue Cottages","Andreas Road","Andreas","IM7 4EW","Andreas","215000.0","215000.0","15/09/2023","20/12/2023","","Andreas Road is an invalid locality name"
"1530df60144786685021bfe5b3dcc8f7","","","","Land At St Judes Crossroads","St Judes Road","Andreas","","Andreas","7000.0","7000.0","14/05/2025","30/05/2025","","St Judes Road is an invalid locality name"
"eca2b11a1bc3e445b8a846fd007bc621",""," 8 & 9","","Marsden Terrace","Off Shipyard Road","Ramsey","IM8 3DS","Lezayre","","127000.0","20/06/2003","06/08/2003","","Off Shipyard Road is an invalid locality name"
"536fb75afed2423ae8503c8c4298ea4a",""," 8 & 9","","Marsden Terrace","Off Shipyard Road","Ramsey","IM8 3DS","Lezayre","","273000.0","02/07/2004","09/09/2004","","Off Shipyard Road is an invalid locality name"
"54a91d717835bae155bb9ebeb59d22fc","","15","","Bridge Lane","Bowring Road","Ramsey","IM8 3DE","Lezayre","","132000.0","28/07/2003","16/03/2004","","Bowring Road is an invalid locality name"
"e61b9f4fe30d46b6786db6af4386afab","","3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","","120000.0","11/11/2003","19/03/2004","","Lezayre Road is an invalid locality name"
"c556af99526c98dd4e64fbd3aa537b47","","3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","150000.0","150000.0","04/10/2017","16/01/2018","","Lezayre Road is an invalid locality name"
"c6624e9ed0860be1f73d0b826f225c69","","3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","227000.0","227000.0","11/06/2020","02/09/2020","","Lezayre Road is an invalid locality name"
"ea465492ca55b3a05e9b860f5ab56f1b","","3","Varriaght","Altdale Terrace","Lezayre Road","Ramsey","IM8 2LR","Lezayre","227000.0","45000.0","16/09/2024","08/01/2025","","Lezayre Road is an invalid locality name"
"ee91476cec3b36ea34c656cc50e31fb2","","","Westlands","Vollan Close","Bride Road","Ramsey","IM8 3UL","Lezayre","","315000.0","03/12/2003","15/01/2004","","Bride Road is an invalid locality name"
"12fecda475393143c3aa44a00b6cd320","","1","","Belmont Terrace","Jurby Road","Ramsey","IM8 3PG","Lezayre","","103000.0","12/11/2003","12/02/2004","","Jurby Road is an invalid locality name"
"8d90c06bcdeda84199966c69c5570901","","1","","Belmont Terrace","Jurby Road","Ramsey","IM8 3PG","Lezayre","190000.0","190000.0","29/10/2007","15/03/2008","","Jurby Road is an invalid locality name"
"c83d6db5c5ddcebfb0d83b23c5dda3e3","","5","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","","180950.0","10/12/2003","28/05/2004","","Off Windsor Road is an invalid locality name"
"8bc553ce228503de2cc69434e1163156","","5","","Cowells Terrace","Off Windsor Road","Ramsey","IM8 3EE","Lezayre","","180000.0","02/06/2005","28/10/2005","","Off Windsor Road is an invalid locality name"
"5fde8cf47e0753dd3536f0cdb7b1caa7","","4","","Hanley Terrace","Bowring Road","Ramsey","IM8 3EL","Lezayre","","160000.0","19/12/2003","21/09/2004","","Bowring Road is an invalid locality name"
"8b7d1de2ab72b70fe6435ab4a634f45f","","4","","Hanley Terrace","Bowring Road","Ramsey","IM8 3EL","Lezayre","167500.0","167500.0","10/08/2016","18/10/2016","","Bowring Road is an invalid locality name"
"2d683a3cf011073e4903b599f28d48f7","","2","The Laurels","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","","175000.0","05/12/2003","19/05/2004","","Jurby Road is an invalid locality name"
"81bebba29ce007e16b0bd433bd7f6630","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","250000.0","13/02/2004","20/07/2004","","Lezayre Road is an invalid locality name"
"56605f26d1b3907f1e8c2f0cece1e247","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","255000.0","05/11/2004","13/06/2005","","Lezayre Road is an invalid locality name"
"16266efafd8373f85e4e1bdee11b1119","","","Offices Buildings And Stores","Milntown","Lezayre Road","Ramsey","","Lezayre","","510000.0","10/11/2006","03/04/2007","","Lezayre Road is an invalid locality name"
"3f2e0e20c9ef0cc76c4676c23fefa0bc","","1","","Jurby Road","Ramsey Road","Ramsey","IM8 3PF","Lezayre","167000.0","167000.0","09/03/2021","20/05/2021","","Ramsey Road is an invalid locality name"
"3a809925171acd9b84248c5bdf16b504","","1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","150000.0","26/03/2004","07/10/2004","","Shipyard Road is an invalid locality name"
"65387d75e87d99bc2811b1d04ab997d7","","1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","160000.0","24/02/2006","04/04/2006","","Shipyard Road is an invalid locality name"
"7112b5b558599d0bef270bbe7299d744","","1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","150000.0","150000.0","04/06/2015","29/09/2015","","Shipyard Road is an invalid locality name"
"5a04e54caa637feeb4d3cb03a8cc2408","","1","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","153000.0","153000.0","01/09/2015","22/12/2015","","Shipyard Road is an invalid locality name"
"5a550789ddfe57b64a1739f97b95edd3","","","8 Close Oard","Clifton Park","Jurby Road","Ramsey","IM8 3PY","Lezayre","","335350.0","26/05/2004","05/10/2004","","Jurby Road is an invalid locality name"
"47bc656ad2aaa5b18bff7cb4d29427aa","","","8 Close Oard","Clifton Park","Jurby Road","Ramsey","IM8 3PY","Lezayre","","345000.0","11/04/2006","04/07/2006","","Jurby Road is an invalid locality name"
"35eb15f22d472e84aaae5c440fb4b976","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","","534256.0","01/07/2004","10/09/2004","","Jurby Road is an invalid locality name"
"3ec73191f53e97fd698d62aa74c75f42","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","1125000.0","1125000.0","04/02/2014","24/06/2014","","Jurby Road is an invalid locality name"
"8524792906f44a44de8eab1660b05b0a","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","1250000.0","1250000.0","08/02/2023","27/02/2023","","Jurby Road is an invalid locality name"
"3c99452352b0d822dd90718b14ece84f","","","Thie Drommey","Cronk Ruagh","Jurby Road","Lezayre","IM7 2ED","Lezayre","1250000.0","1250000.0","12/12/2024","05/03/2025","","Jurby Road is an invalid locality name"
"77d659cd35be05a5d29ea07930a25cc3","","","Vollan Rigg","Vollan Close","Off Bride Road","Ramsey","IM8 3UL","Lezayre","","275000.0","06/07/2004","11/10/2004","","Off Bride Road is an invalid locality name"
"801f4efea4a03e756f640edcda83baa9","Garage 12","","Magnus Court","Kings Reach","Jurby Road","Ramsey","","Lezayre","","4000.0","13/09/2004","17/01/2005","","Jurby Road is an invalid locality name"
"c7ddda00158adf12119f82b81912bb76","Garage 12","","Magnus Court","Kings Reach","Jurby Road","Ramsey","","Lezayre","17000.0","17000.0","31/01/2020","19/02/2020","","Jurby Road is an invalid locality name"
"bb220720f06be24edf20cb54f4c7d224","","","Cass-Y-Cronk","Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","","230000.0","01/10/2004","14/01/2005","","Jurby Road is an invalid locality name"
"7eca8a2b3b09bdc83b679ebe009c0e69","","","Cass-Y-Cronk","Cronk Ruagh","Jurby Road","Lezayre","","Lezayre","275000.0","275000.0","05/09/2007","05/03/2008","","Jurby Road is an invalid locality name"
"31c13523ea947600b9629a8005c4a40a","","","Dreeym-Ny-Geay","Cronk Ruagh","Jurby Road","Lezayre","IM8 2ED","Lezayre","","650000.0","25/10/2004","25/01/2005","","Jurby Road is an invalid locality name"
"d7a265ebc2fff917c420b2087d7feeb7","","3","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","","151000.0","08/04/2005","14/06/2005","","Gibson Street is an invalid locality name"
"6bad2f49ddf000b8ff443fb84fef27b0","","3","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","","151000.0","22/11/2006","19/06/2007","","Gibson Street is an invalid locality name"
"9fb1fb7902d49ddcdb8a33024ec85529","","3","","Templar Terrace","Gibson Street","Ramsey","IM8 3DP","Lezayre","170000.0","0.25","09/12/2016","13/02/2017","","Gibson Street is an invalid locality name"
"333c2f9642a1bdf25820caf29763cf7e","","","Apartment 7","Harwood Court","North Shore Road","Ramsey","IM8 3AN","Lezayre","","90000.0","13/04/2005","22/07/2005","","North Shore Road is an invalid locality name"
"9028e483ab0898d8d8c31c9f1b7fc064","","","Apartment 7","Harwood Court","North Shore Road","Ramsey","IM8 3AN","Lezayre","63000.0","63000.0","20/06/2017","31/08/2017","","North Shore Road is an invalid locality name"
"a62b1c220ef6ba47ef4808c38993af6f","","2","","Lumby Terrace","Shipyard Road","Ramsey","IM8 3DW","Lezayre","","70000.0","15/04/2005","19/07/2005","","Shipyard Road is an invalid locality name"
"255aec08822ee2996e112ed8e72105ce","","2","Glion Loch","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","","545000.0","22/01/1998","13/12/2005","","Jurby Road is an invalid locality name"
"04e3ec308b427a35b2b599be46620a6c","","2","Glion Loch","Westhill Village","Jurby Road","Ramsey","IM8 3TD","Lezayre","546000.0","546000.0","04/07/2019","16/10/2019","","Jurby Road is an invalid locality name"
"ac5faf85afe9947564d1e50ff2ffaff6","","1","","Belmont Villas","Jurby Road","Ramsey","IM8 3PF","Lezayre","","140000.0","04/11/2005","29/11/2005","","Jurby Road is an invalid locality name"
