"From","To"
"Aandreas","Andreas"
"Ballabeg, Arbory","Ballabeg"
"Ballasalla, Malew","Ballasalla"
"Bradddan","Braddan"
"Cregneish","Cregneash"
"Cronk Y Voddy","Cronk-Y-Voddy"
"Cstletown","Castletown"
"Dougls","Douglas"
"Kik Michael","Kirk Michael"
"Lezarye","Lezayre"
"Lezaye","Lezayre"
"Maugthold","Maughold"
"Micahel","Michael"
"Onhan","Onchan"
"Pee1","Peel"
"Peek","Peel"
"Poer Erin","Port Erin"
"Port Errin","Port Erin"
"Porst St Mary","Port St Mary"
"Port Saint Mary","Port St Mary"
"Port St  Mary","Port St Mary"
"Port St. Mary","Port St Mary"
"Sanron","Santon"
"St John","St Johns"
"St John's","St Johns"
"St. Johns","St Johns"
"St.Johns","St Johns"
"St. Marks","St Marks"
"Tromode, Douglas","Tromode"
