SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
,,Field North Of Ballawhannel Farm,Lhen Road,,Bride,,Bride,,475.00,21/04/1975,11/04/2001
,,Bride Service Reservoir,Lhen Road,,Bride,IM7 4BG,Bride,,105.00,06/06/1946,29/05/2002
,,Starvold,Bride Road,,Bride,IM7 4AE,Bride,,"345,000.00",19/07/2002,14/08/2002
,,Mountain View,Pinfold Hill,,Bride,IM7 4AS,Bride,,"243,000.00",26/07/2002,12/02/2003
,,Shellag Farmhouse,Crosby Farm Lane,,Bride,IM7 4AR,Bride,,"340,000.00",11/07/2002,10/04/2003
,,Shellag Farmhouse,Crosby Farm Lane,,Bride,IM7 4AR,Bride,"460,000.00","460,000.00",24/08/2007,15/01/2008
,,Crosby Farm,Bride Road,,Bride,IM7 4AR,Bride,,"500,000.00",02/10/2002,20/12/2002
,,Kays Cottage,Ballacorey Road,,Bride,IM7 4AW,Bride,,"183,000.00",23/09/2002,24/01/2003
,,Glion Cottage,Thurot Cottage Road,,Bride,IM7 4BE,Bride,,"160,000.00",31/10/2002,30/04/2003
,,Glion Cottage,Thurot Cottage Road,,Bride,IM7 4BE,Bride,,"228,500.00",02/09/2005,13/09/2005
,,Glion Cottage,Thurot Cottage Road,,Bride,IM7 4BE,Bride,"228,500.00",0.00,27/08/2019,24/03/2021
,,Glion Cottage,Thurot Cottage Road,,Bride,IM7 4BE,Bride,"200,000.00","200,000.00",31/03/2021,30/06/2021
,,Fields At Glentruan,Lhen Road,,Bride,IM7 4BG,Bride,,"30,000.00",06/12/2002,08/04/2003
,,Fields At Glentruan,Lhen Road,,Bride,IM7 4BG,Bride,,"282,750.00",30/09/2019,06/02/2020
,,Lane Abutting Fields,Glentruan And Lhen Road,,Bride,IM7 4BG,Bride,,"30,000.00",06/12/2002,05/08/2003
,,Lane Abutting Fields,Glentruan And Lhen Road,,Bride,IM7 4BG,Bride,,"282,750.00",30/09/2019,06/02/2020
,,,Land Abutting Kionlough Road,Ballavair,Bride,IM7 4AG,Bride,,"20,000.00",12/02/2003,09/06/2003
,,Rheast-Twoaie,Ballacorey Road,,Bride,IM7 4AW,Bride,,"151,000.00",16/06/2003,13/02/2004
,,,Land Part Of Shellag Bride,,Bride,IM7 4AR,Bride,,0.25,09/09/2003,06/02/2004
,,Boodee Beg,Kionlough,,Bride,IM7 4AF,Bride,,"290,000.00",07/08/2003,12/02/2004
,,Boodee Beg,Kionlough,,Bride,IM7 4AF,Bride,"549,000.00","549,000.00",06/01/2012,12/03/2012
,,Boodee Beg,Kionlough,,Bride,IM7 4AF,Bride,"780,000.00","780,000.00",08/10/2021,03/11/2021
,,Parcel Of Land,Part Of Kewins Lands,Ballakilley,Bride,,Bride,,"2,000.00",06/08/2003,17/03/2004
,,Ballamooar Farmhouse,Cranstal,,Bride,IM7 4BP,Bride,,"384,000.00",28/08/2003,12/08/2004
,,,Fields Numbered 110849 And 110853,,Bride,,Bride,,"10,500.00",09/03/2004,30/06/2004
,,,Land At Ballaghennie,,Bride,,Bride,,"5,000.00",19/01/2004,30/06/2004
,,Greenlands,Nassau Road,Dogmills,Bride,IM7 4AQ,Bride,,"240,000.00",19/04/2004,30/06/2004
,,Lough Cottage,Cranstal,,Bride,IM7 4BP,Bride,,"115,000.00",21/06/2004,30/07/2004
,,A Parcel Of Land,Canaan,West Kimmeragh Road,Bride,IM7 4BA,Bride,,"9,000.00",14/05/2004,17/08/2004
,,A Parcel Of Land,Canaan,West Kimmeragh Road,Bride,IM7 4BA,Bride,"10,000.00",0.25,25/05/2016,01/08/2016
,,Ballacottier Farmhouse,Lambhill,,Bride,IM7 4BL,Bride,,"125,000.00",24/08/2004,07/10/2004
,,Ballacottier Farmhouse,Lambhill,,Bride,IM7 4BL,Bride,"380,000.00","380,000.00",22/07/2009,13/08/2009
,,Ballacottier Farmhouse,Lambhill,,Bride,IM7 4BL,Bride,"544,950.00","544,950.00",09/02/2022,29/06/2022
,,Cranstal Cottage,Cranstal,,Bride,IM7 4BP,Bride,,"185,000.00",21/10/2004,18/11/2004
,,Cranstal Cottage,Cranstal,,Bride,IM7 4BP,Bride,"110,000.00","110,000.00",18/08/2010,11/11/2010
,,Fy Yerrey,Ballavarteen Road,,Bride,IM7 4AL,Bride,,"365,000.00",13/09/2004,13/01/2005
,,Fy Yerrey,Ballavarteen Road,,Bride,IM7 4AL,Bride,"600,000.00","600,000.00",28/10/2022,10/01/2023
,,Land At Kionlough,Kionlough,,Bride,,Bride,,"10,000.00",08/12/2003,13/01/2005
,,The Cottage,Kionlough,,Bride,IM7 4AG,Bride,,"138,000.00",16/12/2004,11/01/2005
,,The Cottage,Kionlough,,Bride,IM7 4AG,Bride,"107,500.00","40,000.00",22/08/2008,15/10/2008
,,Bluebell Cottage,Kionlough,,Bride,IM7 4AG,Bride,"198,000.00","198,000.00",12/10/2018,26/06/2019
,,Part Of Field 111304 Adjacent To,Lheakarrow Cottage,Andreas Road,Andreas,,Bride,,"27,500.00",12/11/2004,25/02/2005
,,Part Of Field 111304 Adjacent To,Lheakerrow Cottage,Andreas Road,Andreas,,Bride,"50,000.00","50,000.00",10/10/2007,04/02/2008
,,Part Of Field Number 114018,Nassau Road,,Bride,,Bride,,"2,000.00",31/12/2004,09/03/2005
,,The Disorderly Retreat,Dogmills,,Bride,IM7 4AD,Bride,,"640,000.00",28/02/2005,31/03/2005
,,The Haven,Dogmills,,Bride,IM7 4AD,Bride,"619,000.00","619,000.00",08/03/2019,17/04/2019
,,Workshop And Warehouse,Nassau Road,Regaby,Bride,,Bride,,"145,000.00",31/03/2005,18/04/2005
,,Workshop And Warehouse,Nassau Road,Regaby,Bride,,Bride,"145,000.00",0.00,26/04/2023,19/06/2023
,,Smithy House,Bride Road,Kionlough,Bride,IM7 4AE,Bride,,"315,000.00",24/03/2005,20/05/2005
,,Field,Part Of Ballakilley,,Bride,,Bride,,"4,000.00",29/03/2005,04/08/2005
,,Field,Part Of Ballayonaigue,,Bride,,Bride,,"16,000.00",29/03/2005,03/08/2005
,,The Old Post Office,Chapel Hill,,Bride,IM7 4BH,Bride,,"290,000.00",30/09/2005,03/01/2006
,,,Land Abutting Main Road,Crosby,Bride,,Bride,,"30,000.00",30/11/2005,22/12/2005
,,Ellan Thie,Main Road,,Bride,IM7 4AT,Bride,,"25,000.00",17/10/2005,16/01/2006
,,Ellan Thie,Main Road,,Bride,IM7 4AT,Bride,"160,000.00","160,000.00",30/04/2009,08/06/2009
,,Bride Cottage,Bride Village,,Bride,IM7 4AT,Bride,"75,000.00","75,000.00",15/10/2013,25/02/2014
,,,Glentruan Cottage,,Bride,IM7 4BG,Bride,,0.00,14/06/2006,12/09/2006
,,Kionlough Farmhouse,Kionlough Lane,,Bride,IM7 4AG,Bride,,"100,000.00",24/04/2006,22/09/2006
,,The Old Coach House,Bride Road,,Bride,IM8 3UN,Bride,,"495,000.00",26/07/2006,07/12/2006
,,The Old Coach House,Lhen Road,,Bride,IM7 4BQ,Bride,"540,000.00","540,000.00",24/09/2018,26/11/2018
,,Plot Of Land,Part Of Ballakilley,,Bride,,Bride,,"9,000.00",20/06/2006,18/04/2007
,,Plot Of Land,Abutting Ramsey To Bride Highroad,Part Of The Estate Of Ballakilley,Bride,,Bride,,"3,000.00",20/06/2006,19/12/2006
,,Seafield,Cranstal,,Bride,IM7 4BS,Bride,,"230,000.00",28/06/2006,18/04/2007
,,Seafield,Cranstal,,Bride,IM7 4BS,Bride,"200,000.00","200,000.00",01/02/2021,15/02/2021
,,Rose Cottage,Bride Road,Dogmills,Ramsey,IM7 4AB,Bride,,"305,000.00",15/08/2006,27/04/2007
,,Rose Cottage,Bride Road,,Ramsey,IM7 4AB,Bride,"305,000.00","305,000.00",29/11/2023,04/12/2023
,,Ballaghennie Cottage,Lhen Road,,Bride,IM7 4BG,Bride,,"235,000.00",01/12/2006,16/07/2007
,,Ballaghennie Farm,Lhen Road,,Bride,IM7 4BF,Bride,,0.25,02/03/2007,23/08/2007
,,Ballaghennie Farm,Lhen Road,,Bride,IM7 4BF,Bride,"240,000.00",0.25,07/12/2017,14/12/2017
,,Glascoe Farm,Grenaby Road,,Dogmills,IM7 4AN,Bride,"1,600,000.00","1,600,000.00",10/01/2007,11/07/2008
,,Glascoe Farm,Grenaby Road,,Dogmills,IM7 4AN,Bride,"1,425,000.00",0.00,02/02/2024,12/02/2024
,,Land,Ballacree Estate,,Bride,,Bride,,"96,500.00",28/09/2006,23/05/2007
,,Thie Vannin,Nassau Road,Regaby,Bride,IM7 4AL,Bride,"410,000.00","410,000.00",12/04/2007,31/10/2007
,,Thie Vannin,Nassau Road,Regaby,Bride,IM7 4AL,Bride,"360,000.00","360,000.00",12/04/2018,16/05/2018
,,Ballavarteen,Grenaby Road,,Bride,IM7 4AN,Bride,"420,000.00","420,000.00",11/05/2007,10/11/2007
,,Ballavarteen,Grenaby Road,,Bride,IM7 4AN,Bride,"427,500.00","427,500.00",12/06/2012,30/07/2012
,,Ballavarteen,Grenaby Road,Regaby,Bride,IM7 4AN,Bride,"550,000.00","550,000.00",12/08/2022,27/01/2023
,,Grenaby Farm,Grenaby Road,,Dogmills,IM7 4AN,Bride,"610,000.00","610,000.00",11/04/2007,17/11/2007
,,Grenaby Farm,Grenaby Road,,Dogmills,IM7 4AN,Bride,"700,000.00","700,000.00",30/08/2019,17/10/2019
,,Treetops Barn,Cranstal,,Bride,IM7 4BP,Bride,"445,000.00","445,000.00",19/04/2007,17/11/2007
,,Kerrowdhoo Beg,Cranstal,,Bride,IM7 4BR,Bride,"181,000.00","181,000.00",14/12/1979,26/09/2007
,,Lheakerrow Cottage,Andreas Road,,Bride,,Bride,"150,000.00","150,000.00",04/10/2007,11/02/2008
,,Land At Kerrow-Ny-Cronk,Pinfold Hill,,Bride,IM7 4AS,Bride,"6,000.00","6,000.00",12/11/2007,27/02/2008
,,Ballabrune,Dogmills,,Bride,IM7 4AD,Bride,"137,500.00","137,500.00",27/09/2007,20/03/2008
,,Driftwood,The Dog Mills,,Bride,IM7 4AD,Bride,"715,000.00","715,000.00",24/08/2022,08/09/2022
,,Fair Green,Nassau Road,,Bride,IM7 4AQ,Bride,"325,000.00","325,000.00",30/11/2007,03/05/2008
,,Sequoia,Nassau Road,Dog Mills,Bride,IM7 4AQ,Bride,"305,000.00","305,000.00",21/08/2020,06/10/2020
,,Kerrow Ne Cronk,Pinfold Hill,,Bride,IM7 4AS,Bride,"153,000.00","153,000.00",14/01/2008,23/06/2008
,,Kerrow Ne Cronk,Pinfold Hill,,Bride,IM7 4AS,Bride,"225,000.00","225,000.00",25/02/2009,27/03/2009
,,The Brambles And Gorse Banks,Cranstal,,Bride,IM7 4BS,Bride,"230,000.00","230,000.00",14/12/2007,30/06/2008
,,The Brambles,Cranstal,,Bride,IM7 4BS,Bride,"203,000.00","203,000.00",06/11/2008,13/11/2008
,,The Brambles,Cranstal,,Bride,IM7 4BS,Bride,"205,000.00","43,000.00",19/01/2018,24/01/2018
,,Parcel Of Land,Part Of Kionlough,,Bride,,Bride,"10,000.00","10,000.00",06/02/2008,15/12/2009
,,25.2 Acres Of Land,Formerly Known As Shellaugh,,Bride,,Bride,"12,500.00",0.25,30/04/2008,15/09/2008
,,Land At Gorse Bank,Cranstal,,Bride,,Bride,0.25,0.25,14/08/2008,05/09/2008
,,Land At Gorse Bank,Cranstal,,Bride,,Bride,0.25,0.25,26/09/2008,06/11/2008
,,Gorse Bank,Cranstal,,Bride,IM7 4BS,Bride,"154,000.00","154,000.00",26/09/2008,13/11/2008
,,Ballacregga,Lhen Road,,Bride,IM7 4BF,Bride,"585,000.00","585,000.00",07/08/2007,05/11/2008
,,Ballacregga,Lhen Road,,Bride,IM7 4BF,Bride,"750,000.00","250,000.00",07/07/2016,26/09/2016
,,Phoenix,Ballacorey Road,,Bride,IM7 4AW,Bride,"200,000.00","200,000.00",30/05/2008,27/11/2008
,,Phoenix,Ballacorey Road,,Bride,IM7 4AW,Bride,"485,000.00","485,000.00",29/01/2015,01/07/2015
,,Ballacondra Farmhouse,Cranstal,,Bride,IM7 4BP,Bride,"400,000.00","400,000.00",13/08/2008,08/01/2009
,,Ballacondra Farmhouse,Cranstal,,Bride,IM7 4BP,Bride,"380,000.00","380,000.00",03/11/2017,29/08/2018
,,Billey Millish,Nassau Road,Regaby,Bride,IM7 4AL,Bride,"210,000.00","210,000.00",27/11/2008,24/09/2009
,,Billey Millish,Nassau Road,Regaby,Bride,IM7 4AL,Bride,"130,000.00","130,000.00",14/01/2016,21/04/2016
,,Sycamore Cottage,Kionlough,,Bride,IM7 4AF,Bride,"190,000.00","25,000.00",29/01/2009,24/06/2009
,,Sycamore Cottage,Kionlough,,Bride,IM7 4AF,Bride,"190,000.00","25,000.00",12/12/2016,24/02/2017
,,Sycamore Cottage,Kionlough,,Bride,IM7 4AF,Bride,"225,000.00","225,000.00",16/12/2016,28/02/2017
,,Sycamore Cottage,Kionlough,,Bride,IM7 4AF,Bride,"280,000.00","280,000.00",16/08/2019,12/11/2019
,,Sycamore Cottage,Kionlough,,Bride,IM7 4AF,Bride,"369,000.00","369,000.00",30/09/2022,07/12/2022
,,Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"200,000.00","200,000.00",23/07/2009,23/07/2009
,,Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"390,000.00","390,000.00",20/06/2016,28/06/2016
,,Orry's Mount Lodge,Grenaby Road,,Bride,IM7 4AN,Bride,"650,000.00",0.00,13/08/1996,22/12/2009
,,A Plot Of Land Abutting,Orry's Mount Lodge,Grenaby Road,Bride,IM7 4AN,Bride,"10,000.00","10,000.00",19/08/2009,22/12/2009
,,Land Adjacent To Mostyn Ville,Chapel Hill,,Bride,IM7 4BH,Bride,"135,000.00","135,000.00",05/02/2010,04/06/2010
,,Land Adjacent To Mostyn Ville,Chapel Hill,,Bride,IM7 4BH,Bride,"330,000.00","330,000.00",26/11/2014,05/06/2015
,,Land Part Of Rheast-Tha-Wee,Ballasleig,,Bride,,Bride,"6,000.00",0.25,04/03/2010,25/11/2010
,,Land Part Of Rheast-Tha-Wee,Ballasleig,,Bride,,Bride,"6,000.00",0.25,04/10/2010,25/11/2010
,,Land Part Of Rheast-Tha-Wee,Ballasleig,,Bride,,Bride,"6,000.00",0.25,30/11/2015,11/08/2016
,,The Sand Pit,West Kimmeragh,,Bride,,Bride,"175,000.00","175,000.00",22/04/2010,10/11/2010
