"PA Ref","Proposal","Property Address","Decision","PA Decision Issued","Determining Body","Appeal Lodged","Appeal Determined","Appeal Decision","Year","URL"
"20/00787/B","Full approval for three dwellings on plots 2,4 and 6 with drainage, access and landscaping and Approval in principle for two dwellings on plots 1 and 3 addressing siting, landscaping drainage and means of access.","Field 314758 Main Road St Johns Isle Of Man  ","Permitted","16-Jul-21","Planning Committee","03-Aug-21","12-Jan-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00787/B"
"20/00967/C","Change of use from Public House (class 1.3) to residential property (class 3.3)","Liverpool Arms Main Road Baldrine Isle Of Man IM4 6AE","Refused","28-Oct-20","Principal Planner- North (CB)","30-Oct-20","15-Dec-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/00967/C"
"20/01390/B","Erection of 3 detached dwellings","Land Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4EE ","Refused","07-Jan-22","Director 2017+","24-Jan-22","15-Jun-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01390/B"
"20/01407/B","Erection of detached garage with additional living accommodation above","Plot 21, Crosby Meadows Crosby Isle Of Man IM4 2EE ","Refused","23-Sep-21","Principal Planner- North (CB)","05-Oct-21","25-Mar-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01407/B"
"20/01435/B","Construction of a horse manege (retrospective)","Field No. 124965  Ardonan Nurseries Ardonan Lane Regaby Ramsey IM7 3HN","Permitted","01-Sep-21","Head of Development Management","17-Sep-21","25-Mar-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01435/B"
"20/01507/A","Approval in principle for four detached dwellings and associated access","Conister Main Road Santon Isle Of Man IM4 1JB","Permitted","15-Dec-21","Planning Committee","30-Dec-21","15-Jun-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01507/A"
"20/01538/B","Erection of a 15 metre telecommunication pole with associated equipment cabinets and fencing","Vacant Plot  Woodbourne Lane And To Rear Of 7 - 11 Woodbourne Villas Douglas Isle Of Man IM2 3LJ ","Permitted","19-Jul-21","Planning Committee","23-Jul-21","18-Jan-22","Refused at appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=20/01538/B"
"21/00032/B","Additional use of site for sale of food (30sq.m), sale of outdoor activity and country clothing (75sq.m) and sale of conservatory furniture (50sq.m)","Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF ","Refused","18-Mar-21","Planning Committee","08-Apr-21","12-Jan-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00032/B"
"21/00228/A","Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities with associated parking addressing siting, access, design and external appearance","Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP ","Permitted","31-May-22","Planning Committee","20-Jun-22","23-Nov-22","Refused at appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00228/A"
"21/00433/B","Alterations and erection of replacement extension","Byculla Walpole Road Ramsey Isle Of Man IM8 1LT","Refused","13-Sep-21","Head of Development Management","30-Sep-21","25-Mar-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00433/B"
"21/00526/A","Approval in Principle for the erection of a proposed detached dwelling, addressing means of access","Scout Clubroom Dalby Isle Of Man IM5 3BT ","Refused","11-Aug-21","Principal Planner- North (CB)","26-Aug-21","25-Mar-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00526/A"
"21/00682/B","Erection of equestrian stables","Field 321619 Foxdale Road Garth Crosby Isle Of Man IM4 2HL","Refused","17-Feb-22","Head of Development Management","08-Mar-22","20-Oct-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00682/B"
"21/00740/B","Alterations and installation of front and rear dormers","1 Alexander Drive Douglas Isle Of Man IM2 3QD","Refused","19-Aug-21","Principal Planner - South (JS)","03-Sep-21","25-Mar-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00740/B"
"21/00778/C","Change of use of lower ground floor to tourist accommodation","Cregg Mill Silverdale Road Ballasalla Isle Of Man IM9 3DS","Permitted","19-Oct-22","Department Application","07-Jul-21","19-Oct-22","Department Application Approved","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00778/C"
"21/00796/B","Creation of new vehicle access, erection of boundary fence and landscaping","Close Jairg Beg Old Church Road Crosby Isle Of Man IM4 2HA","Refused","24-Jun-22","Head of Development Management","11-Jul-22","15-Dec-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00796/B"
"21/00827/B","Conversion from a retail/leisure to a restaurant (class 1.3)","Villa Marina Colonnade Unit 1-3 Villa Marina Arcade Douglas Isle Of Man IM1 2HN ","Refused","23-Feb-22","Planning Committee","11-Mar-22","12-Sep-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00827/B"
"21/00877/B","Change of use for the site from former animal waste plant and reinstate it as a plant and engineering workshop facility","DOI Baldwin Depot East Baldwin Isle Of Man IM4 5EW","Permitted","16-Dec-21","Planning Committee","05-Jan-22","15-Jun-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00877/B"
"21/00918/B","Construction of decking (retrospective)","Flat 1 8 Fort William Head Road Douglas Isle Of Man IM1 5BQ ","Permitted","07-Feb-22","Planning Committee","23-Feb-22","24-Aug-22","Refused at appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00918/B"
"21/00999/B","Variation of condition 2 to PA 19/01284/C to extend opening hours of restaurant for non resident customers","Athol Park Guest House Athol Park Port Erin Isle Of Man IM9 6EX ","Permitted","22-Nov-21","Planning Committee","13-Dec-21","15-Jun-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/00999/B"
"21/01026/B","Erection of a detached agricultural building","Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD","Permitted","23-Feb-22","Head of Development Management","15-Mar-22","12-Aug-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01026/B"
"21/01063/B","Erection of a detached dwelling","Plot To Rear Of Greenmantle Dreeym Beary Douglas Isle Of Man  ","Permitted","02-Mar-22","Principal Planner - Enf (AM)","23-Mar-22","12-Aug-22","Refused at appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01063/B"
"21/01113/A","Approval in principle for the erection of a new dwelling addressing siting, design, and means of access","Field 614795 Ballamenagh Road Baldrine Isle Of Man  ","Refused","11-May-22","Planning Committee","30-May-22","23-Nov-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01113/A"
"21/01140/B","Creation of a roof terrace with glazed screening to rear elevation","10 Osborne Grove Douglas Isle Of Man IM1 3LE","Refused","17-Jan-22","Principal Planner- North (CB)","27-Jan-22","12-Aug-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01140/B"
"21/01161/A","Approval in principle for the erection of a new dwelling, closing up of existing access, creation of new access and demolition of part of The Bungalow, addressing details of the means of access","The Bungalow Ballamanagh Road Sulby Isle Of Man IM7 2HB","Refused","10-May-22","Planning Committee","25-May-22","14-Nov-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01161/A"
"21/01252/B","Proposed new games/common room in association with the current tourist units, and creation of a new first floor tourist unit.","Ballaterson Beg  Ballaterson Manor Road Ballaugh Isle Of Man  ","Refused","30-May-22","Principal Planner- North (CB)","20-Jun-22","23-Nov-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01252/B"
"21/01288/B","Erection of raised decking (retrospective)","41 Castlemona Avenue Douglas Isle Of Man IM2 4EB","Refused","12-Jan-22","Head of Development Management","31-Jan-22","12-Sep-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01288/B"
"21/01572/B","Erection of a shed with the additional use as a gym/personal training business","Sulby 7 Second Avenue Douglas Isle Of Man IM2 6AW","Refused","04-Feb-22","Head of Development Management","21-Feb-22","12-Aug-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/01572/B"
"21/10001/S1","Application for de-registration of a building (RB295)","Cosy Nook Shore Road Port Erin Isle Of Man IM9 6HH","Refused","05-Oct-21","Department Application","26-Oct-21","24-May-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=21/10001/S1"
"22/00024/B","Erection of side extension with roof terrace above and associated works","Ballasalla Farm Coast Road Jurby Isle Of Man IM7 3AS ","Refused","13-Jun-22","Head of Development Management","28-Jun-22","23-Nov-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00024/B"
"22/00028/B","Construction of 3 town houses and garages.","28 - 30 Derby Square Douglas Isle Of Man IM1 3LN","Permitted","17-Mar-22","Head of Development Management","06-Apr-22","15-Dec-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00028/B"
"22/00155/B","Conversion of building into 5 residential units with associated parking","Stanley House Second Avenue Onchan Isle Of Man IM3 4LT ","Permitted","29-Mar-22","Planning Committee","11-Apr-22","17-Oct-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00155/B"
"22/00157/B","Creation of a lower ground floor apartment","Atholville 3 - 4 Castle Drive Douglas Isle Of Man IM2 4LX","Refused","30-Mar-22","Head of Development Management","07-Apr-22","26-Oct-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00157/B"
"22/00306/B","Creation of an outside seating area with associated landscaping","Land South Of MER Stop Parsonage Road Ramsey Isle Of Man  ","Permitted","24-May-22","Planning Committee","06-Jun-22","23-Nov-22","Approved at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00306/B"
"22/00531/B","Creation of a patio door to front elevation","Flat 1 5 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ","Refused","31-May-22","Head of Development Management","20-Jun-22","26-Oct-22","Refused at Appeal","2022","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00531/B"
