"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"24/91192/B","Demolition of conservatory and erection of new extension to rear of dwelling 2 Rectory Cottages Andreas Village Isle Of Man IM7 4EZ ","ANDREAS","23 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91192/B"
"24/91194/B","Installation of a twin flue to rear elevation Ballakaneen Chapel Andreas Road Andreas Isle Of Man IM7 4EN ","ANDREAS","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91194/B"
"24/00713/A","Approval in principle for residential development, with access taken from main road Land Adjacent To Main Road, Trollaby Lane, And Residential Area Of Strang Road Union Mills Isle Of Man IM4  ","BRADDAN","26 Jun 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00713/A"
"24/01097/D","Installation of illuminated and non-illuminated signage Pets At Home Unit 4/6 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR ","BRADDAN","21 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01097/D"
"24/91127/B","Installation of french doors. Fieldhouse Cronkbourne Douglas Isle Of Man IM4 4QF ","BRADDAN","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91127/B"
"24/01120/CON","Registered Building Consent for demolition aspects to PA 24/91121/B Coromandel Eleanora Drive Douglas Isle Of Man IM2 3NN ","DOUGLAS","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01120/CON"
"24/01187/CON","Registered Building Consent for demolition aspects to 24/91186/B 5 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA ","DOUGLAS","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01187/CON"
"24/91131/B","Single storey extension, roof terrace and feature window to rear, 3 no. new dormers, re-cladding of existing dormer, replacement of roof tiles, windows and garage door, internal alterations. 16 Second Avenue Douglas Isle Of Man IM2 6AW ","DOUGLAS","8 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91131/B"
"24/91177/B","Redevelop the redundant workshop building to create 2 apartments Store And Garage 2 - 4 Parr Street Lane Douglas Isle Of Man IM1 1BN ","DOUGLAS","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91177/B"
"24/91179/B","Installation of free-standing electric sauna Sunny Gables Somerset Road Douglas Isle Of Man IM2 5BA ","DOUGLAS","23 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91179/B"
"24/91180/B","Installation of replacement windows Flat 4 Marlbrough Court Alexander Drive Douglas Isle Of Man IM2 3QH ","DOUGLAS","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91180/B"
"24/91186/B","Creation of off-road parking, Including dropped kerb, stone pillars and gate 5 Cronkbourne Avenue Douglas Isle Of Man IM2 3LA ","DOUGLAS","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91186/B"
"24/91172/B","Landscaping works and construction of garden walls and terrace; replacement of window with upvc door to access terrace. The Bungalow Baldrine Hill Baldrine Isle Of Man IM4 6DS ","GARFF","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91172/B"
"24/91184/B","Installation of 8 solar panels to roof of detached garage Dhrynane House Maughold Isle Of Man IM7 1AS ","GARFF","23 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91184/B"
"24/91191/B","Installation of first-floor-level window to Front/North gable wall of dwelling. Copper Top 1 Booilushag Ballajora Ramsey Isle Of Man IM7 1BD ","GARFF","23 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91191/B"
"24/91171/B","Reconfiguration of existing car park including the creation of 8 additional car parking spaces, alterations to forecourt to increase vehicle manouverability and installation of hardstanding Unit 73-77 Balthane Park Balthane Ballasalla Isle Of Man IM9 2AX ","MALEW","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91171/B"
"24/01100/CON","Registered Building Consent for internal and external alterations including the installation of roof maintenance access system, replacement of modern or damaged lintels, reinstatement of an internal wall within Bake House and construction of a new chimney stack on gable, and the installation of additional rainwater goods to Tower - RB 1 (in association with application 24/91083/GB). Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","MICHAEL","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01100/CON"
"24/91083/GB","Alterations including the installation of roof maintenance access system and construction of a new chimney stack on gable of Bake House (in association with RB consent application 24/01100/CON). Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","MICHAEL","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91083/GB"
"24/01152/GB","Demolition of single storey flat roof elements at western side of building, and erection of a new dwelling on land to west of existing building (in association with registered building consent application 24/01173/CON) Groudle Glen House King Edward Road Onchan Isle Of Man IM3 2JY ","ONCHAN","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01152/GB"
"24/01173/CON","Registered Building Consent for demolition of single storey flat roof elements at western side of building, and associated works to openings and external walls - RB 287 (in association with 24/91152/GB) Groudle Glen House King Edward Road Onchan Isle Of Man IM3 2JY ","ONCHAN","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/01173/CON"
"24/91016/B","Alteration works to stone barns, including: demolition of lean-to extensions to Buildings E and F; partial conversion of Barn C to dwelling; construction of two-storey building between Buildings F and G; single-storey extension to Building F; creation of concrete hardstanding (retrospective) Bibaloe Moar Whitebridge Hill Onchan Isle Of Man IM4 5AE ","ONCHAN","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91016/B"
"24/91027/B","Construction of rear extensions to form sunroom and utility room Clypse Moar Cottage Plot 1 Clypse Moar Road Onchan Isle Of Man IM4 5BG ","ONCHAN","10 Sep 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91027/B"
"24/91174/B","Variation of Condition 1 of PA 20/01204/B - extension of time for commencement of works Turnberry Alberta Drive Onchan Isle Of Man IM3 1LT ","ONCHAN","21 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91174/B"
"24/91208/B","Demolition of existing conservatory and erection of ground floor extensions (amendments to PA 24/00687/B) Ballakaighen Whitebridge Road Onchan Isle Of Man IM4 6AD ","ONCHAN","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91208/B"
"24/91114/B","Replacement dwelling on the site of an existing timber framed cottage Briardale Belle Vue Peel Isle Of Man IM5 1UH ","PEEL","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91114/B"
"24/91115/B","Installation of replacement windows 1 Kellys Court St Peters Lane Peel IM5 1AP ","PEEL","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91115/B"
"24/91150/B","Widening of existing driveway entrance Southview Poortown Road Peel Isle Of Man IM5 1QG ","PEEL","18 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91150/B"
"24/91182/B","Installation of replacement windows to side elevation Creek Inn Station Place Peel Isle Of Man IM5 1AT ","PEEL","17 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91182/B"
"24/91196/B","Installation of replacement window to front elevation 3 Stanley Mount Peel Isle Of Man IM5 1NE ","PEEL","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91196/B"
"24/91129/B","Installation of replacement windows to front elevation Sunny Crest Lime Street Port St Mary Isle Of Man IM9 5EE ","PORT ST MARY","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91129/B"
"24/91183/B","Replacement of existing UPVC front doors with hardwood timber single door with side-lights. Middle Apartment Endfield House The Promenade Port St Mary Isle Of Man IM9 5DE ","PORT ST MARY","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91183/B"
"24/91198/B","Installation of replacement of roof covering Loen Fistard Road Fistard Port St Mary Isle Of Man IM9 5HF ","PORT ST MARY","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91198/B"
"24/91146/B","Redevelopment of an existing Sure Mobile site that will consist of replacing the current monopole with a new 15 meter slimline lattice with multiple mobile panel antennas/dishes/radio kit with associated ground equipment cabinets and boundary fence. Sure Mobile Site Shipyard Road Ramsey Isle Of Man IM8 3DT ","RAMSEY","22 Oct 2024","2024-10-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91146/B"
"24/91149/B","Erection of Polytunnel Field 425236 Ballamaddrell Farmhouse  Grenaby Road Ballabeg IM9 4HD  ","ARBORY","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91149/B"
"24/91121/B","Replacement of garage door with window and creation of a doorway to south-west elevation 4 Clybane Close Douglas Isle Of Man IM2 2LS ","BRADDAN","10 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91121/B"
"24/91141/B","Single storey extension to West elevation of existing dwelling (Dwelling approved under PA 17/00105/B) Ballacaroon West Baldwin Road Mount Rule Isle Of Man IM4 4HW ","BRADDAN","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91141/B"
"24/91156/B","Erection of log cabin in rear garden, to be used as a hobby room 2 Camlork Place Union Mills Isle Of Man IM4 4NY ","BRADDAN","15 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91156/B"
"24/91181/B","Erection of an external canopy to existing service yard (Amendment to PA 24/00665/B) B&Q Unit 35 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QT ","BRADDAN","16 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91181/B"
"24/91094/B","Installation of decking and extension to existing shed (retrospective) 4 College Green Castletown Isle Of Man IM9 1BE ","CASTLETOWN","14 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91094/B"
"24/00586/B","Erection of up to 14 storey of mixed use development including a multiscreen cinema (Class 4.4); office space (Class 2.1); 9 commercial units (Classes 1.1 to 2.1); bus information centre; public toilets; bus driver welfare area; 5 bus stands on Lord Street with associated waiting areas; site development and landscaping works; back of house area, plant facilities and circulation space; green roof terrace; 85 residential apartments (Class 3.4); and private parking facilities (91 car spaces). Land At Lord Street Car Park Lord Street Douglas Isle Of Man IM1 2BL ","DOUGLAS","10 Jul 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/00586/B"
"24/91119/B","Demolition of side facing porch, window / door alterations, replacement of balustrade and replace garage door with bi-fold doors Coromandel Eleanora Drive Douglas Isle Of Man IM2 3NN ","DOUGLAS","11 Oct 2024","2024-10-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=24/91119/B"
