Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,08/01297/A,Approval in principle for the erection of ten dwellings (discharging siting and means of access),14-May-12,Head of Development Management,Land Between Belmont Hill And Ballakermeen Avenue Belmont Hill Douglas Isle Of Man  
Application Withdrawn,09/00110/B,Removal of condition retaining property as part of Ballamanagh Farm holding,26-Jul-12,Withdrawn,Tramman Ballamanagh Road Sulby Isle Of Man IM7 2HD
Permitted,09/01577/B,Erection of a residential development comprising 17 apartments with associated parking provision,18-Sep-12,Director Delegation,Former Crellins Taxi Depot Tower / Parsonage Road  Ramsey Isle Of Man 
Application Withdrawn,09/01941/R,Creation of a temporary construction compound and storage area,04-Jul-12,Withdrawn,Field 612629 Adjacent To Access Road   Proposed Dwelling At Barroose Farm Barroose House Barroose Road Baldrine Isle Of Man  
Application Withdrawn,09/02035/B,Conversion of building to provide two apartments,05-Dec-12,Withdrawn,10 Water Street Ramsey Isle Of Man IM8 1JP
Refused,10/00118/R,Installation of storage container (Retrospective),21-Mar-12,Director Delegation,West Kella Kella Road Sulby Isle Of Man IM7 2HG
Application Withdrawn,10/00189/R,Continued use of site as a temporary car park for a period of up to five years (Retrospective),14-Sep-12,Withdrawn,Former Site Of 1-4 Mount Havelock Mount Havelock Douglas Isle Of Man
Permitted,11/00435/B,"Erection of a 4 apartment block on vacant plot, with associated car parking and access",29-May-12,Head of Development Management,34 Castlemona Avenue Douglas Isle Of Man  
Permitted,11/00459/C,"Additional use of agricultural land for recreational activities, extension to car park and formation of zorbing tracks",12-Jun-12,Planning Committee,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD 
Permitted,11/00474/A,Approval in principle for the erection of two dwellings with vehicle accesses,09-Mar-12,Head of Development Management,Field 321270 Glen Vine Park Glen Vine Isle Of Man  
Permitted,11/00523/B,Erection of a first floor extension and replacement conservatory,12-Jan-12,Head of Development Management,10 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT
Permitted,11/00684/B,"Erection of 35 dwellings with associated highway and drainage infrastructure, public open space and landscaping",02-Mar-12,Department Application,Colby Football Club Ground Glen Road  Colby Isle Of Man IM9 4NU
Deemed withdrawn 4(3) Dev Pro Order 2005,11/00705/B,"Re-development of site as a marine recreational facility comprising berths for small boats, hotel, restaurant, shop and managers apartment",27-Nov-12,Withdrawn,Traie Meanagh Pool Traie Meanagh Drive Port Erin Isle Of Man IM9 6LL
Permitted,11/00909/B,Erection of a farm workers dwelling,23-Feb-12,Head of Development Management,Part Field 434603 Middle Cordeman Farm Cordeman Road St Marks Ballasalla Isle Of Man  
Application Withdrawn,11/00917/B,"Erection of a replacement dwelling with associated landscaping, helicopter pad and associated storage building",09-Oct-12,Withdrawn,Ballateare Farm House Jurby West Isle Of Man IM7 3AS 
Application Withdrawn,11/00927/B,Extension to existing agricultural shed with hard-standing,02-Mar-12,Withdrawn,Field 310653 Bwoalliecowle Farm  Staarvey Road Peel Isle Of Man  
Application Withdrawn,11/00974/B,Demolition of existing detached garage and erection of replacement garage with living accommodation above,04-Apr-12,Withdrawn,White Gables Alexander Drive Douglas Isle Of Man IM2 3QR
Permitted,11/00990/B,"Erection of 45 dwellings with associated highway and drainage infrastructure, public open space and landscaping",31-May-12,Department Application,"Parts Of Fields 134273,134274,134275,134276  And Adjacent Highway  East Of Gardeners Lane  Poylldooey Ramsey  Ramsey Isle Of Man  "
Application Withdrawn,11/01063/B,Erection of three agricultural buildings and erection of extensions to an existing agricultural building,01-Oct-12,Withdrawn,Ballachrink Moar Ramsey Road Laxey Isle Of Man IM4 7PP
Permitted,11/01078/B,Alterations to existing vehicular access,23-Apr-12,Planning Committee,Bibaloe Moar Farm  Whitebridge Hill Onchan Isle Of Man IM4 5AE
Permitted,11/01089/B,Demolition of existing and erection of building to provide 19 apartments with associated parking (Amendments to PA 09/00310/B),27-Feb-12,Head of Development Management,74  - 76 Waterloo Road Ramsey Isle Of Man IM8 1EH 
Refused,11/01091/B,Erection of a block of 68 apartments with landscaping and parking and demolition of no 6 Summerhill to provide amended vehicular access,19-Jun-12,Department Application,Former Tours (IOM) Site Summerhill Quarry Summerhill Douglas Isle Of Man IM2 4PF
Permitted,11/01129/B,Demolition of existing garage and workshop and erection of a dwelling with integral garage,23-Feb-12,Head of Development Management,Workshop 25 Mines Road Laxey Isle Of Man IM4 7NH 
Permitted,11/01146/B,Alterations and extensions to dwelling,04-Jan-12,Head of Development Management,3 Vicarage Park Douglas Isle Of Man IM2 2QB 
Permitted,11/01183/B,Erection of an agricultural shed to replace existing buildings,12-Jan-12,Head of Development Management,Shannon-Rhea Begoade Road Onchan Isle Of Man IM4 6AU
Application Withdrawn,11/01197/B,Erection of a detached dwelling with associated parking,22-Jun-12,Withdrawn,Plot 11 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DA 
Permitted,11/01232/B,Erection of a light industrial development comprising 4 individual buildings providing 24 separate units with parking and landscaping,20-Sep-12,Planning Committee,Field 521919 Land Adjacent To Eden Park  Cooil Road Cooil Douglas Isle Of Man  
Permitted,11/01247/B,Creation of a BMX track,12-Jan-12,Director Delegation,Cronk Grianagh Park Strang Douglas Isle Of Man  
Refused,11/01250/B,"Residential development of 100 dwellings with highway and drainage infrastructure, new school field and playground, public open space and landscaping",27-Feb-12,Department Application,"Part Field's 234267, 234456, 234555 & 230578, Parts Of Adjacent Gardens, School Grounds & Adjacent Highway, Main Road Playground, Part Public Car Park & Verge/hedge Of Slieau Curn Park, Kirk Michael"
Permitted,11/01253/B,Alterations and extension with decking to rear elevation,12-Jan-12,Head of Development Management,37 High View Road Douglas Isle Of Man IM2 5BH
Permitted,11/01260/REM,Reserved Matters Application (pursuant to PA 09/00092/A) for the construction of four dwellings with associated roads and sewers,12-Jan-12,Director Delegation,Ballabeg Main Road Glen Vine Isle Of Man IM4 4BA 
Refused,11/01268/B,Erection of a detached double garage with workshop,02-Feb-12,Head of Development Management,Faaie Wyllin Glen Road Ballaugh Isle Of Man IM7 5JD
Refused,11/01275/B,Creation of off road parking and vehicular access,12-Jan-12,Head of Development Management,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN
Permitted,11/01277/B,Erection of a replacement dwelling and garage (comprising amendments to PA  07/01217/B),11-Jul-12,Head of Development Management,Siesta (Plot 1) Oak Hill Port Soderick Isle Of Man IM4 1AT
Permitted,11/01286/B,Removal of existing storage sheds and erection of a storage building,04-Jan-12,Head of Development Management,The Vicarage Willow Lane Eairy Isle Of Man IM4 3HP 
Permitted,11/01290/A,"Approval in principle for mixed used development to provide industrial / warehousing, office / retail accommodation and leisure facilities including service road and car parking (discharging siting and means of access)",21-Aug-12,Planning Committee,Land Adjacent Industrial Estate Ballafletcher Road Cronkbourne Douglas Isle Of Man  
Refused,11/01294/A,Approval in principle for the erection of an agricultural workers dwelling,05-Apr-12,Head of Development Management,Mount Karrin  Sulby Glen Sulby Isle Of Man IM7 2BB
Permitted,11/01295/B,Alterations and extensions to dwelling including the installation of replacement windows,03-Feb-12,Head of Development Management,Burnside Glen Road Laxey Isle Of Man IM4 7AJ
Permitted,11/01296/B,Installation of replacement windows and doors,04-Jan-12,Head of Development Management,International Business School The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB
Permitted,11/01300/B,Erection of an extension to dwelling,23-Feb-12,Head of Development Management,Pooil Villa Barn Ballagawne Road Baldrine Isle Of Man IM4 6EN
Permitted,11/01301/B,"Access alterations, formation of access tracks and extension of residential curtilage",03-Apr-12,Planning Committee,Glenside Ramsey Road Peel Isle Of Man IM5 2AQ
Permitted,11/01308/B,Installation of replacement windows and doors,12-Jan-12,Head of Development Management,Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN
Permitted,11/01316/B,Erection of a replacement dwelling,20-Mar-12,Planning Committee,Pinfold Cottage Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ
Permitted,11/01317/GB,Installation of replacement windows (In association with 11/01318/CON),08-Feb-12,Head of Development Management,1 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,11/01318/CON,Registered Building consent for the installation of replacement windows (In association with 11/01317/GB) Registered Building Nos. 187,08-Feb-12,Head of Development Management,1 Victoria Terrace Douglas Isle Of Man IM2 4EU
Permitted,11/01333/B,Erection of a detached dwelling,20-Mar-12,Planning Committee,Land Adjacent To Shan Vallah The Colony Port Lewaigue Ramsey Isle Of Man  
Permitted,11/01341/B,"Demolition and rebuilding of existing front facade, alterations, extension, erection of a garage, creation of terraces and installation of replacement windows to dwelling",02-May-12,Planning Committee,48 Derby Square Douglas Isle Of Man IM1 3LP
Permitted,11/01352/B,Installation of dormer to front elevation and roof lights to rear elevation,08-Feb-12,Director Delegation,Swn Y Mor Clifton Road Port St. Mary Isle Of Man IM9 5EL
Permitted,11/01355/B,Erection of a farm worker's dwelling and extension to existing barn,08-Feb-12,Planning Committee,Field 134898 Narradale Sulby Isle Of Man  
Application Withdrawn,11/01356/B,Erection of a summerhouse,02-Feb-12,Withdrawn,Part Field 131167 Garey Road Garey Ramsey Isle Of Man  
Permitted,11/01373/B,Erection of a replacement extension to dwelling,02-Feb-12,Head of Development Management,10 Groudle View Onchan Isle Of Man IM3 2EY 
Permitted,11/01379/B,Extension (Phase 5) of existing sand pit for extraction,24-Feb-12,Head of Development Management,Cronk-Y-Scotty Coast Road Jurby Isle Of Man IM7 3ET
Refused,11/01380/B,Erection of an agricultural barn,20-Mar-12,Planning Committee,Swallow Beg Gibdale Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT 
Permitted,11/01383/GB,"Amendment to approved alterations and part demolition of the Douglas Hotel and demolition and redevelopment of the remainder of the site to create offices, Public House and basement storage (In association with 11/01384/CON)",21-Feb-12,Planning Committee,"The Douglas Hotel, Former IOM Farmers Retail Unit & The Clarendon Hotel North Quay Douglas Isle Of Man IM1 4LA"
Permitted,11/01384/CON,"Registered Building consent for the amendment to approved alterations and part demolition of the Douglas Hotel and demolition and redevelopment of the remainder of the site to create offices, Public House and basement storage (In association with 11/01383",21-Feb-12,Planning Committee,"The Douglas Hotel, Former IOM Farmers Retail Unit & The Clarendon Hotel North Quay Douglas Isle Of Man IM1 4LA"
Permitted,11/01387/REM,Erection of a detached dwelling,13-Jan-12,Head of Development Management,Plot Adjacent To Merrigal House Ballavitchel Road Crosby Isle Of Man IM4 2DL
Permitted,11/01394/B,Alterations and extensions to dwelling (comprising amendments to PA 10/01489/B),12-Jan-12,Head of Development Management,Virginia Barn  Mount Rule Douglas Isle Of Man IM4 4HW 
Permitted,11/01400/B,Erection of a replacement dwelling,12-Jan-12,Planning Committee,The Rheast  Rheast Road Santon Isle Of Man IM4 2HR 
Permitted,11/01411/B,Alterations and erection of extensions to dwelling,02-Feb-12,Head of Development Management,Burnside Cottage Glen Road Ballaugh Isle Of Man IM7 5JG
Refused,11/01415/B,Erection of an agricultural building,05-Apr-12,Head of Development Management,Former Silage Area Field 324310 Eyreton Farm Crosby Isle Of Man  
Permitted,11/01417/B,Erection of conservatory,12-Jan-12,Head of Development Management,Ellen Rhennie The Curragh Ballaugh Isle Of Man IM7 5BH 
