PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
"Erection of a replacement clubhouse to provide club facilities and function room, as well as facilities for TT camping on adjacent land, alterations and creation of new access onto Glencrutchery Road and new car park",Permitted,26-Feb-15,Planning Committee,17-Mar-15,02-Sep-15,13/00877/B,Braddan AFC Clubhouse Victoria Road Douglas Isle Of Man IM2 6AQ,Approved at Appeal
Erection of illuminated signage and menu board,Refused,25-Apr-14,Director Delegation,15-May-14,21-May-15,13/01370/D,Jean Pierre's Bistro  Ground Floor  Court Row Chambers Court Row Ramsey Isle Of Man IM8 1JS ,Approved at Appeal
Approval in principle for creation of nature reserve and erection of a detached dwelling,Refused,05-Sep-14,Director Delegation,24-Sep-14,23-Jan-15,13/91093/A,Fields 211184 And 211190  Land To The West Of Gollane House  Clenagh Road Sandygate Ramsey Isle Of Man  ,Refused at appeal
"Demolition of existing light industrial units and erection of two light industrial units with ground floor storage, first floor offices and associated parking and drainage",Permitted,02-Sep-14,Planning Committee,19-Sep-14,12-Mar-15,13/91190/B,Workshop / Storage Buildings Between Albany Lane & Berkeley Street Lane Douglas Isle Of Man IM2 3RN ,Approved at Appeal
Erection of twelve detached dwellings with associated garages and associated infrastructure,Permitted,29-Sep-14,Planning Committee,15-Oct-14,23-Jan-15,13/91367/B,Vacant Land At Bradda View Ballakillowey Colby Isle Of Man  ,Approved at Appeal
"Removal of condition 1 of PA 11/00990/B relating to the provision of affordable housing in connection with the erection of 45 dwellings, associated highway and drainage infrastructure, public open space and landscaping",Permitted,24-Apr-15,Department Application,20-Dec-13,23-Apr-15,13/91519/C,"Parts Of Fields 134273,134274,134275,134276  And Adjacent Highway  East Of Gardeners Lane  Poylldooey Ramsey Isle Of Man",Department Application Approved
"Erection of a replacement dwelling, extension of residential curtilage into parts of fields 414177 and 414179 and creation of new vehicular access",Permitted,25-Feb-14,Planning Committee,12-Mar-14,17-Dec-15,13/91532/B,Clybane Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,Refused at appeal
"Construction of a transport interchange, including tram and bus station, car park, bus parking facilities and bus refuelling and washing facilities",Refused,19-Feb-15,Department Application,10-Jan-14,19-Feb-15,14/00029/B,Manx Electric Railway Station Tram Lines And Public Car Park Albert Street And Parsonage Road    Ramsey Isle Of Man  ,Department Application refused
"Registered Building consent for internal alterations, erection of extension and combination of existing dwellings to create a single dwelling with housekeepers accommodation, enclosed swimming pool and demolition of existing garages and construction of gr",Permitted,10-Jul-14,Planning Committee,29-Jul-14,16-Mar-15,14/00090/CON,Braeside & Leafield 58  & 60 King Edward Road Onchan Isle Of Man IM3 2AT,Refused at appeal
Erection of a building to provide garaging and service facilities,Permitted,08-May-15,Planning Committee,27-May-15,23-Sep-15,14/00192/B,Land To Rear Of IOM Seafood Products Ltd  Isle Of Man Food Park Mill Road Peel Isle Of Man  ,Approved at Appeal
Variations and additional details pursuant to approved PA 11/00700/GB & PA 11/00701/CON (partial retrospective) (In association with PA 14/00320/CON),Refused,02-Sep-14,Planning Committee,08-Sep-14,10-Feb-15,14/00319/GB,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL,Decision Split at Appeal
Registered Building consent for variations and additional details pursuant to approved PA 11/00700/GB & PA 11/00701/CON (partial retrospective) (In association with PA 14/00319/CON) Registered Building Nos. 247,Refused,02-Sep-14,Planning Committee,08-Sep-14,10-Feb-15,14/00320/CON,Ballaradcliffe House Kiondroghad Road Andreas Isle Of Man IM7 3EL,Decision Split at Appeal
Erection of a detached dwelling with associated parking,Refused,12-Feb-15,Department Application,28-Oct-14,12-Feb-15,14/00335/B,Land Adjacent To Cliff Cottage Back Shore Road Laxey Isle Of Man  ,Department Application refused
Alterations to create two storey commercial building; conversion of existing apartments to form one town house and one and two bed apartments and the conversion of bar/restaurant to three apartments with associated storage facilities with all apartments t,Refused,14-May-14,Planning Committee,16-May-14,02-Sep-15,14/00338/B,"Callows Yard Nos. 6, 8, 10, 12, 14, 16, 18 & 20 Arbory Street And Fusion Bar Unit Located Behind 17 - 19 Malew Street Castletown Isle Of Man IM9 1DQ ",Approved at Appeal
Replacement of Public House with four detached dwellings with associated parking,Refused,02-Oct-14,Planning Committee,16-Oct-14,23-Jan-15,14/00349/B,The New Inn New Road Laxey Isle Of Man IM4 7HS,Approved at Appeal
"Alterations, erection of a double garage with roof terrace above and alterations to vehicular access",Refused,06-Aug-14,Planning Committee,27-Aug-14,14-Jan-15,14/00374/B,49 St Catherines Close Douglas Isle Of Man IM1 4JB ,Refused at Appeal
Conversion of redundant farm building into tourist accommodation,Refused,05-Dec-14,Head of Development Management,24-Dec-14,22-Apr-15,14/00525/B,Lower Gleneedle Gleneedle Lower Foxdale Isle Of Man IM4 3BF,Refused at Appeal
Erection of a ground floor extension to side and rear elevations including installation of external flue on proposed side extension and installation of roof dormer,Permitted,04-Sep-14,Head of Development Management,24-Sep-14,23-Jan-15,14/00621/B,127 Royal Avenue Onchan Isle Of Man IM3 1LD,Approved at Appeal
Approval in principle for erection of a dwelling,Refused,17-Jul-14,Senior Planning Officer - South (SC),04-Aug-14,14-Jan-15,14/00687/A,Land Adjacent To Kella Sheear Kella Road Sulby Isle Of Man  ,Approved at Appeal
Change of use of site from a former market garden to use for the storage of construction materials (retrospective),Permitted,13-Jan-15,Department Application,10-Jun-14,13-Jan-15,14/00689/C,Ballakinnish Nurseries Ballakinnish Richmond Hill Braddan Isle Of Man  ,Department Application Approved
Erection of an extension and installation of two roof dormers to rear elevation of dwelling,Permitted,11-Sep-14,Head of Development Management,23-Sep-14,23-Jan-15,14/00729/B,10 Station Road Peel Isle Of Man IM5 1AY,Approved at Appeal
Approval in principle for erection of a dwelling,Refused,20-Oct-14,Head of Development Management,07-Nov-14,22-Apr-15,14/00740/A,Part Of Field 424871 Main Road Ballabeg Castletown Isle Of Man  ,Refused at appeal
Change of use to outside play areas,Permitted,14-Oct-14,Planning Committee,03-Nov-14,12-Mar-15,14/00760/C,Storytime Nursery  Nursery Avenue Onchan Isle Of Man  ,Approved at Appeal
"Demolition of existing boiler room and remodelling of existing pantry, construction of a new private dance studio and family room extension with balcony area and glazed link and remodelling of existing hard landscaping (in association with 14/00767/CON)",Refused,13-Jan-15,Head of Development Management,02-Feb-15,07-May-15,14/00766/GB,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,Approved at Appeal
"Registered Building Consent for demolition of existing boiler room and remodelling of existing pantry, construction of a new private dance studio and family room extension with balcony area and glazed link and remodelling of existing hard landscaping (RB ",Refused,13-Jan-15,Director Delegation,02-Feb-15,07-May-15,14/00767/CON,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,Approved at Appeal
Creation of pavement seating area with removable barriers,Permitted,24-Apr-15,Department Application,30-Jun-14,24-Apr-15,14/00776/C,The Caff  1C Lord Street Douglas Isle Of Man IM1 1BL ,Department Application Approved
Erection of a detached garage with living accommodation over,Refused,11-Sep-14,Senior Planning Officer - South (SC),29-Sep-14,23-Jan-15,14/00782/B,Brae Villa Tromode Road Douglas Isle Of Man IM2 5EJ,Approved at Appeal
Installation of replacement windows to front and side elevations,Refused,04-Sep-14,Senior Planning Officer - South (SC),23-Sep-14,23-Jan-15,14/00785/B,Clifton   9 Drury Terrace Douglas Isle Of Man IM2 3HY,Refused at appeal
Removal of a chimney stack,Refused,22-Aug-14,Head of Development Management,04-Sep-14,14-Jan-15,14/00797/B,Springfield Cottage Quarry Road Laxey Isle Of Man IM4 7DU,Approved at Appeal
Erection of a breathing apparatus and fire training facility with associated rest room area,Permitted,13-Jan-15,Department Application,14-Jul-14,13-Jan-15,14/00808/B,Land To Rear Of Energy From Waste Plant Richmond Hill Kewaigue Braddan Isle Of Man  ,Department Application Approved
Erection of a two storey extension to side elevation of dwelling,Refused,16-Sep-14,Senior Planning Officer - North (CB),23-Sep-14,14-Jan-15,14/00826/B,15 Furman Close Onchan Isle Of Man IM3 1BT,Refused at Appeal
An application for approval in principle for residential development,Refused,13-Jan-15,Planning Committee,30-Jan-15,07-May-15,14/00847/A,Plot Of Land At Kames Court To East Of Hollin Lane Cronkbourne Douglas Isle Of Man  ,Refused at Appeal
An application for approval in principle for a residential development to replace existing Inn,Refused,28-Jan-15,Planning Committee,04-Feb-15,07-May-15,14/00882/A,Glen Helen Inn  Glen Helen St Johns Isle Of Man IM4 3NP ,Refused at Appeal
Extension to residential curtilage of dwelling (retrospective),Refused,02-Sep-14,Planning Committee,18-Sep-14,14-Jan-15,14/00885/C,Part Of Field 414242 Adjacent To Kimmeragh Ballafesson Road Port Erin Isle Of Man  ,Approved at Appeal
"Alterations and refurbishment works to building, erection of an outdoor canopy and creation of an internal retail area (in association with 14/00892/CON)",Permitted,23-Apr-15,Department Application,24-Jul-14,23-Apr-15,14/00891/GB,Railway Station Banks Circus Douglas Isle Of Man IM1 4LL,Department Application Approved
"Registered Building consent for alterations and refurbishment works to building, erection of an outdoor canopy and creation of an internal retail area (in association with 14/00891/GB) Registered Building Nos. 74",Permitted,23-Apr-15,Department Application,24-Jul-14,23-Apr-15,14/00892/CON,Railway Station Banks Circus Douglas Isle Of Man IM1 4LL,Department Application Approved
"Reclamation of river bank along Qualtrough's Yard side of Siverburn River, creation of two mid-channel islands to be used as habitat for wildlife, construction of viewing platform on the Victoria Road side leading to a riverside walkway",Application Withdrawn,02-Feb-15,Department Application,24-Jul-14,02-Feb-15,14/00894/B,Silverburn River Restoration Scheme Victoria Road Castletown Isle Of Man  ,Department Application withdrawn
 Demolition of existing building and erection of two terraced dwellings with associated parking,Permitted,28-Oct-14,Planning Committee,12-Nov-14,12-Mar-15,14/00928/B,Part Former Peel Gas Works Site And Adjacent Showroom 15 Mill Road Peel Isle Of Man IM5 1AY ,Approved at Appeal
Removal of existing shop front and erection of a new front consisting of a sliding folding door,Refused,09-Dec-14,Director Delegation,15-Dec-14,22-Apr-15,14/00934/B,35 North Quay Douglas Isle Of Man IM1 4LB,Approved at Appeal
Erection of boundary fence between North Lodge and 14 Hollin Lane (retrospective),Refused,14-Oct-14,Planning Committee,31-Oct-14,12-Mar-15,14/01023/B,North Lodge Cronkbourne Douglas Isle Of Man IM4 4QH ,Approved at Appeal
" Approval in principle for erection of three dwellings addressing siting, design, external appearance, internal layout and means of access",Refused,27-Mar-15,Planning Committee,15-Apr-15,29-Jul-15,14/01051/A,"Former Pinfold, The Bungalow, And 118A Friary Park  Main Road Ballabeg Castletown Isle Of Man IM9 4HA",Refused at Appeal
Alterations and extension to existing accommodation on first floor and conversion of second and third floors into two apartments,Refused,20-Oct-14,Director Delegation,23-Oct-14,23-Jan-15,14/01059/B,16 - 18 Castle Street Douglas Isle Of Man IM1 2EU,Approved at Appeal
"Ramsey Regeneration Phase 3, alterations to road layout, footpaths, parking and bus stop location",Permitted,12-Feb-15,Department Application,10-Sep-14,12-Feb-15,14/01066/B,Market Place  Ramsey Isle Of Man  ,Department Application Approved
Conversion of existing Guard House into a restaurant with associated parking (in association with 14/01083/CON),Permitted,03-Feb-15,Department Application,15-Sep-14,15-Jan-15,14/01082/GB,The Guard House Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Registered Building consent for the conversion of existing Guard House into a restaurant with associated parking (in association with 14/01082/GB) Registered Building Nos. 237,Permitted,03-Feb-15,Department Application,15-Sep-14,15-Jan-15,14/01083/CON,The Guard House Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Department Application Approved
Additional use of residential apartment as tourist accommodation,Permitted,09-Dec-14,Planning Committee,23-Dec-14,06-May-15,14/01089/C,Flat 43 Empress Apartments Central Promenade Douglas Isle Of Man IM2 4EE ,Refused at appeal
Change of use of footpath in front of existing café to outside seating area with removable barriers,Permitted,11-Aug-15,Department Application,16-Sep-14,11-Aug-15,14/01098/C,61 Strand Street Douglas Isle Of Man IM1 2EN,Department Application Approved
Alterations and erection of a two storey roof extension to office building,Refused,13-Feb-15,Planning Committee,05-Mar-15,25-Jun-15,14/01099/B,Exchange House 54 - 62 Athol Street Douglas Isle Of Man IM1 1JD,Approved at Appeal
Retrospective approval for the change of materials on the footways within the Conservation Area in Walpole Avenue from paving slabs to bitmac,Application Withdrawn,21-Jan-15,Department Application,18-Sep-14,21-Jan-15,14/01108/B,Walpole Avenue Douglas Isle Of Man  ,Department Application withdrawn
