Decisions issued under delegated authority 1/1/15 - 31/12/15,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Additional use of residential apartment as tourist accommodation (retrospective),Apartment 1  Derby Court 42 The Promenade Castletown Isle Of Man IM9 1BG,PER,04-Dec-15,15/01196/C
Installation of dormer window to front elevation,4 Market Place East Ramsey Isle Of Man IM8 1JY,REF,22-Dec-15,15/01197/B
Erection of an extension to dwelling,Green Meadows Main Road Glen Vine Isle Of Man IM4 4AU,PER,24-Dec-15,15/01280/B
Installation of dormer window to north elevation,Tillyloss West Baldwin Isle Of Man IM4 5HE ,PER,29-Oct-15,15/01058/B
Erection of a replacement porch to south elevation,Strathcona Ballakillowey Road Colby Isle Of Man IM9 4BN,PER,05-Nov-15,15/01101/B
Conversion of existing building for light industrial to assembly of electrical components/showroom/trade counter/storage/distribution and ancillary offices (Sui Generis) for Units A1-A4 and light industrial (Use Class 5) for Units A5-A6,Units A1 To A6 Block A Ballapaddag Industrial Estate Douglas Isle Of Man  ,PER,22-Jan-15,14/00443/B
"Alterations, replacement of garage door with a window and erection of rear porch extension to dwelling",6 Oatfield Rise Ballasalla Isle Of Man IM9 2HL,PER,29-Jan-15,14/01449/B
Conversion of banking hall into a cafe bar restaurant and installation of replacement windows (in association with 15/00071/CON),1 Prospect Hill Douglas Isle Of Man IM1 1ES ,PER,17-Mar-15,15/00070/GB
Registered Building consent for conversion of banking hall into a cafe bar restaurant and installation of replacement windows (in association with 15/00070/GB) Registered Building Nos. 195,1 Prospect Hill Douglas Isle Of Man IM1 1ES ,PER,17-Mar-15,15/00071/CON
Installation of replacement windows and doors,Beach View  8 Crown Street Peel Isle Of Man IM5 1AJ ,PER,28-May-15,15/00422/B
Creation of additional vehicular access and driveway,2 Kermode Road Crosby Isle Of Man IM4 4BZ ,PER,08-Jun-15,15/00424/B
"Alterations, erection of extensions to dwelling and creation of car parking area to rear",Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ,PER,08-Jan-15,14/01307/B
Erection of a first floor conservatory to existing flat roof terrace,Long Meadow Glen Road Ballaugh Isle Of Man IM7 5JB,PER,19-Jan-15,14/01417/B
Erection of a replacement dwelling with associated landscaping and parking,Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF,PER,30-Mar-15,15/00174/B
Reconstruction of river weir,Laxey Woollen Mills Weir Adjacent To Glen Road Laxey Isle Of Man  ,PER,18-Jun-15,15/00502/B
Installation of replacement windows and door to front elevation,12 Westminster Terrace Douglas Isle Of Man IM1 4ED,PER,10-Jun-15,15/00503/B
"Installation of replacement windows, fascia, guttering and back door",Beechwood 12 Sartfell Road Douglas Isle Of Man IM2 3NB,PER,10-Jun-15,15/00504/B
Alterations to vehicular access and driveway,30 The Meadows Kirk Michael Isle Of Man IM6 1EY,PER,10-Jun-15,15/00505/B
Enclosure of rear yard and installation of a garage door,The Bluffs Hawarden Avenue Douglas Isle Of Man IM1 4BX ,PER,18-Jun-15,15/00520/B
Change of use from an office to a retail unit,Unit 3   87 Parliament Street Ramsey Isle Of Man IM8 1AQ,PER,25-Mar-15,15/00165/C
"Alterations, erection of an extension and installation of a dormer window to dwelling",High Ridge Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN,PER,14-May-15,15/00343/B
Erection of a garden store,Brookside  Eairy Isle Of Man IM4 3HW,PER,16-Feb-15,14/01388/B
Installation of advertising vinyls to ground floor windows,Isle Of Man Bank 2 - 4 Regent Street Douglas Isle Of Man IM1 2EA ,PER,19-Feb-15,15/00053/D
Erection of porch extension to front elevation,19 Hilltop View Douglas Isle Of Man IM2 2LD,PER,27-Feb-15,15/00091/B
Alterations to existing and erection of two additional angling platforms and creation of timber access path and gate,West Baldwin Reservoir West Baldwin Isle Of Man IM4 5ET ,PER,17-Mar-15,15/00092/B
Replacement of existing glazed conservatory roof with light weight roof tiles,16 Ivydene Avenue Onchan Isle Of Man IM3 3HD,PER,10-Mar-15,15/00144/B
Erection of a storm porch,Arts And Crafts Block King Williams College  Castletown Isle Of Man IM9 1TP,PER,28-Apr-15,15/00177/B
Re- rendering over existing stone walls with plain render finish,3 Arbory Road Castletown Isle Of Man IM9 1NA,PER,18-Jun-15,15/00523/B
"Smooth render finish to rear elevation walls and installation of replacement fascia, guttering and downspouts",14 Hildesley Road Douglas Isle Of Man IM2 5AZ,PER,18-Jun-15,15/00537/B
Erection of a replacement front porch,9 The Fairway Onchan Isle Of Man IM3 2EL,PER,29-Jun-15,15/00538/B
Erection of an extension and a detached garage to dwelling,Primrose Cottage Minorca Vale Laxey Isle Of Man IM4 7DZ,PER,18-Aug-15,15/00530/B
Alterations and erection of extension to provide storage areas,Erin Arts Centre Victoria Square Port Erin Isle Of Man IM9 6LD,PER,18-Jun-15,15/00531/B
Installation of replacement windows and inclusion of French door to front elevation,Flat 1   7 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,18-Jun-15,15/00532/B
Blocking up of an existing window and replacement of existing doorway with a window to dwelling,2 Beech Close Onchan Isle Of Man IM3 3HH,PER,20-Jul-15,15/00667/B
Erection of a detached tack / rug room (retrospective),Field 124014 Greenhill Jurby Road Andreas Isle Of Man  ,PER,09-Jun-15,14/01402/B
Installation of replacement windows to front and rear elevations,12 Church Street Peel Isle Of Man IM5 1HL,PER,28-May-15,15/00433/B
Erection of a garden implement store,Chequers Garey Ramsey Isle Of Man IM7 2EQ ,PER,28-May-15,15/00436/B
Conversion of garage into a distillery with tasting facilities,Former Vehicle Garage Banks Circus Douglas Isle Of Man IM1 5AE ,PER,20-Jul-15,15/00618/B
Erection of extensions to side and rear elevations of dwelling,22 Balleigh Court Ramsey Isle Of Man IM8 3NQ ,PER,15-Jul-15,15/00621/B
Installation of steel flue on side elevation,Spyrryd Ny Marrey Old Laxey Hill Laxey Isle Of Man IM4 7BT ,PER,03-Jul-15,15/00584/B
Installation of a replacement conservatory roof with light weight roof tiles,3 Albany Close Peel Isle Of Man IM5 1JX,PER,14-Jul-15,15/00585/B
Erection of an extension to front elevation,Arcadia Ballagyr Lane Peel Isle Of Man IM5 2AD,PER,14-Jul-15,15/00586/B
Change of use from tourist accommodation to residential use,The Nook Mill Road Surby Port Erin Isle Of Man IM9 6QP ,PER,16-Jul-15,15/00644/C
Installation of a twin wall flue,Ballafayle 17 Third Avenue Douglas Isle Of Man IM2 6AL,PER,16-Jul-15,15/00645/B
Alterations to front boundary wall,How Yngren Douglas Street Castletown Isle Of Man IM9 1AY,PER,16-Jul-15,15/00646/B
Removal of existing external door and replacement with windowed panel and installation of two new external doors and side screens,Ashley Hill School Ashley Road Onchan Isle Of Man IM3 3LA,PER,27-Jul-15,15/00702/B
Erection of a sun room extension (comprising amendments to PA 14/01064/B),Crovie House Formerly Ashley House  Main Road Union Mills Isle Of Man IM4 4AG,PER,27-Jul-15,15/00704/B
Creation of parking spaces,Land Within Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man  ,PER,28-Aug-15,15/00833/B
Installation of replacement windows to front elevation (amendment to windows approved under PA 15/00313/B) (retrospective),Merchants House 24 North Quay Douglas Isle Of Man IM1 4LE,PER,07-Sep-15,15/00834/B
"Variation of condition 7 of PA 14/00201/B Alterations, extensions and conversion of ground floor from commercial to restaurant and takeaway with upper and part ground floor to a self-contained staff apartment, to revise site curtilage and car parking layo",Former Isle Of Man Bank Premises  Bowring Road Ramsey Isle Of Man IM8 2LQ,PER,16-Jul-15,15/00624/B
Erection of a summerhouse,Ingledene Ballabeg Laxey Isle Of Man IM4 7HB ,PER,15-Jul-15,15/00625/B
"Installation of bi-fold doors, enlargement of existing dormer and re-roofing garage and store to rear elevation",10 Waterloo Road Ramsey Isle Of Man IM8 1DS,PER,15-Oct-15,15/00871/B
Installation of two external oil tanks and two external boilers (in association with PA 15/00873/CON),St Matthews Church & Church Hall North Quay Douglas Isle Of Man IM1 4LB,PER,17-Sep-15,15/00872/GB
