Decisions issued under delegated authority 1/1/16 - 31/12/16,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Registered Building Consent for the removal of committee room within main hall (RB no 264),Royal British Legion Hall Janet's Corner  Castletown Isle Of Man IM9 1BX,PER,05-Jan-16,15/01297/CON
Engineering works for the partial infill of an existing gulley (retrospective),Field 434534 Kerrowkeil Road Grenaby Ballasalla Isle Of Man  ,PER,05-Jan-16,15/01298/B
Erection of an agricultural building (comprising amendments to PA 14/01230/B),High Tilt Douglas Road Kirk Michael Isle Of Man IM6 1AS,PER,05-Jan-16,15/01299/B
Alterations and store room extension to dwelling,50 Majestic View Onchan Isle Of Man IM3 2JN ,PER,07-Jan-16,15/01322/B
Alterations to first floor rear elevation flat window,7 Brookfield Avenue Ramsey Isle Of Man IM8 2AE,PER,26-Jan-16,15/01341/B
Installation of two pitched roof dormers to replace existing roof lights and amalgamation of two apartments to create a single two bedroom unit,Apartment 8 & 9 Sefton Apartments Harris Promenade Douglas Isle Of Man IM1 2HH ,PER,24-Feb-16,15/01342/B
Erection of a rear first floor balcony with associated stairs,4 Abbeylands Estate Scollag Road Abbeylands Isle Of Man IM4 5BX ,PER,14-Jan-16,15/01157/B
Change of use of basement office / store to a beauty salon and ground floor office to a hair salon,9 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF ,PER,10-Mar-16,16/00058/C
Erection of an agricultural building,Trollaby Farm Trollaby Lane Union Mills Isle Of Man IM4 4AW,PER,29-Mar-16,16/00116/B
Erection of a 32 unit sheltered housing scheme with associated parking (comprising amendments to PA 15/01109/B),Westlands Peel Isle Of Man IM5 1JG,PER,31-Mar-16,16/00190/B
Alterations and extensions to rear elevation,14 Abbots Drive Abbotswood Ballasalla Isle Of Man IM9 3EB ,PER,05-May-16,16/00193/B
Installation of dormer to rear elevation,49 Ormly Road Ramsey Isle Of Man IM8 3LH,REF,24-May-16,16/00194/B
Installation of a flue,12 Orchid Close Douglas Isle Of Man IM2 7EN,PER,12-Jan-16,15/01343/B
Conversion of unit from retail to a beauty therapy suite,Unit 6 Villa Marina Arcade Harris Promenade Douglas Isle Of Man IM1 2HN ,PER,03-Mar-16,16/00041/B
Erection of extension to dwelling,Erinport Saint Marys Road Port Erin Isle Of Man IM9 6JL,PER,03-Mar-16,16/00103/B
Alterations and extension to building and creation of additional car parking,Broadcasting House Douglas Head Douglas Isle Of Man IM1 5BW ,PER,17-May-16,16/00105/B
Erection of advertising signage (retrospective),9 - 11 Strand Street Douglas Isle Of Man IM1 2ED,PER,15-Mar-16,16/00166/D
Application to make lawful the erection of a replacement building for use of storage and office for agricultural vehicle repair business,Squeen Farm Buildings Ballacrye Road Ballaugh Isle Of Man  ,PER,12-Jul-16,16/00303/LAW
Installation of replacement windows,Building To Rear Of No 19 Parliament Street Ramsey Isle Of Man  ,PER,27-May-16,16/00304/B
Extension of pitched roof over existing garage,34 Silverburn Drive Ballasalla Isle Of Man IM9 2EF,PER,23-Jun-16,16/00506/B
Erection of a detached single garage with associated driveway,Plot 64  Cronk Cullyn Colby Isle Of Man IM9 4PS ,PER,23-Jun-16,16/00507/B
Erection of a conservatory,Thalloo Vell Cordeman Road St Marks Ballasalla Isle Of Man IM9 3AJ,PER,23-Jun-16,16/00508/B
"Alterations, erection of extension, raising of roof level and creation of raised decking and patio areas to dwelling",Ballakneale Ramsey Road Laxey Isle Of Man IM4 7PY,PER,23-Jun-16,16/00516/B
Demolition of existing boathouse and erection of extension to dwelling to provide ancillary living accommodation (comprising amendments to PA 15/00612/B),Derbyhaven House Derbyhaven Isle Of Man IM9 1TS ,PER,07-Jul-16,16/00544/B
Installation of replacement doors,Riverside House Lower Rencell Hill Laxey Isle Of Man IM4 7AT ,PER,07-Sep-16,16/00715/B
"Alterations, creation of living accommodation in existing roof space and installation of two dormer windows",11 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,PER,16-Nov-16,16/00741/B
Additional use of residential dwelling as tourist accommodation,Thie Fuinnee Queens Road Port St. Mary Isle Of Man IM9 5EU ,PER,29-Sep-16,16/00993/C
Alterations to dwelling including partial demolition and replacement windows,Ballerghy Farmhouse Lhergy Cripperty Union Mills Isle Of Man IM4 2AH,PER,13-Oct-16,16/00997/B
Proposed alterations and extensions.,Wildwood House Glen Auldyn Ramsey Isle Of Man IM7 2AH ,PER,15-Dec-16,16/01017/B
Replacement of existing windows to front and side elevations.,Willow Cottage 14 Lower Dukes Road Douglas Isle Of Man IM2 4BJ,PER,09-Nov-16,16/01046/B
Replacement windows,Daisy Cottage 28 Malew Street Castletown Isle Of Man IM9 1AD ,PER,08-Nov-16,16/01066/B
"Alterations, replacement and enlargement of patio, creation of bi folding doors and application of render to dwelling",32 Furman Close Onchan Isle Of Man IM3 1BT,PER,10-Nov-16,16/01085/B
"Erection of detached building to provide games/gym room, Amendment to PA 16/00187/B.",Ainchea Corony Bridge Corony Ramsey Isle Of Man IM7 1EY,PER,02-Nov-16,16/01106/B
change of use from retail to office use.,28 Parliament Street Ramsey Isle Of Man IM8 1AW,PER,04-Nov-16,16/01118/C
Extension to existing dwelling.,Bungalow Ballamenagh Moar Farm Ballamenagh Road Baldrine Isle Of Man IM4 6AJ ,REF,27-Oct-16,16/00691/B
Alterations and widening of existing driveway and vehicular access,1 Gellings Avenue Port St. Mary Isle Of Man IM9 5BG,PER,12-Oct-16,16/00727/B
"Alterations, erection of extension to replace conservatory, installation of roof lights, render to garage and rendered panel to front elevation of dwelling",45 Harcroft Meadow Douglas Isle Of Man IM2 1JT ,PER,27-Sep-16,16/00925/B
Installation of non illuminated signage.,62 Parliament Street Ramsey Isle Of Man IM8 1AJ ,PER,05-Dec-16,16/01220/D
Alterations and erection of a roof with roof lights over existing courtyard to make additional living accommodation,23 Factory Lane Peel Isle Of Man IM5 1NA,PER,01-Nov-16,16/00992/B
Alterations and extension to dwelling (comprising amendments to PA 14/01371/B),Cherry Forge Tosaby Road Eairy Isle Of Man IM4 3HP ,PER,03-Feb-16,16/00007/B
Erection of an industrial building,Unit J White Hoe Industrial Estate Old Castletown Road Douglas Isle Of Man  ,PER,23-Aug-16,16/00649/B
Creation of an additional first floor window to front elevation,6 Fenella Court Douglas Isle Of Man IM2 6PH ,PER,05-Dec-16,16/01240/B
Installation of a flue,Westalls Lezayre Road Ramsey Isle Of Man IM8 2TE,PER,09-Dec-16,16/01243/B
Installation of replacement windows to front elevation,11 High Street Port St. Mary Isle Of Man IM9 5DP,PER,25-Jul-16,16/00081/B
Erection of a covered canopy over existing shop area,Ramsey Garden Centre Albert Road Ramsey Isle Of Man IM8 1JB ,PER,09-Mar-16,16/00083/B
"Erection of replacement shed for use as stores, office in association with repair of agricultural vehicles and machinery and agriculture (retrospective)",Detached Structure Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ,REF,14-Oct-16,16/00795/B
Conversion of stores and office building into a residential dwelling (retrospective),Detached Building Squeen Farm Ballacrye Road Ballaugh Isle Of Man  ,REF,14-Oct-16,16/00796/B
Erection of an extension and installation of a hipped roof to existing detached garage and store,Garth Cottage Ballaragh Road Laxey Isle Of Man IM4 7PH,PER,05-Sep-16,16/00803/B
"Alterations, erection of rear extension to dwelling",26 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,19-Oct-16,16/00804/B
Erection of an extension to replace existing conservatory,Woodlands Ballacollister Road Laxey Isle Of Man IM4 7JT,PER,29-Sep-16,16/00994/B
Installation of a replacement rear door,20 Wesley Terrace Douglas Isle Of Man IM1 3HF,PER,01-Dec-16,16/00995/B
"Extensions to provide additional living accommodation, comprising new single storey sun room and study.",Lyndene Ballakilpheric Road Colby Isle Of Man IM9 4BX,PER,01-Dec-16,16/01001/B
Retrospective retention of pre existing shed.,Sycamore House Glen Duff Ramsey Isle Of Man IM7 2AT ,PER,25-Nov-16,16/01057/B
"Registered Building consent for alterations, installation of replacement windows and doors and new roof light to dwelling (in association with 15/01397/GB) Registered Building Nos. 211",Beach Cottage Ballure Road Ramsey Isle Of Man IM8 1NB,PER,26-Feb-16,15/01398/CON
Installation of new pitched roof and alteration to windows on existing rear extension,43 Palatine Road Douglas Isle Of Man IM2 3BP,PER,03-Mar-16,16/00100/B
Erection of mounted signage to large warehouse doors.,Workshop/The Coal Shed Harbourmaster's Office Breakwater Road Port Erin Isle Of Man IM9 6JA ,PER,21-Nov-16,16/01171/D
Alterations and construction of link section between dormer windows on front elevation.,7 Christian Road Douglas Isle Of Man IM1 2QH ,PER,09-Dec-16,16/01236/B
Erection of agricultural building.,Outbuilding Ballakilley Farm Bride Isle Of Man  ,PER,10-Nov-16,16/01153/B
Erection of a stable block,Fields 431204 & 431210 Kerrowmoar Road Ballamodha Ballasalla Isle Of Man  ,PER,20-Jan-16,15/01372/B
"Erection of stables with yard, creation of an access track and formation of an entrance with associated landscaping",Field 510279 Mullinaragher Road Santon Isle Of Man  ,PER,05-Aug-16,15/01373/B
Alteration to ground floor front elevation window,49 Wybourn Grove Onchan Isle Of Man IM3 4AU,PER,26-Feb-16,16/00067/B
"Demolition of redundant gas works and construction of twenty dwellings with associated roadways and drainage, including siting, design, external appearance, internal layout, means of access and landscaping",Gas Works Site Adjacent To Port St Mary Railway Station  Port St Mary Isle Of Man IM9 5LF ,PER,08-Jun-16,15/00870/B
Widening of existing driveway and vehicular access,Beechville Athol Park Port Erin Isle Of Man IM9 6ES,PER,05-Jan-16,15/01290/B
Alterations and extension to dwelling,Struie Highfield Drive Baldrine Isle Of Man IM4 6ED,PER,26-Jan-16,15/01292/B
Approval in principle for the demolition of existing garage and erection of a block of three double garages addressing siting only,Plot And Garage Opposite 4 Windsor Terrace Douglas Isle Of Man ,PER,07-Jan-16,15/01294/A
Erection of a conservatory extension to dwelling,Close Mooar  The Curragh Ballaugh Isle Of Man IM7 5BL ,PER,15-Feb-16,16/00002/B
"Installation of replacement windows, doors, fascia boards and barge boards (in association with 16/00005/CON)",The Old Railway Station Port Soderick Glen Port Soderick Isle Of Man IM4 1BF ,PER,08-Feb-16,16/00004/GB
"Registered Building Consent for the installation of replacement windows, doors, fascia boards and barge boards (RB no 180 in association with 16/00004/GB)",The Old Railway Station Port Soderick Glen Port Soderick Isle Of Man IM4 1BF ,PER,08-Feb-16,16/00005/CON
Installation of replacement windows and replacement entrance door,Flat 1 & 2  7 Arbory Street Castletown Isle Of Man IM9 1LH,PER,24-Jun-16,16/00555/B
Installation of replacement windows,Sheear 2 Derby Road Peel Isle Of Man IM5 1HH,REF,05-Sep-16,16/00816/B
"Change of use to pet shop, dog day care and dog grooming parlour",Units 4 & 5 1 Main Road Onchan Isle Of Man IM3 1BA ,PER,07-Sep-16,16/00817/C
Replacement of existing doors with upvc door and blockwork (retrospective),Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,03-Nov-16,16/00818/B
Replacement roof to rear annex,42 Wybourn Drive Onchan Isle Of Man IM3 4AN,PER,29-Sep-16,16/00968/B
Installation of replacement windows to first & second floors of front elevation,Knighton 46 Albany Road Douglas Isle Of Man IM2 3NA,PER,01-Dec-16,16/01133/B
Erection of two detached dwellings with associated driveways and parking and formation of a public pavement (amendment to PA 12/01486/B),41 Groudle Road Onchan Isle Of Man IM3 2EF,PER,11-Jul-16,16/00509/B
"Erection of extension to utility / boiler room to create a garden store, demolition of existing garage and erection of replacement detached garage with games room above",Ridgmont The Crofts Castletown Isle Of Man IM9 1LY,PER,24-Jun-16,16/00510/B
The creation of an additional vehicular access and the erection of an extension and balcony,8 Mourne View Peel Isle Of Man IM5 1UJ,PER,18-Nov-16,16/01007/B
Registered Building Consent for the installation of replacement windows (RB no 169 in association with PA 14/00849/GB),Town Hall Ridgeway Street Douglas Isle Of Man IM1 1EP,PER,02-Jun-16,15/00850/CON
Creation of vehicular access to serve existing warehouse building,Warehouse  Junction Of Lezayre Road And Gardeners Lane  Ramsey Isle Of Man IM8 2TG ,PER,13-Apr-16,16/00113/B
Registered Building Consent for creation of two outside seating areas including the installation of overhead awnings and heaters (RB no 223 in association with 15/01154/GB),18A-20 Victoria Street Douglas Isle Of Man IM1 2LE ,PER,05-Feb-16,15/01155/CON
"Alterations, erection of first floor extension, loft conversion and creation of a roof terrace to dwelling",10 Third Avenue Douglas Isle Of Man IM2 6AL,PER,05-Feb-16,15/01306/B
Replacement of garage door with two windows and erection of a front porch to dwelling,4 Fuchsia Lane Reayrt Ny Keylley Peel Isle Of Man IM5 1GJ ,PER,05-Jan-16,15/01307/B
Erection of 49 dwellings (amendment to approved PA 13/00777/B),Approved Plots 103 - 135 & 139 - 145 Ballakilley (residential Development Under Construction) Church Road Rushen Isle Of Man,PER,08-Jul-16,15/01308/B
Alterations and extensions to dwelling,Mill House Main Road Glen Maye Isle Of Man IM5 3BH,PER,03-Jun-16,15/01309/B
Application to make lawful the retention and use of driveway and access onto Pooilvaaish Road,The Granary Balladoole Castletown Isle Of Man IM9 4PE ,CLAWA,11-Jan-16,15/01324/LAW
Erection of a utility room extension to replace existing rear elevation workshop,10 Somerset Road Douglas Isle Of Man IM2 5AD,PER,07-Jan-16,15/01325/B
Installation of replacement windows to rear elevation of dwelling,14 Christian Road Douglas Isle Of Man IM1 2QN,PER,07-Jan-16,15/01328/B
Removal of existing conservatory and erection of a two storey extension to dwelling,Hazel Cottage Ballabeg Laxey Isle Of Man IM4 7HB ,PER,03-Feb-16,15/01329/B
Erection of replacement detached kitchen/mike room building,South Ramsey Bowling Green Queens Grove Ramsey Isle Of Man IM8 1LT,PER,09-Mar-16,16/00120/B
Re-building of existing agricultural storage building,Brianswood Farm Ballavarran Road Jurby Isle Of Man IM7 3AX,PER,09-Mar-16,16/00082/B
Replacement of existing glazed conservatory roof with tiles,26 Mount View Road Onchan Isle Of Man IM3 4BT,PER,12-Apr-16,16/00235/B
Change of use from retail to a law firm office,Bourne House Peel Street / College Street Ramsey Isle Of Man IM8 1JW ,PER,25-May-16,16/00282/C
Erection of replacement roofs and refurbishment works,"1,3,5,7,9,11,13 &15  Archallagan Terrace Foxdale Isle Of Man IM4 3EZ",PER,06-May-16,16/00341/B
Alterations and erection of extensions to dwelling,Ballaglonney Cottage Ballaglonney Santon Isle Of Man IM4 1ER ,PER,11-Jul-16,16/00626/B
Extension of driveway to provide additional parking / turning area and widening of existing vehicular access,The Cottage New Castletown Road Douglas Isle Of Man IM2 1HR ,PER,26-Jul-16,16/00627/B
Alterations and erection of extensions to dwelling,Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,08-Jul-16,16/00628/B
Removal of a lean-to greenhouse and installation of a replacement window to dwelling,Thie-Ny-Mara Shore Road Laxey Isle Of Man IM4 7DJ,PER,27-May-16,16/00265/B
Replacement of existing glazed conservatory roof with tiles,11 Olafs Close Douglas Isle Of Man IM2 7AR,PER,05-Apr-16,16/00267/B
Erection of an agricultural storage shed (retrospective),Field 130688 Kella Road Sulby Isle Of Man  ,REF,02-Nov-16,16/00899/B
Extension to existing detached garage (amendment to PA 12/01273/B),Thie Lewaigue Port Lewaigue Ramsey Isle Of Man IM7 1AG ,PER,29-Sep-16,16/00900/B
Alterations and extensions to provide additional living accommodation (amendments to PA 14/01324/B),Thalloo Mitchell Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HP ,PER,08-Sep-16,16/00901/B
