Planning Application No,Proposal,Property Address,Decision,Date decision issued
18/00980/B,"Residential development of 17 dwellings with associated roads, plots and drainage",Part Of Field 121388 And Former Dale Nurseries Oatlands Road Andreas Isle Of Man  ,PER,23-Oct-20
18/00997/D,Installation of both illuminated and non illuminated signage,Garage Showroom Workshop & Premises Former Eurocars Site Peel Road Douglas Isle Of Man IM1 5ED ,PER,20-Feb-20
18/01297/B,Installation of wall mounted lighting and erection of a lighting column (retrospective),Garage Showroom Bettridge Motors Mines Road Foxdale Isle Of Man IM4 3EX ,REF,18-Sep-20
18/01300/A,Approval in principle to replace existing Hotel with five detached dwellings with off street parking,Groudle Glen Hotel King Edward Road Onchan Isle Of Man IM3 2JY ,REF,22-Dec-20
19/00377/CON,Registered Building consent for internal works and refurbishment of building (in association with 15/00065/CON) Registered Building Nos. 59,3 The Parade Castletown Isle Of Man IM9 1LG,REF,17-Nov-20
19/00380/B,Creation of a replacement slipway,"Slipway, Airport Road Castletown Isle Of Man  ",PER,06-May-20
19/00583/B,Conversion and erection of extension to existing barns to create a residential dwelling with associated parking and landscaping,Agricultural Buildings Adjacent To Field 414319 & 414311 Ballakillowey Road Colby Isle Of Man  ,PER,17-Jan-20
19/00638/B,Conversion of existing agricultural outbuilding to provide ancillary residential accommodation with additional tourist use,Ballakillowey Farm  Ballakillowey Road Colby Isle Of Man IM9 4BN,PER,08-Oct-20
19/00652/B,Creation of a field access (retrospective),Field 334672 Dalby Isle Of Man  ,REF,05-Aug-20
19/00697/B,Alterations and erection of two storey rear extension,18 Clybane Road Douglas Isle Of Man IM2 2LP,PER,20-Feb-20
19/00794/B,Erection of building for the stabling of horses and for agricultural use and the creation of a hardstanding area,Field 414174 Off Ballagill Close Croit E Caley Colby Isle Of Man  ,REF,09-Apr-20
19/00806/B,Erection of stables and associated hardstanding,Field 432105 Phildraw Road Ballasalla Isle Of Man  ,PER,03-Jan-20
19/00848/B,Erection of extension to cattle barn and lengthen and relocation of gated sod bank,"Part Of Farm Yard And Part Fields 320267, 324495 & 324566 Ballalough Farm West Baldwin Isle Of Man IM4 5HD ",PER,06-Mar-20
19/00872/GB,Refurbishment of building (in association with 19/00377/CON),3 The Parade Castletown Isle Of Man IM9 1LG,PER,18-Nov-20
19/00911/D,Erection of information board,"Disused Railway Line, From Dove Cottage To Costain's Yard Mines Road Foxdale Isle Of Man  ",PER,29-Jan-20
19/00921/B,"Alterations, erection of side and rear extensions and installation of gateway to existing vehicular access and alteration and alteration to and erection of boundary treatment",Alverstone Glencrutchery Road Douglas Isle Of Man IM2 5HS,PER,23-Jan-20
19/00969/B,Replacement of existing roof and roof lights and recladding,The Magnet Depot Douglas Head Road Douglas Isle Of Man IM1 5BF,PER,03-Jan-20
19/00984/B,"Alterations, erection of three dwellings for tourist accommodation, erection of storage shed and creation of driveway",Hampton Court Quines Hill Port Soderick Isle Of Man IM4 1AZ,REF,06-Aug-20
19/01008/B,"Erection of public toilets, seating area and canopy",Cronk Grianagh Park Strang Braddan Isle Of Man  ,PER,29-Jan-20
19/01024/B,Erection of a replacement dwelling with associated access and parking,Skeddan Veg Fort Island Road Derbyhaven Isle Of Man IM9 1TZ,PER,24-Jan-20
19/01056/B,Installation of replacement windows to front elevation,North Baldrine House Baldhoon Road Laxey Isle Of Man IM4 7NG,PER,17-Jan-20
19/01057/B,Conversion and extension of redundant mill to create residential dwelling with additional tourist use,Glen Moar Mill & Glen Moar Tea Rooms Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN ,PER,25-Sep-20
19/01058/B,"Creation of a vehicular access (retrospective), erection of a detached garage and creation of a field access",Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,PER,19-May-20
