PA Ref,Property Address,PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,Appeal decision
17/01317/B,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ,"Approval to use 125 square metres of garden centre for sale of Ladies, Mens and Childrens clothing (retrospective)",Refused,10-Sep-20,Planning Committee,30-Sep-20,22-Mar-21,Appeal Withdrawn
17/01318/B,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ,"Approval to use 30 square metres of garden centre for sale of dairy products, health and wholefood, grocery and delicatessen products(retrospective)",Refused,10-Sep-20,Planning Committee,30-Sep-20,22-Mar-21,Appeal Withdrawn
17/01319/B,Rileys Garden Centre Ballapaddag Cooil Road Douglas Isle Of Man  ,Approval to use 125 square metres of garden centre for sale of home interior goods (retrospective),Refused,10-Sep-20,Planning Committee,30-Sep-20,22-Mar-21,Appeal Withdrawn
18/00747/C,Cherry Orchard Apartments Bridson Street Port Erin Isle Of Man IM9 6AN ,Change of use of 25 tourist apartments to residential,Refused,17-Jul-20,Planning Committee,29-Jul-20,11-Feb-21,Approved at Appeal
19/00143/B,Field 432808 Land Adjacent To Malew Church Great Meadow Malew Road Castletown Isle Of Man  ,"Creation of an extension to existing cemetery with associated accesses ",Permitted,06-Mar-20,Planning Committee,27-Mar-20,28-Apr-21,Refused at appeal
19/00243/B,Cranleigh Ville Glen Road Laxey Isle Of Man IM4 7AB,Demolition of existing dwelling and erection of three dwellings with associated works and access (in association with (19/00244/CON),Refused,29-Jul-20,Planning Committee,13-Aug-20,30-Apr-21,Refused at Appeal
19/00652/B,Field 334672 Dalby Isle Of Man  ,Creation of a field access (retrospective),Refused,05-Aug-20,Head of Development Management,25-Aug-20,20-May-21,Refused at Appeal
19/00984/B,Hampton Court Quines Hill Port Soderick Isle Of Man IM4 1AZ,"Alterations, erection of three dwellings for tourist accommodation, erection of storage shed and creation of driveway",Refused,06-Aug-20,Head of Development Management,14-Aug-20,30-Apr-21,Refused at Appeal
19/01115/B,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP,"Removal of condition 6 of planning application 88/00155/B, which stated that the maximum number of children attending the kindergarten at any time must not exceed fifty-five.",Refused,19-May-20,Planning Committee,04-Jun-20,01-Oct-21,Approved at Appeal
19/01161/B,Ohio Field Bernahara Road Andreas Isle Of Man IM7 3HH,Removal of agricultural workers condition on dwelling,Refused,19-May-20,Planning Committee,09-Jun-20,02-Dec-21,Refused at Appeal
19/01324/B,Field 314758 Main Road St Johns Isle Of Man  ,Erection of a detached dwelling,Refused,24-Jun-20,Principal Planner - South (SC) CLOSED,25-Jun-20,29-Jan-21,Approved at Appeal
19/01401/B,Sandygate House Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF ,Erection of extension to existing detached garage to provide storage space,Permitted,17-Feb-20,Head of Development Management,05-Mar-20,11-Feb-21,Refused at appeal
19/01402/A,Land Parcel Adjacent To Ballasalla House Bridge Road Ballasalla Isle Of Man  ,Approval in principle for the erection of a detached dwelling,Refused,04-Dec-20,Planning Committee,21-Dec-20,20-May-21,Approved at Appeal
19/01409/B,Briarfield Grenaby Road Ballasalla Isle Of Man IM9 3DP,Conversion and erection of extension of barn to provide ancillary living accommodation,Refused,30-Jul-20,Head of Development Management,12-Aug-20,06-Apr-21,Refused at Appeal
19/01421/B,Former Bulk Gas Storage Installation Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AG ,Erection of 11 units for general industrial/light industrial/storage/distribution with associated parking,Refused,10-Jun-20,Planning Committee,01-Jul-20,25-Feb-21,Approved at Appeal
19/01439/B,Wrights Pit North Landfill Off Cranstal Road Bride Isle Of Man  ,"Variation of condition 2 of application 12/01671/B for the continued deposit of inert and mixed construction/demolition waste and associated site restoration, to extend the approval for a further 12 months.",Application Withdrawn,04-Oct-21,Withdrawn,10-Mar-20,04-Oct-21,Department Application withdrawn
19/01441/B,Ballacain Cottage Lhagg Road Dalby Isle Of Man IM5 3BU,Erection of replacement dwelling,Permitted,13-Mar-20,Planning Committee,18-Mar-20,15-Jan-21,Approved at Appeal
20/00049/B,93 King Edward Road Onchan Isle Of Man IM3 2AS,"Alterations, erection of extension to create first floor to dwelling and widening of driveway and vehicular access",Permitted,16-Jun-20,Planning Committee,07-Jul-20,29-Jan-21,Approved at Appeal
20/00110/B,Part Of Field 314932 Holly Holme Main Road Greeba Isle Of Man IM4 2DU,"Repositioning of access, change of use of part of field for parking of residential and agricultural vehicles",Refused,16-Jun-20,Planning Committee,03-Jul-20,29-Jan-21,Approved at Appeal
