,Proposal,Property Address,Decision,Date decision issued
17/00337/GB,"Demolition of structures in poor state, construction of garage, new driveway and conversion of outbuildings in to residential accommodation including glazed extension (in connection with registered building application 17/00338/CON)",Outbuildings Glynmoar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ,WDN,08-Dec-22
17/00338/CON,"Registered Building application for demolition of structures in poor state, construction of garage, new driveway and conversion of outbuildings in to residential accommodation including glazed extension - RB 268 (in connection with application 17/00337/GB",Outhouses Glynmoar House Glen Mooar Road St Johns Isle Of Man IM4 3AQ ,WDN,08-Dec-22
17/01307/B,Installation of an extractor system (retrospective),16 Michael Street Peel Isle Of Man IM5 1HB,PER,29-Mar-22
20/00368/B,Erection of an entrance gateway and alterations to courtyard to provide outside seating area and access ramps,Kizuna (formerly Harbour Mews) Parliament Square Castletown Isle Of Man IM9 1LA ,WDN,09-Dec-22
20/00837/B,Restoration of existing silt store to create and maintain a permanent facility for storage and monitoring of dredged material from Peel Marina,Poortown Silt Store Poortown Road Peel Isle Of Man  ,WDN,25-Apr-22
20/01080/B,"Residential development of 138 dwellings with associated drainage, highway works and public open space","Land At Lower Milntown (Fields 134278, 134279, 134280, 134281, 134282, 134283, 134284, 134288 & 134289) And Strip Of Land Between Auldyn River & Auldyn Meadows, Off Lezayre Road, Lezayre & Ramsey Isle Of Man  ",REF,04-May-22
20/01095/B,Erection of two storey extension to rear elevation and the creation of rear garden terracing,Cilcen The Hope St. Johns Isle Of Man IM4 3AT ,PER,29-Mar-22
20/01192/B,Erection of agricultural building,Ballalonna Farm Dalby Isle Of Man IM5 3BW ,WDN,11-May-22
20/01297/B,Creation of access tracks across agricultural fields,"Fields 314218, 314225, 314220, And 314219 Staarvey Road Peel Isle Of Man  ",REF,19-May-22
20/01390/B,Erection of 3 detached dwellings,Land Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4EE ,REF,07-Jan-22
20/01467/B,"Erection of a building to provide exhibition space, retail, apartments and restaurant with associated parking spaces (relating to PA 19/00373/A)",The Former Marine Biological Station Breakwater Road Port Erin Isle Of Man IM9 6JA ,PER,13-Sep-22
20/01525/B,Conversion of residential dwelling (class 3.3) to a House of Multiple Occupancy (class 3.5),9 Windsor Road Douglas Isle Of Man IM1 3LD,REF,21-Apr-22
21/00036/B,"Conversion of existing stable, store and kennel buildings to provide 12 tourist accommodation units (class 3.6), wellness spa (Class 4.1), caf‚ (class 1.3) and a residential apartment (class 3.4) with associated parking and access, creation of an equestri",Oatlands Farm Oatlands Road Santon Isle Of Man IM4 1ED ,PER,16-May-22
21/00051/B,Installation of a marquee to provide weatherproof storage for plant and machinery,DoI Depot  Litts Site East Baldwin Braddan IM4 5EW,WDN,28-Jan-22
21/00064/B,Conversion of residential care home (class 3.2) to self-contained apartments & a dwelling (class 3.3 and 3.4) with associated parking,Glen House Residential Home New Road Laxey Isle Of Man IM4 7BE,PER,13-Dec-22
21/00106/B,"Erection of 26 two bed apartments and 6  one bed apartments with associated car parking, vehicle access and landscaping",Land At Snugborough Farm Cronk Gennal Union Mills Isle Of Man  ,PER,28-Jan-22
21/00163/B,Erection of a detached dwelling with alterations to associated residential curtilage,Ballacroak Farm Mullinaragher Road St Marks Ballasalla Isle Of Man IM9 3AQ,WDN,27-Jan-22
21/00228/A,"Approval in principle for the erection of a sports centre comprising 50m swimming pool, 60m running track, sports hall and gym with changing facilities with associated parking addressing siting, access, design and external appearance",Field West Of Junior House King Williams College Grounds Castletown Isle Of Man IM9 1TP ,PER,31-May-22
21/00278/B,"Erection of 23 dwellings with associated access, parking, open space and landscaping",Field No.210401 Ballagarraghyn Bretney Road Jurby Isle Of Man,PER,02-Sep-22
21/00322/B,Erection of a two storey self- storage facility with associated loading and unloading bays,Southwest Of Unit 298A Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,PER,23-Feb-22
21/00365/A,Approval in principle for the erection of 1 detached bungalow addressing means of access,Field 312909 And 312711 Main Road St Johns Isle Of Man  ,PER,03-Oct-22
21/00386/B,"Amendments to residential property (Dwelling One) of approved PA 18/00718/B, Alterations and extensions to create two dwellings from existing house and barns (retrospective).",Ballacallin Beg Cottage Foxdale Road Garth Crosby Isle Of Man IM4 2HN,PER,19-Dec-22
21/00408/B,"Variation of conditions 1 & 2 of PA 18/00763/A, Approval in principle for the construction of five dwellings addressing means of access, to extend the period of permission by two years",Part Of Field 214287 The Threshold Jurby Isle Of Man  ,PER,07-Jan-22
21/00438/B,Creation of living accommodation,Stables Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN ,WDN,07-Jan-22
21/00510/B,Retrospective application regarding the erection of mast and other structures in connection with PA 19/00129/B,Carnane (former) BBC Transmitter Site Old Castletown Road Douglas Isle Of Man IM4 1AB ,PER,18-Feb-22
21/00620/B,Conversion of 2 existing flats into 4 residential apartments with additional tourist use and change of use of basement to an office,2 Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ,REF,17-Jan-22
21/00682/B,Erection of equestrian stables,Field 321619 Foxdale Road Garth Crosby Isle Of Man IM4 2HL,REF,17-Feb-22
21/00694/B,Erection of a dwelling with associated features,Ballaoates Farm Ballavagher Road St Johns Isle Of Man IM4 3JE,WDN,07-Mar-22
21/00717/B,Erection of a single storey extension to side elevation,27 Cannan Court Kirk Michael Isle Of Man IM6 1FA ,PER,18-Mar-22
21/00728/B,"Alterations, erection of two storey extensions, creation of balcony and extension of existing side balcony",White Cottage King Edward Road Onchan Isle Of Man IM3 2JY ,PER,04-Jan-22
21/00731/B,Creation of Civic Amenity Site,Recycling And Storage Compound Richmond Hill Douglas Isle Of Man IM4 1JH ,PER,25-Feb-22
21/00737/B,Erection of a detached dwelling,Vacant Plot (Plot 3)  Plot Adjacent To Hazelwood House Ballaragh Road Laxey IM4 7PH,PER,29-Mar-22
21/00764/B,"Alterations and erection of extension to main dwelling, including the conversion of existing garage/store for tourist accommodation (B&B) and demolition of existing stable building and replaced with a garage.",Barony View Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG,PER,17-Mar-22
21/00772/B,Erection of a fence (retrospective),14 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WT ,PER,14-Feb-22
21/00778/C,Change of use of lower ground floor to tourist accommodation,Cregg Mill Silverdale Road Ballasalla Isle Of Man IM9 3DS,PER,19-Oct-22
21/00780/B,Erection of a detached dwelling with associated vehicular access and off road parking,South West Of Oatland Bungalow (Cottage) Oatlands Road Andreas Isle Of Man IM7 4ER ,PER,28-Jan-22
21/00785/B,Erection of new entrance gate piers and walls to existing vehicular access (partial retrospective),Carrick Sulby Glen Sulby Isle Of Man IM7 2AZ ,PER,27-Oct-22
21/00796/B,"Creation of new vehicle access, erection of boundary fence and landscaping",Close Jairg Beg Old Church Road Crosby Isle Of Man IM4 2HA,REF,24-Jun-22
