Decisions issued under delegated authority 1/1/11 - 31/12/11,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Removal of a shared chimney stack,6 & 8 West Street Ramsey Isle Of Man,PER,17-Jun-11,11/00650/B
Erection of a shed (Retrospective),Site Off Station Road Ballaugh Isle Of Man  ,REF,16-Jun-11,11/00600/B
Siting of a temporary mobile unit to provide changing facilities,Land Adjacent To Existing Changing Facilities Springfield Road Douglas Isle Of Man  ,PER,18-Feb-11,10/01143/B
Change of use of existing hotel into a hotel and three holiday apartments,28 Hutchinson Square Douglas Isle Of Man IM2 4HP,PER,21-Feb-11,10/01595/C
"Alterations, erection of extensions to dwelling and driveway extension",10 Cronk Avenue Onchan Isle Of Man IM3 3DG,PER,13-May-11,11/00371/B
Creation of new ballroom entrance and enhancement to front facade,Masonic Lodge Hilary Park Douglas Isle Of Man IM2 3EE ,REF,14-Feb-11,10/01852/B
Conversion of existing barn to self catering accommodation,Barn Swallow Beg Gibdale Farm Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT ,PER,28-Jan-11,10/01623/B
Extensions to dwelling,Glen Vine House Main Road Glen Vine Isle Of Man IM4 4BG,PER,08-Jun-11,11/00488/B
"Alterations, erection of extension, driveway amendments and creation of an additional vehicular access",32 Howe Road Onchan Isle Of Man IM3 2BA,PER,25-Jan-11,10/01772/B
Erection of a conservatory to rear elevation,31 Ballakermeen Drive Douglas Isle Of Man IM1 4JE ,PER,25-Feb-11,11/00061/B
Erection of an extension to rear elevation of dwelling,26 Ballaquark Douglas Isle Of Man IM2 2EZ,PER,11-Jan-11,10/01638/B
Installation of a solar panel to dwelling,Lhasa 7 Manor Park Onchan Isle Of Man IM3 2EW,PER,14-Jul-11,11/00774/B
Extension to chapel,Barregarroo Chapel Ballaleigh Road Kirk Michael Isle Of Man IM6 1HH,PER,26-Jul-11,11/00219/B
Alterations and erection of extension to dwelling,Shangri-La Tynwald Road Peel Isle Of Man IM5 1JP,PER,26-Jul-11,11/00809/B
Erection of a detached building to provide a garage and ancillary / holiday living accommodation,Leahurst Main Road Santon Isle Of Man IM4 1JB,REF,10-Jan-11,10/01763/B
Installation of barriers and access improvements to roof level plant,Atlantic House 4 - 8 Circular Road Douglas Isle Of Man IM1 1AG ,PER,08-Mar-11,10/01710/B
"Alterations, erection of extensions and detached garage",Woodstock Lower Ballaclucas Top Road Crosby Isle Of Man  ,PER,26-Jan-11,10/01842/B
Erection of a dwelling,Land Adjacent To Cherry Orchard Hotel Close Famman Port Erin Isle Of Man  ,PER,14-Jul-11,11/00770/B
Alterations and erection of an extension to dwelling,Cronkbane 23 Queens Drive Peel Isle Of Man IM5 1BQ,PER,16-Jun-11,11/00625/B
Erection of an agricultural building,Field 234046 Orrisdale Road Orrisdale Kirk Michael Isle Of Man  ,REF,28-Jun-11,11/00014/B
Erection of a replacement dwelling,36 King Edward Park Onchan Isle Of Man IM3 2AB,REF,08-Mar-11,10/01711/B
"Registered Building Consent for the installation of a satellite dish, RB no 215 (In association with 10/01714GB)",Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL,PER,13-Jan-11,10/01715/CON
Creation of a window to dwelling,37 Cronk Y Berry Douglas Isle Of Man IM2 6ES,PER,14-Jul-11,11/00783/B
 Creation of covered area and balcony over existing garage and alteration to garage door opening,14 Albion Terrace Douglas Isle Of Man IM1 3LJ,PER,28-Apr-11,11/00022/B
Additional use of residential accommodation for tourist use,The Stalls Grenaby Mooar Grenaby Road Grenaby Ballasalla Isle Of Man IM9 3BD ,PER,21-Jun-11,11/00661/B
Erection of a detached building for the storage of vehicles and equipment,Curlew House Garey Ramsey Isle Of Man IM7 2EH ,PER,26-Jul-11,11/00805/B
Erection of a conservatory,Seafield House Arragon Santon Isle Of Man IM4 1HH ,PER,28-Feb-11,11/00073/B
Erection of a extension to replace existing conservatory,11 Ashlar Drive Union Mills Isle Of Man IM4 4LJ,PER,06-May-11,11/00333/B
Extension and conversion of existing agricultural buildings to a dwelling with ancillary accommodation,Norfolk Place Main Road Greeba Isle Of Man IM4 3LG,PER,28-Mar-11,10/01076/B
Extension to dwelling (comprising amendment to PA 10/00918B),Sundance Cottage 1 Station Road St Johns Isle Of Man IM4 3AN,PER,14-Jan-11,10/01818/B
