PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
"Erection of a fishing complex with lakes, cafe, four holiday cottages, educational facility and landscaping",Permitted,19-Aug-14,Planning Committee,08-Sep-14,18-Dec-14,12/01140/B,"Field 314338 And Part Fields 314331,314329  Ballagyr Lane Peel Isle Of Man  ",Approved at Appeal
Creation of land drainage and culverting of ditch to fields (retrospective),Permitted,16-Oct-13,Planning Committee,06-Nov-13,14-Mar-14,12/01655/B,Fields 324080 & 324082 Corvalley Braaid Road Braaid Isle Of Man  ,Approved at Appeal
Erection of decking in rear garden (retrospective),Permitted,18-Feb-13,Senior Planning Officer - South (SC),28-Feb-13,23-Apr-14,13/00022/B,Malvern 7 Third Avenue Douglas Isle Of Man IM2 6AL,Appeal Withdrawn
"Demolition of existing dwelling, secondary dwelling and shed and erection of a replacement dwelling with open car port and associated landscaping",Refused,01-Oct-13,Planning Committee,21-Oct-13,14-Feb-14,13/00239/B,Ballacregga Farm Marine Drive Port Soderick IM4 1HN ,Refused at Appeal
Approval in principle for erection of two dwellings with new vehicular access,Permitted,23-Jul-14,Planning Committee,13-Aug-14,18-Dec-14,13/00385/A,Land Adjacent To Ballacraine Cottages Ballacraine St Johns Isle Of Man  ,Refused at appeal
"Approval in principle for the conversion of existing educational establishment into a Marine Interpretation Centre including an associated retail unit and cafe, dive centre, offices for marine related businesses and a 20 bedroom hotel with parking and lan",Permitted,14-May-14,Department Application,15-Apr-13,08-May-14,13/00459/A,Marine Biological Station Breakwater Road Port Erin Isle Of Man IM9 6JA ,Department Application Approved
"Full approval for erection of extensions and conversion of existing educational establishment into a Marine Interpretation Centre including an associated retail unit and cafe, dive centre and offices for marine related business",Refused,17-Jun-14,Department Application,15-Apr-13,12-Jun-14,13/00460/B,Marine Biological Station Breakwater Road Port Erin Isle Of Man IM9 6JA ,Department Application refused
Demolition of existing garage and erection of a new dwelling with integral garage and new entrance gates,Refused,24-Mar-14,Planning Committee,10-Apr-14,14-Aug-14,13/00503/B,Land Between And Adjacent To Seafield Garage And Haven Court Fort Island Road Derbyhaven Isle Of Man  ,Approved at Appeal
Extension and alterations to dwelling (including amendments to previous applications),Permitted,13-Nov-13,Planning Committee,02-Dec-13,28-May-14,13/00511/B,Ashleigh Ballacraine St Johns Isle Of Man IM4 3LS ,Approved at Appeal
Demolition of existing property and erection of a building of four apartments with associated parking,Permitted,12-Jun-13,Senior Planning Officer - South (SC),02-Jul-13,10-Jan-14,13/00534/B,145  & 147 Royal Avenue Onchan Isle Of Man IM3 1LG ,Approved at Appeal
Approval in principle for the creation of a residential curtilage and erection of a replacement dwelling,Refused,26-Nov-13,Planning Committee,11-Dec-13,09-Sep-14,13/00546/A,Lanjaghan  View Abbeylands Isle Of Man IM4 5EQ ,Approved at Appeal
"Conversion of existing farm buildings to provide twelve tourist accommodation units with ancillary support and leisure facilities, and erection of a replacement farm complex comprising of agricultural buildings and a farm workers dwelling with detached ga",Refused,26-Nov-13,Planning Committee,11-Dec-13,09-Sep-14,13/00547/B,Lanjaghan Farm Lanjaghan Road Abbeylands Isle Of Man IM4 5EQ ,Approved at Appeal
Erection of two storey extension with balcony over and installation of dormer to rear elevation,Refused,01-Oct-13,Planning Committee,21-Oct-13,01-May-14,13/00638/B,12 Marsden Terrace Ramsey Isle Of Man IM8 3DS,Refused at Appeal
Erection of a pair of semi-detached dwellings,Permitted,12-Nov-13,Planning Committee,28-Nov-13,14-Feb-14,13/00686/B,Plot Of Land Adjacent To 56 Glenfaba Road Peel Isle Of Man  ,Approved at Appeal
Erection of an extension to existing agricultural building for agricultural storage and heavy horse stabling.,Permitted,28-Jan-14,Planning Committee,14-Feb-14,07-Aug-14,13/00693/B,Agricultural Building Glen Grenaugh Harbour Road Santon Isle Of Man  ,Approved at Appeal
Reserved Matters Application for erection of a dwelling and garage with greenhouse and shed,Refused,01-Oct-13,Planning Committee,09-Oct-13,29-Jan-14,13/00755/REM,Land At Clarecourt Marathon Road Douglas Isle Of Man  ,Refused at Appeal
Erection of a replacement dwelling and garage,Refused,23-Sep-13,Senior Planning Officer - South (SC),09-Oct-13,29-Jan-14,13/00762/B,Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL,Refused at Appeal
 Demolish existing dwelling and garage and erection of a building to provide two residential apartments with associated parking,Refused,29-Aug-13,Planning Committee,17-Sep-13,10-Jan-14,13/00796/B,Kilravock Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY,Refused at Appeal
Erection of a dwelling and incorporation of the existing cottage as a linked guest suite,Refused,17-Sep-13,Planning Committee,01-Oct-13,14-Jan-14,13/00868/B,The Mine Mines Cottage Ballakilpheric Road Colby Isle Of Man  ,Refused at Appeal
"Approval in principle for the erection of a dwelling and the demolition of a garage in order to create a new access to the proposed site from Ballanorris Crescent, Ballabeg",Permitted,04-Nov-13,Planning Committee,21-Nov-13,13-May-14,13/00873/A,Field 1549 Adjacent To The Bungalow  Main Road Ballabeg Castletown Isle Of Man  ,Approved at Appeal
Approval in principle for extension and conversion of redundant barn to a dwelling with improvement to vehicular access and driveway,Refused,01-Oct-13,Planning Committee,17-Oct-13,26-Feb-14,13/00880/A,Barn Field 321757 Braaid Road Braaid Isle Of Man  ,Refused at Appeal
"Installation of dormer windows, additional window, roof light and raise garage ridge height (amendments to PA 09/00439/B retrospective)",Refused,15-Oct-13,Planning Committee,04-Nov-13,14-Mar-14,13/00897/B,Plot 9 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DD ,Approved at Appeal
"Installation of dormer windows, additional window and roof light and raise garage ridge height (amendments to PA 09/00440/B retrospective)",Refused,15-Oct-13,Planning Committee,04-Nov-13,14-Mar-14,13/00898/B,Plot 10 Poachers Pocket Development Bridge Road Ballasalla Isle Of Man IM9 3DD ,Approved at Appeal
Change of use of former school hall to residential (In association with 13/00909/CON),Permitted,29-Oct-13,Planning Committee,11-Nov-13,18-Feb-14,13/00908/GB,School Hall  St Marks Ballasalla Isle Of Man IM9 3AH ,Approved at Appeal
Registered Building Consent for change of use of former school hall to residential (RB no 181 in association with 13/00908/GB),Permitted,29-Oct-13,Planning Committee,11-Nov-13,18-Feb-14,13/00909/CON,School Hall  St Marks Ballasalla Isle Of Man IM9 3AH ,Approved at Appeal
"Alterations, erection of a detached garage and driveway and vehicular access amendments",Permitted,03-Sep-13,Senior Planning Officer - South (SC),20-Sep-13,10-Jan-14,13/00912/B,Holly House & Greeba Somerset Road Douglas Isle Of Man IM2 5AE,Approved at Appeal
Erection of a detached garage and landscaping works,Refused,13-Sep-13,Senior Planning Officer - South (SC),27-Sep-13,14-Jan-14,13/00915/B,Glebe Cottage St Marks Ballasalla Isle Of Man IM9 3AH ,Refused at Appeal
Approval in principle for erection of a dwelling to replace existing barn,Refused,11-Sep-13,Senior Planning Officer - South (SC),30-Sep-13,15-Jan-14,13/00917/A,Building & Part Of Field No 424871 Across Road From Arbory School Main Road Ballabeg Castletown Isle Of Man  ,Refused at Appeal
Approval in principle for erection of an agricultural worker's dwelling,Refused,18-Mar-14,Planning Committee,07-Apr-14,30-May-14,13/00925/A,Part Field No 324024 Braaid Road Braaid Isle Of Man  ,Appeal Withdrawn
Erection of advertising signage,Refused,29-Oct-13,Planning Committee,07-Nov-13,19-Mar-14,13/01015/D,Land At Westham Arbory Road Castletown Isle Of Man  ,Approved at Appeal
