Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,15/01297/CON,Registered Building Consent for the removal of committee room within main hall (RB no 264),05-Jan-16,Director Delegation,Royal British Legion Hall Janet's Corner  Castletown Isle Of Man IM9 1BX
Permitted,15/01298/B,Engineering works for the partial infill of an existing gulley (retrospective),05-Jan-16,Director Delegation,Field 434534 Kerrowkeil Road Grenaby Ballasalla Isle Of Man  
Permitted,15/01299/B,Erection of an agricultural building (comprising amendments to PA 14/01230/B),05-Jan-16,Director Delegation,High Tilt Douglas Road Kirk Michael Isle Of Man IM6 1AS
Refused,15/01300/B,Renovation of existing dwelling and barn and erection of link extension and attached garage to form a dwelling,18-Jan-16,Planning Committee,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES
Permitted,15/01322/B,Alterations and store room extension to dwelling,07-Jan-16,Senior Planning Officer - South (SC),50 Majestic View Onchan Isle Of Man IM3 2JN 
Permitted,15/01341/B,Alterations to first floor rear elevation flat window,26-Jan-16,Senior Planning Officer - South (SC),7 Brookfield Avenue Ramsey Isle Of Man IM8 2AE
Permitted,15/01342/B,Installation of two pitched roof dormers to replace existing roof lights and amalgamation of two apartments to create a single two bedroom unit,24-Feb-16,Head of Development Management,Apartment 8 & 9 Sefton Apartments Harris Promenade Douglas Isle Of Man IM1 2HH 
Permitted,15/01157/B,Erection of a rear first floor balcony with associated stairs,14-Jan-16,Director Delegation,4 Abbeylands Estate Scollag Road Abbeylands Isle Of Man IM4 5BX 
Permitted,16/00058/C,Change of use of basement office / store to a beauty salon and ground floor office to a hair salon,10-Mar-16,Senior Planning Officer - North (CB),9 Auckland Terrace Parliament Street Ramsey Isle Of Man IM8 1AF 
Permitted,16/00116/B,Erection of an agricultural building,29-Mar-16,Senior Planning Officer - South (SC),Trollaby Farm Trollaby Lane Union Mills Isle Of Man IM4 4AW
Permitted,16/00190/B,Erection of a 32 unit sheltered housing scheme with associated parking (comprising amendments to PA 15/01109/B),31-Mar-16,Head of Development Management,Westlands Peel Isle Of Man IM5 1JG
Permitted,16/00193/B,Alterations and extensions to rear elevation,05-May-16,Senior Planning Officer - North (CB),14 Abbots Drive Abbotswood Ballasalla Isle Of Man IM9 3EB 
Refused,16/00194/B,Installation of dormer to rear elevation,24-May-16,Senior Planning Officer - South (SC),49 Ormly Road Ramsey Isle Of Man IM8 3LH
Permitted,15/01343/B,Installation of a flue,12-Jan-16,Senior Planning Officer - South (SC),12 Orchid Close Douglas Isle Of Man IM2 7EN
Permitted,16/00041/B,Conversion of unit from retail to a beauty therapy suite,03-Mar-16,Senior Planning Officer - South (SC),Unit 6 Villa Marina Arcade Harris Promenade Douglas Isle Of Man IM1 2HN 
Permitted,16/00103/B,Erection of extension to dwelling,03-Mar-16,Senior Planning Officer - North (CB),Erinport Saint Marys Road Port Erin Isle Of Man IM9 6JL
Permitted,16/00105/B,Alterations and extension to building and creation of additional car parking,17-May-16,Interim Director 2016,Broadcasting House Douglas Head Douglas Isle Of Man IM1 5BW 
Permitted,16/00166/D,Erection of advertising signage (retrospective),15-Mar-16,Director Delegation,9 - 11 Strand Street Douglas Isle Of Man IM1 2ED
Permitted,16/00303/LAW,Application to make lawful the erection of a replacement building for use of storage and office for agricultural vehicle repair business,12-Jul-16,Interim Director 2016,Squeen Farm Buildings Ballacrye Road Ballaugh Isle Of Man  
Permitted,16/00304/B,Installation of replacement windows,27-May-16,Senior Planning Officer - South (SC),Building To Rear Of No 19 Parliament Street Ramsey Isle Of Man  
Permitted,16/00344/B,Demolition of existing and erection of a detached dwelling,21-Jun-16,Planning Committee,Glenduff Farm Glen Duff Ramsey Isle Of Man IM7 2AT 
Permitted,16/00506/B,Extension of pitched roof over existing garage,23-Jun-16,Senior Planning Officer - South (SC),34 Silverburn Drive Ballasalla Isle Of Man IM9 2EF
Permitted,16/00507/B,Erection of a detached single garage with associated driveway,23-Jun-16,Senior Planning Officer - North (CB),Plot 64  Cronk Cullyn Colby Isle Of Man IM9 4PS 
Permitted,16/00062/B,Erection of a replacement dwelling (comprising amendments to PA 12/00923/B),29-Mar-16,Planning Committee,Struan Veg Hillberry Onchan Isle Of Man IM4 5BJ
Permitted,16/00508/B,Erection of a conservatory,23-Jun-16,Senior Planning Officer - South (SC),Thalloo Vell Cordeman Road St Marks Ballasalla Isle Of Man IM9 3AJ
