PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
15/00978/B,Land At Kiondhooag And Field 333129 Adjoining Mines Road  Foxdale Isle Of Man  ,"Residential development of 24 dwellings with parking arrangements, roads, vehicular access, sewers, services, open space play facilities and landscaping",Permitted,13-Aug-18,Planning Committee
15/01384/B,Plot To Rear Of Moorcroft Tromode Lane Douglas Isle Of Man  ,Erection of a detached split level dwelling with associated access,Refused,03-Dec-18,Head of Development Management
15/01385/B,Plot To Rear Of Poolaash Tromode Lane  Douglas Isle Of Man  ,Erection of a split level dwelling with associated access,Refused,03-Dec-18,Head of Development Management
16/00650/B,Field Adjacent To Beechfield Glen Auldyn Ramsey Isle Of Man  ,Creation of three residential plots including access and erection of a detached dwelling with attached garage on plot one,Permitted,30-Jan-18,Planning Committee
16/01070/B,The Willows Hibernia Maughold Road Maughold Isle Of Man IM7 1EN ,Creation of new agricultural shed,Refused,18-Oct-18,Planning Committee
16/01134/B,Bailrigg House Ballanard Road Douglas Isle Of Man IM2 5PT,New detached house with associated parking,Permitted,21-May-18,Head of Development Management
16/01351/B,Storage Depot Breagle Glen St George's Crescent Port Erin Isle Of Man IM9 6JJ ,Replacement of existing storage building with 3 business units including associated parking and access lane works,Application Withdrawn,22-Oct-18,Withdrawn
17/00037/B,110 Castlemona Avenue Douglas Isle Of Man IM2 4EF,Alterations and erection of a rear two storey extension,Permitted,31-Oct-18,Principal Planner- North (CB)
17/00132/B,Gob E Volley Pen Main Road Sulby Isle Of Man  ,"Removal of an existing storage coop, installation of a timber retaining wall, surfacing works, installation of a steel container and reinstatement of an existing turning area",Application Withdrawn,30-Jul-18,Withdrawn
17/00144/B,St Georges Afc Clubroom Glencrutchery Road Douglas Isle Of Man IM2 6AN,Extension to clubhouse including additional parking and creation of new vehicular exit,Permitted,31-Oct-18,Principal Planner- North (CB)
17/00164/B,Gob-E-Volley Depot Main Road Sulby Isle Of Man IM7 2HR,Demolition of one existing unit and construction of four units for general industrial and storage use with associated facilities and parking,Refused,12-Feb-18,Planning Committee
17/00190/B,Detached Outbuilding  1 High Street Port St. Mary Isle Of Man  ,Conversion of outbuilding to provide residential and tourist living accommodation,Permitted,25-May-18,Director 2017+
17/00248/B,Marina Cottage 17 - 18 Shore Road Peel Isle Of Man IM5 1NH,"Replacement of garage door, entrance door and first floor window",Permitted,14-Feb-18,Planning Committee
17/00287/B,Block 1 Oakhill Court Douglas Isle Of Man IM2 2NJ,Extension of existing car park to create 15 additional spaces,Application Withdrawn,25-Jan-18,Withdrawn
17/00367/B,Cottage The Rocky Road Crosby Isle Of Man IM4 2AU,Erection of new dwelling to replace existing cottage,Refused,01-Feb-18,Planning Committee
