Planning Appeal/Dept decisions made between 1/1/19 - 31/12/19,,,,,,,,
PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
"Removal of condition 3 of application 17/00851/C, to remove the restrictions in respect of days and hours of operation",Permitted,20-Sep-18,Planning Committee,11-Oct-18,08-Jan-19,18/00628/B,The Switzerland Gospel Hall Switzerland Road Douglas Isle Of Man IM2 4NG ,Approved at Appeal
Erection of two new dwellings with associated parking and adjustments to vehicular access,Permitted,16-Apr-19,Head of Development Management,01-May-19,04-Dec-19,18/00856/B,Site Adjacent To Hanley Court North Shore Road Ramsey Isle Of Man  ,Approved at Appeal
Additional use of school grounds for the parking of up to two minibuses (retrospective),Permitted,29-May-19,Planning Committee,13-Jun-19,12-Dec-19,18/00811/C,Kirk Michael School Main Road Kirk Michael Isle Of Man IM6 1AJ,Refused at appeal
Installation of timber fishing platform,Permitted,08-Mar-19,Department Application,13-Dec-18,08-Mar-19,18/01296/B,Cringle Reservoir Corlea Road Ballasalla Isle Of Man  ,Department Application Approved
Erection of stables and creation of a manäge,Permitted,07-Nov-18,Head of Development Management,15-Nov-18,13-Feb-19,18/00705/B,Ballamoar Farm Ramsey Road Laxey Isle Of Man IM4 7PP ,Approved at Appeal
Installation of two flues (retrospective),Permitted,03-Jun-19,Principal Planner - South (SC),21-Jun-19,20-Nov-19,19/00432/B,33 Howe Road Onchan Isle Of Man IM3 2BA,Approved at Appeal
Demolition of existing buildings and erection of a six storey mixed use building to provide retail (Class 1) and eleven residential units,Permitted,21-Jun-19,Planning Committee,12-Jul-19,12-Dec-19,18/00641/B,42-50 Duke Street Douglas Isle Of Man IM1 2AX,Approved at Appeal
"Replacement of garage door with a window, installation of external spiral stairs, creation of a first floor balcony and widening of driveway and vehicular access",Permitted,10-Jul-19,Principal Planner - South (SC),26-Jul-19,12-Dec-19,19/00615/B,30 Groudle Road Onchan Isle Of Man IM3 2EH,Approved at Appeal
Creation of hard standing parking and turning area,Permitted,28-Aug-19,Department Application,14-Feb-19,22-Aug-19,19/00152/B,Parking Area Ballakinnag Road Smeale Ramsey Isle Of Man  ,Department Application Approved
Installation of a flue (retrospective),Permitted,01-Mar-19,Principal Planner- North (CB),14-Mar-19,20-Nov-19,18/01125/B,6 Close Cowley Douglas Isle Of Man IM2 2HX,Refused at appeal
Installation of flue and change of use from tea room and crafters loft to a forge/workshop,Permitted,12-Nov-19,Department Application,02-Jul-19,07-Nov-19,19/00750/B,The Old Barn Tholt Y Will Sulby Isle Of Man IM7 2BF ,Department Application Approved
Additional use of residential property as tourist accommodation,Permitted,08-Jan-19,Planning Committee,24-Jan-19,08-Jul-19,18/01107/C,Ballarhennie House Orrisdale Kirk Michael Isle Of Man IM6 2HJ ,Approved at Appeal
Resurfacing existing car park and installation of surface water drainage,Permitted,27-Aug-19,Department Application,22-Feb-19,15-Aug-19,19/00196/B,Conrhenny Plantation Creg-Ny-Baa Back Road Creg Ny Baa Onchan Isle Of Man  ,Department Application Approved
"Temporary use of playing fields as a camp site with portable toilets and showers and marquees for the duration of the TT Festival, Southern 100 and IOM Festival of Motorcycling",Permitted,02-Apr-19,Planning Committee,17-Apr-19,22-Aug-19,19/00065/C,Ronaldsway Sports And Social Club Clubhouse Ronaldsway Industrial Estate Ballasalla Isle Of Man IM9 2RY ,Approved at Appeal
Erection of a detached dwelling,Permitted,16-Jul-19,Planning Committee,06-Aug-19,11-Dec-19,19/00087/B,Land To East Of Old School House Main Road Sulby Isle Of Man  ,Approved at Appeal
Demolition of existing building and erection of four dwellings with associated parking,Permitted,16-Jul-19,Planning Committee,31-Jul-19,11-Dec-19,19/00474/B,Bakehouse And Garage Grosvenor Road Douglas Isle Of Man IM1 3EN,Approved at Appeal
Change of use of existing retail and office space to funeral directors,Permitted,14-Jan-19,Planning Committee,01-Feb-19,08-Jul-19,18/00970/C,3 And 5 Waterloo Road Ramsey Isle Of Man IM8 1DR,Refused at appeal
