Planning Application No,Proposal,Property Address,Decision,Date decision issued
16/00003/B,"Installation of temporary cabins to provide toilets, showers and changing rooms during renovation works to main clubhouse (retrospective)",St Georges AFC The Club House Glencrutchery Road Douglas Isle Of Man IM2 6AN,DMWDN,26-Aug-21
16/00728/B,"Alterations, conversion of existing boathouse into a two storey crew facility, demolition of existing slipway and construction of a pontoon berth",Douglas Lifeboat Station Battery Pier Douglas Head Douglas Isle Of Man IM1 5BT,DMWDN,26-Aug-21
17/01265/B,"Redevelopment of disused hotel site with new hotel and leisure facilities and 40 residential apartments, with associated highway and drainage works",Golf Links Hotel Fort Island Castletown Isle Of Man IM9 1UA ,REF,15-Dec-21
17/01326/B,Erection of a dwelling with associated parking and alterations to access,Boat Yard Derbyhaven Isle Of Man IM9 1TR ,PER,17-Mar-21
19/00420/B,Creation of path/cycle way,Cooil Road Roundabout And Adjacent Jacksons / Eden Business Park Cooil Road Douglas Isle Of Man  ,PER,09-Feb-21
19/00441/B,Alterations to existing breakwater to reinforce structure,Derbyhaven Breakwater Derbyhaven Isle Of Man  ,WDN,12-Feb-21
19/00695/B,Erection of bottling plant shed and water storage tanks,Site Near To Glen Callam House Dhoon Loop Road Dhoon Ramsey Isle Of Man IM7 1HP ,REF,02-Mar-21
19/00816/B,"Partial demolition of derelict hotel/guesthouse, re-construction of building (retaining front fa‡ade wall) to provide containing basement commercial and 9 residential apartments (in association with 19/00817/CON)",Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ,WDN,09-Jun-21
19/00944/B,Creation of vehicular access,April Cottage Corony Bridge Corony Ramsey Isle Of Man IM7 1EY,PER,30-Mar-21
19/00961/B,Erection of 133 dwellings with associated drainage and access,School Hill/Westhill Estate Castletown Isle Of Man,PER,04-Feb-21
19/00978/B,Erection of a detached barn style building for the private storage of vehicles,Ballabunt Croft Cooil Road Douglas Isle Of Man IM4 2AQ ,REF,24-Mar-21
19/01132/B,Erection of a greenhouse,Field 124163 Adjacent To Cronk Breck Bernahara Road Andreas Isle Of Man  ,PER,05-Feb-21
19/01437/B,Erection of a dwelling with associated parking and vehicular access,Fernlea Bride Isle Of Man IM7 4AT,PER,20-Jan-21
19/01439/B,"Variation of condition 2 of application 12/01671/B for the continued deposit of inert and mixed construction/demolition waste and associated site restoration, to extend the approval for a further 12 months.",Wrights Pit North Landfill Off Cranstal Road Bride Isle Of Man  ,WDN,04-Oct-21
19/01444/B,"Erection of 26 dwellings with associated highways, public open space, drainage infrastructure and landscaping",Field 333129 And Adjoining Land South Of Mines Road Foxdale Isle Of Man  ,WDN,02-Mar-21
20/00060/A,"Approval in principle for the erection of a replacement detached dwelling addressing matters of siting, access, internal layout, external appearance and design",Ballamaddrell Cottage Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HD,REF,12-Apr-21
20/00102/B,Installation of four roller shutter doors and four personnel doors to South West elevation,Unit C Balderton Court Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ,PER,25-Mar-21
20/00229/B,Demolition of building (in association with Registered Building Application 20/00230/CON),Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR,REF,22-Jan-21
20/00230/CON,Registered Building Consent Application for the demolition elements to a building in a conservation area and associated with planning application 20/00229/B.,Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR,REF,25-Jan-21
