"Application Number","Details","Local Authority","Date"
"23/01021/B","Installation of a mezzanine floor to be used as a veterinary practice, pet care, treatment, and grooming facility; installation of nine external air-conditioning units, a gas bottle storage unit, fire exit door with external staircase, and amendments to existing roller shutter door Unit 2\nSpring Valley Industrial Estate\nDouglas\nIsle Of Man\nIM2 2QR\n","BRADDAN","11 Sep 2023"
"23/01058/B","Replace existing roof tiles with new concrete roof tiles 14 And 15 Douglas Street\nCastletown\nIsle Of Man\nIM9 1BD\n","CASTLETOWN","12 Sep 2023"
"23/00963/B","Widening of an existing driveway. 27 Cherry Walk\nDouglas\nIsle Of Man\nIM2 5NP","DOUGLAS","12 Sep 2023"
"23/00974/B","Demolish kitchen chimney stack at rear of property (not visible from front of property) 11 And 12 Hilary Park\nDouglas\nIsle Of Man\nIM2 3EF","DOUGLAS","7 Sep 2023"
"23/00975/CON","Registered Building consent for demolition elements to PA 23/00974/B 11 And 12 Hilary Park\nDouglas\nIsle Of Man\nIM2 3EF\n","DOUGLAS","7 Sep 2023"
"23/01020/C","Change of use from taxi booking office to dog grooming salon Taxi Booking Office\n31 Christian Road\nDouglas\nIsle Of Man\nIM1 2QJ","DOUGLAS","11 Sep 2023"
"23/01024/D","Shop front sign above entrance to replace existing ""Everest Windows"" sign with ""Terry\'s Tato\'s (TT\'s)"" 79 Strand Street\nDouglas\nIsle Of Man\nIM1 2EN","DOUGLAS","8 Sep 2023"
"23/01085/B","Variation of condition 2 of PA 23/00345/C to amend the opening hours and days of operation to 9am to 9pm Monday to Sunday First Floor\n10 Prospect Hill\nDouglas\nIsle Of Man\nIM1 1EJ\n","DOUGLAS","13 Sep 2023"
"23/01007/B","Renovation & change of use of existing building from office units to tourist accommodation. Installation of log burning flues. The Paddocks\nRamsey Road\nLaxey\nIsle Of Man\nIM4 7PP","GARFF","11 Sep 2023"
"23/01076/B","Replacement of front door 18 Dumbells Terrace\nLaxey\nIsle Of Man\nIM4 7NY\n","GARFF","11 Sep 2023"
"23/01043/C","Additional use of part of existing dwelling to serve as self-contained tourist accommodation Kerrowkneale\nSummerhill Road\nJurby\nIsle Of Man\nIM7 3BR\n","JURBY","13 Sep 2023"
"23/01053/B","Extensions and alterations to existing dwelling Craig Mooar\nSummerhill Road\nJurby\nIsle Of Man\nIM7 3BR\n","JURBY","11 Sep 2023"
"23/01055/B","Conversion of garage to ancillary accommodation 2 Marguerite Cottages\nGlen Road\nLaxey\nIsle Of Man IM4 7AN","LAXEY","11 Sep 2023"
"23/01056/B","Remove existing timber windows, install new white PVC windows into existing apertures Cronk-Na-Quill\nOld Laxey Hill\nLaxey\nIsle Of Man\nIM4 7DA\n","LAXEY","8 Sep 2023"
"23/01057/B","Construction and replacement of existing walls for the purpose of providing flood protection to Glen Road, Laxey. Glen Road\nLaxey\nIsle Of Man\n\n","LAXEY","12 Sep 2023"
"23/01054/B","Replacement sun room, garage extension and additional windows in lounge 31 Carrick Park\nSulby\nIsle Of Man\nIM7 2EY\n","LEZAYRE","11 Sep 2023"
"23/00972/B","Single storey extension to rear to provide new kitchen and sitting area 12 The Willows\nBallasalla\nIsle Of Man\nIM9 2EW","MALEW","7 Sep 2023"
"23/01040/B","Refurbish existing house and add extensions to each side and area of lawn adjacent to extended house, create additional off-road parking area with triple garage to utilise two existing accesses, and manage remainder of residential curtilage, retaining its natural state Grenaby House\nGrenaby\nBallasalla\nIsle Of Man\nIM9 3BD\n","MALEW","13 Sep 2023"
"23/01067/A","Approval in principle for the erection of 2 dwellings with associated access and siting and all other matters reserved The Secret Garden Nurseries\nBallacharry Road\nSt Marks\nBallasalla\nIsle Of Man\nIM9 3AU\n","MALEW","13 Sep 2023"
"23/01047/B","Alterations and extensions to existing dwelling including erection of rear extension, installation of rear dormer and replacement roof works Ard Beg\n13 Ballagarey Road\nGlen Vine\nIsle Of Man\nIM4 4EB\n","MAROWN","13 Sep 2023"
"23/01042/B","Creation of car park Claughbane Quarry\nClaughbane Plantation\nMountain Road\nRamsey\nIsle Of Man\n\n","MAUGHOLD","7 Sep 2023"
"23/01044/B","Removal of Manx sod bank and replacement with new metal fence Dhoon School\nGlen Mona\nRamsey\nIsle Of Man\nIM7 1HA\n","MAUGHOLD","12 Sep 2023"
"23/01010/B","Increasing the size of the main entrance porch, creating a flat roof dormer window to the rear roof pitch and rebuilding the derelict timber shed to the garden. Glendale\nDouglas Road\nKirk Michael\nIsle Of Man\nIM6 1AR","MICHAEL","8 Sep 2023"
"23/01029/B","Proposed demolition of Waterfall Hotel and erection of 4 terraced dwellings on site with associated parking and amenity space Waterfall Hotel\nShore Road\nGlen Maye\nIsle Of Man\nIM5 3BG","PATRICK","12 Sep 2023"
"23/01052/B","Erection of rear sunroom extension (retrospective) 8 Kitterland Lane\nBallakilley\nPort Erin\nIsle Of Man\nIM9 6DX\n","PORT ERIN","13 Sep 2023"
"22/01212/A","Approval in principle for proposed residential development, addressing means of access and number of plots The Auburns\n19 Lezayre Road\nRamsey\nIsle Of Man\nIM8 2LP\n","RAMSEY","27 Oct 2022"
"23/01016/B","Erection of new garage/workshop and reconstruction of existing garage River House\nRiverside\nRamsey\nIsle Of Man\nIM8 3DA","RAMSEY","12 Sep 2023"
"23/01048/B","Erection of extension containing sun room and utility room Cair Vie\nWindsor Road\nRamsey\nIsle Of Man\nIM8 3EB","RAMSEY","8 Sep 2023"
"23/00971/B","Proposed replacement sunroom and alterations to dining room and kitchen windows Broomhill\n1 Hill Park\nBallakillowey\nColby\nIsle Of Man\nIM9 4BF\n","RUSHEN","13 Sep 2023"
