RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status,architect_names,builder_names,reasons_for_registration,construction_start_year,construction_end_year,construction_start_date_text,construction_end_date_text,registration_date_text,deregistration_date_text,notes_extraction,cleaned_text_source,md_path,Needs_Review
1,"Bishopscourt, together with buildings contiguous therewith",23/05/1983,https://www.gov.im/media/631541/0500001regbldbishopscourt.pdf,Ballaugh,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"13th day of May, 1983",,"The building is of extreme historical importance, founded as the seat of the official church on the island by Bishop Symon who died in 1247. The complex includes the Chapel of St. Nicholas, the Convocation Hall, The Bishop Wilson Library, and the former Bishop’s House of Residence. The buildings are set in a garden of pleasing design and good maintenance, though not all are in good condition.",fenced_block,data/gov.im/registered-buildings/outputs/rb-1/rb-1.md,no_names; no_dates
2,"Leodest Methodist Chapel, Leodest Road",23/05/1983,https://www.gov.im/media/631487/rb2-registration-notice-and-entry-summary-221123.pdf,Andreas,,Registered,,,,,,,,,,,,,
3,"Cranstal Cottage, Cranstal",23/05/1983,https://www.gov.im/media/1381277/rb3-cranstal-cottage-cranstal-uploaded-301123_compressed.pdf,Bride,Thatched building,Registered,[],[],"[""A surviving example of a vernacular thatched cottage likely to date from the early 19th century or late 18th century, with various elements of historic fabric and detailing."", ""A surviving example of a vernacular thatched cottage in a rural setting; illustrating important aspects of the nation’s social and cultural history.""]",,,,,"13th day of May, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-3/rb-3.md,no_names; no_dates
4,"Bridge Cottage, Cranstal",23/05/1983,https://www.gov.im/media/1381278/rb4-bridge-cottage-cranstal-uploaded-301123_compressed.pdf,Bride,Thatched building,Registered,,,,,,,,,,,,,
5,"Yn Thie Thooit, Lhen Bridge",23/05/1983,https://www.gov.im/media/631493/rb5-registration-notice-and-entry-summary-221123.pdf,Andreas,Thatched building,Registered,[],[],"[""A surviving example of a vernacular thatched cottage likely to date from the early 19th century or late 18th century, with various elements of historic fabric and detailing."", ""A surviving example of a vernacular thatched cottage in a rural setting adjacent to the historic Lhen Bridge road crossing; illustrating important aspects of the nation’s social and cultural history.""]",,,,,23.5.1983,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-5/rb-5.md,no_names; no_dates
6,"Primrose Thatched Cottage, St Marys Road",23/05/1983,https://www.gov.im/media/1381279/rb6-primrose-thatched-cottage-st-mary-s-road-uploaded-301123_compressed.pdf,Port Erin,Thatched building,Registered,[],[],"[""A surviving example of a vernacular thatched cottage likely to date from the early 19th century or late 18th century, with various elements of historic fabric and detailing."", ""A surviving example of a vernacular thatched cottage illustrating important aspects of the nation’s social and cultural history.""]",,,,,"13th day of May, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-6/rb-6.md,no_names; no_dates
7,"Cott Ny Greiney, Beach Road",23/05/1983,https://www.gov.im/media/1381280/rb7-cott-ny-greiney-beach-road-uploaded-301123_compressed.pdf,Port St Mary,Thatched building,Registered,[],[],"[""A surviving example of a vernacular thatched cottage likely to date from the early 19th century or late 18th century, with various elements of historic fabric and detailing."", ""A surviving example of a vernacular thatched cottage illustrating important aspects of the nation’s social and cultural history.""]",,,,,"13th day of May, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-7/rb-7.md,no_names; no_dates
8,Thatched house at Niarbyl Beach,23/05/1983,https://www.gov.im/media/632789/rb8-registration-notice-and-entry-summary-221123.pdf,Patrick,Thatched building,Registered,[],[],"[""A surviving example of a pair of vernacular thatched cottages likely to date from the 18th century, with various elements of historic fabric and detailing."", ""A unique surviving example on the island of a pair of vernacular thatched cottages in a beachside setting; and specifically illustrating the history of the community at Niarbyl in the 18th and 19th century that fished the waters between Niarbyl and Bradda.""]",1700.0,1899.0,18th century,19th century,"23rd day of May, 1983",,"The document contains multiple notices of registration addressed to different individuals, confirming the registration of the thatched house at Niarbyl Beach due to its architectural and historic interest. The cottages are likely from the 18th century, with possible origins in the 17th or early 19th century. The registration prohibits alterations or demolition without consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-8/rb-8.md,no_names
9,"Rose Cottage, Surby Road, Surby",23/05/1983,https://www.gov.im/media/633011/rb9-registration-notice-and-entry-summary-221123.pdf,Rushen,Thatched building,Registered,[],[],"[""Vernacular cottage, possibly converted from a Cow Byre, retaining numerous elements of historic fabric and detailing."", ""A surviving vernacular dwelling in a rural farming setting, illustrating important aspects of the island’s social and agricultural history during the 19th century, and possibly earlier.""]",1800.0,,early 19th century,,23.5.1983,,"The building is likely from the early 19th century, possibly 18th century. The registration prohibits alteration or demolition without consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-9/rb-9.md,no_names
10,"Mysore Cottages, 37, 39, 41 & 43 Waterloo Road",19/07/1983,https://www.gov.im/media/632861/0500010regbldmysorecottages.pdf,Ramsey,,Registered,[],[],"[""architectural or historic interest"", ""built by the sister of the Manx Governor of Mysore"", ""distinct from usual Manx alms houses of the mid 19th century""]",,,,,19th July 1983,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-10/rb-10.md,no_names; no_dates
11,"Ballaugh Old Church, The Cronk",21/07/1983,https://www.gov.im/media/1348571/regbld11-ballaugh-old-church-reduced.pdf,Ballaugh,,Registered,"[""John Welch""]",[],"[""architectural interest"", ""historic interest""]",1832.0,1832.0,1832,1832,"21st July, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-11/rb-11.md,
13,"Old Kirk Lonan (St Adamnan's) Ballamenagh Road, Baldrine",21/07/1983,https://www.gov.im/media/1352399/rb13-registration-notice-and-entry-summary-221123.pdf,Lonan,,Registered,[],"[""Canon John Quine""]","[""Former Parish Church; western portion dating from 12th century and eastern portion restored in 1890s, with architectural fabric and detailing dating from both periods."", ""Former Parish Church with portions dating from 12th century, illustrating important aspects of the nation’s religious history, and the social and cultural history of Lonan Parish (now part of Garff).""]",1895.0,1897.0,1895,1897,21.7.1983,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-13/rb-13.md,
14,"St Runius Church, Ellerslie",21/07/1983,https://www.gov.im/media/1385910/rb14-registration-notice-and-entry-summary-081024_compressed.pdf,Marown,,Registered,[],"[""Thomas Lewin"", ""Douglas Lewin""]","[""Former Parish Church dating from c.1200, significantly altered in 1750s and retaining many elements of architectural fabric and detailing."", ""Former Parish Church dating from c.1200, illustrating important aspects of the nation’s religious history and the social and cultural history of Marown Parish.""]",1200.0,1755.0,circa 1200,between 1750 and 1755,21.7.1983,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-14/rb-14.md,
15,"Santon Parish Church (St Sanctain's), Church Road",21/07/1983,https://www.gov.im/media/1382150/rb15-registration-notice-and-entry-summary_compressed.pdf,Santon,,Registered,[],[],"[""Parish church dating from 1774 with many surviving elements of historic fabric and examples of architectural detailing."", ""Parish church illustrating important aspects of the nation’s religious history and the social and cultural history of Santon Parish.""]",1720.0,1730.0,between 1720 and 1730,between 1720 and 1730,21.07.1983,,,fenced_block,data/gov.im/registered-buildings/outputs/rb-15/rb-15.md,no_names
16,"Bridge House (main building), Bridge Street",26/09/1983,https://www.gov.im/media/631643/0500016regbldbridgehouse.pdf,Castletown,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd September, 1983",,"The building is a four-storey rectangular structure with a pitched slate roof, cement-rendered facade, and vertically hung slates on two walls. It has a small columned porch and a three-storey extension. The building is associated with former owners and activities such as smuggling, but it is not in a good state of repair.",fenced_block,data/gov.im/registered-buildings/outputs/rb-16/rb-16.md,no_names; no_dates
17,Town Hall (Manannan House) Market Square (the main building),26/09/1983,https://www.gov.im/media/1382151/rb17-registration-notice-and-entry-summary.pdf,Castletown,,Registered,[],[],[],,,,,,,"The OCR text provided does not contain any information about the building's registration, construction, or architects.",fenced_block,data/gov.im/registered-buildings/outputs/rb-17/rb-17.md,no_names; no_reasons; no_dates
18,20 Church Street,26/09/1983,https://www.gov.im/media/632033/rb18-20-church-street.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd September, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-18/rb-18.md,no_names; no_dates
19,22 Church Street (including that portion of the shop extending under No. 20 Church Street),26/09/1983,https://www.gov.im/media/632039/0500019regbld22churchstreet.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"23rd September, 1983",,"The document contains multiple identical notices addressed to different recipients, indicating the registration of 22 Church Street due to its architectural or historic interest. The registration prohibits alteration or demolition without consent.",fenced_block,data/gov.im/registered-buildings/outputs/rb-19/rb-19.md,no_names; no_dates
20,24 Church Street,26/09/1983,https://www.gov.im/media/632045/0500020regbld24churchstreet.pdf,Douglas,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd September, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-20/rb-20.md,no_names; no_dates
21,7 John Street,26/09/1983,https://www.gov.im/media/632051/0500021regbldscottsbistro.pdf,Douglas,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"23rd September, 1983",,"The document is a notice of registration for a building at 7 John Street, Douglas, Isle of Man, due to its architectural or historic interest. The registration prohibits alteration or demolition without consent. The public notice was to be published on 29th September, 1983.",fenced_block,data/gov.im/registered-buildings/outputs/rb-21/rb-21.md,no_names; no_dates
22,"The Cottage, Bishopscourt",26/09/1983,https://www.gov.im/media/632639/0500022regbldfoxcottage.pdf,Michael,,Registered,[],[],"[""architectural or historic interest""]",,,,,"23rd September, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-22/rb-22.md,no_names; no_dates
23,"The Refectory, Bishopscourt",26/09/1983,https://www.gov.im/media/632645/0500023regbldhollylodge.pdf,Michael,,Registered,[],[],"[""architectural interest"", ""historic interest""]",,,,,"23rd September, 1983",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-23/rb-23.md,no_names; no_dates
24,Castle Rushen,03/02/1984,https://www.gov.im/media/1382253/rb24-notice-of-registration-and-reasons.pdf,Castletown,,Registered,[],[],"[""Architectural interest"", ""Historic interest""]",1200.0,,1200AD,,"3rd February, 1984",,,fenced_block,data/gov.im/registered-buildings/outputs/rb-24/rb-24.md,no_names
