RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
1,"Bishopscourt, together with buildings contiguous therewith",23/05/1983,https://www.gov.im/media/631541/0500001regbldbishopscourt.pdf,Ballaugh,,Registered
2,"Leodest Methodist Chapel, Leodest Road",23/05/1983,https://www.gov.im/media/631487/rb2-registration-notice-and-entry-summary-221123.pdf,Andreas,,Registered
3,"Cranstal Cottage, Cranstal",23/05/1983,https://www.gov.im/media/1381277/rb3-cranstal-cottage-cranstal-uploaded-301123_compressed.pdf,Bride,Thatched building,Registered
4,"Bridge Cottage, Cranstal",23/05/1983,https://www.gov.im/media/1381278/rb4-bridge-cottage-cranstal-uploaded-301123_compressed.pdf,Bride,Thatched building,Registered
5,"Yn Thie Thooit, Lhen Bridge",23/05/1983,https://www.gov.im/media/631493/rb5-registration-notice-and-entry-summary-221123.pdf,Andreas,Thatched building,Registered
6,"Primrose Thatched Cottage, St Marys Road",23/05/1983,https://www.gov.im/media/1381279/rb6-primrose-thatched-cottage-st-mary-s-road-uploaded-301123_compressed.pdf,Port Erin,Thatched building,Registered
7,"Cott Ny Greiney, Beach Road",23/05/1983,https://www.gov.im/media/1381280/rb7-cott-ny-greiney-beach-road-uploaded-301123_compressed.pdf,Port St Mary,Thatched building,Registered
8,Thatched house at Niarbyl Beach,23/05/1983,https://www.gov.im/media/632789/rb8-registration-notice-and-entry-summary-221123.pdf,Patrick,Thatched building,Registered
9,"Rose Cottage, Surby Road, Surby",23/05/1983,https://www.gov.im/media/633011/rb9-registration-notice-and-entry-summary-221123.pdf,Rushen,Thatched building,Registered
10,"Mysore Cottages, 37, 39, 41 & 43 Waterloo Road",19/07/1983,https://www.gov.im/media/632861/0500010regbldmysorecottages.pdf,Ramsey,,Registered
11,"Ballaugh Old Church, The Cronk",21/07/1983,https://www.gov.im/media/1348571/regbld11-ballaugh-old-church-reduced.pdf,Ballaugh,,Registered
13,"Old Kirk Lonan (St Adamnan's) Ballamenagh Road, Baldrine",21/07/1983,https://www.gov.im/media/1352399/rb13-registration-notice-and-entry-summary-221123.pdf,Lonan,,Registered
14,"St Runius Church, Ellerslie",21/07/1983,https://www.gov.im/media/1385910/rb14-registration-notice-and-entry-summary-081024_compressed.pdf,Marown,,Registered
15,"Santon Parish Church (St Sanctain's), Church Road",21/07/1983,https://www.gov.im/media/1382150/rb15-registration-notice-and-entry-summary_compressed.pdf,Santon,,Registered
16,"Bridge House (main building), Bridge Street",26/09/1983,https://www.gov.im/media/631643/0500016regbldbridgehouse.pdf,Castletown,,Registered
17,Town Hall (Manannan House) Market Square (the main building),26/09/1983,https://www.gov.im/media/1382151/rb17-registration-notice-and-entry-summary.pdf,Castletown,,Registered
18,20 Church Street,26/09/1983,https://www.gov.im/media/632033/rb18-20-church-street.pdf,Douglas,,Registered
19,22 Church Street (including that portion of the shop extending under No. 20 Church Street),26/09/1983,https://www.gov.im/media/632039/0500019regbld22churchstreet.pdf,Douglas,,Registered
