"osm_id","osm_type","osm_url","lat","lon","name","charity","ref:charity","operator","addr:unit","addr:housename","addr:housenumber","addr:street","addr:place","addr:city","addr:postcode","addr:country","website","contact:website","phone","contact:phone","contact:facebook"
"101756496","way","https://osm.org/way/101756496","54.08547497455477","-4.758479834540386","Age Concern Isle of Man","yes","549","Age Concern Isle of Man","","","5","Station Road","","Port Erin","IM9 6AE","IM","https://www.ageconcern.im/","","+44 1624 835412","",""
"11800214430","node","https://osm.org/node/11800214430","54.322185","-4.385771","Age Concern Isle of Man","yes","549","Age Concern Isle of Man","3","","87","Parliament Street","","Ramsey","IM8 1AJ","","https://www.ageconcern.im/","","","",""
"92112419","way","https://osm.org/way/92112419","54.17015667033654","-4.617830408676382","Ard Jerkyll","animal","26A","ManxSPCA","","","","","","","IM4 3HL","","https://www.manxspca.com","","","",""
"8567404081","node","https://osm.org/node/8567404081","54.17026","-4.617924","Ard Jerkyll","animal","26A","ManxSPCA","","","","","","","","","https://www.manxspca.com","","","",""
"102856158","way","https://osm.org/way/102856158","54.322281101127835","-4.3839703910027605","Bridge Bookshop","animal","","","","","62","Parliament Street","","Ramsey","IM8 1AJ","IM","https://www.bridge-bookshop.com/","","","",""
"328917787","way","https://osm.org/way/328917787","54.094417288033966","-4.703084872946073","Colby AFC","sport","832","","","","","Colby Main Road","","Colby","IM9 4LR","IM","https://colbyafc.com","","","","https://www.facebook.com/Colbyfootballclub/"
"62241469","way","https://osm.org/way/62241469","54.15480682399747","-4.484438389784577","Crossroads Care","yes","383","Crossroads Care","","","","Woodbourne Road","","Douglas","IM1 3AL","","https://www.crossroadsiom.org/","","","+44 1624 611363","https://www.facebook.com/crossroadscharityshops/"
"685338712","node","https://osm.org/node/685338712","54.155228","-4.484727","Crossroads Caring for Carers","yes","383","Crossroads Care","","","16","Woodbourne Road","","Douglas","IM1 3AL","IM","https://www.crossroadsiom.org/","","","+44 1624 673580","https://www.facebook.com/crossroadscharityshops/"
"59384494","way","https://osm.org/way/59384494","54.1448784218384","-4.46977254543524","Douglas Lifeboat Station","lifeboat","","Royal National Lifeboat Institution","","","","Battery Pier","","","","IM","https://rnli.org/find-my-nearest/lifeboat-stations/douglas-lifeboat-station","","","",""
"10829691486","node","https://osm.org/node/10829691486","54.320882","-4.378926","Drop Inn Kids","yes","","","","","14-15","","Saint Paul's Square","Ramsey","","IM","https://dropinn.net/place/isle-of-man-shop","","+44 1624 816141","","https://www.facebook.com/pg/DropInnMinistriesIOM"
"773781469","way","https://osm.org/way/773781469","54.33696798798918","-4.395321828007735","Grest Care Home","yes","6","Grest Trust","","Grest Care Home","","Andreas Road","","Lezayre","IM7 4EA","","https://www.grestcarehome.co.uk","","","",""
"146972088","way","https://osm.org/way/146972088","54.22263025093368","-4.694906309911381","Hospice","yes","317","","","","2","Michael Street","","Peel","","IM","https://www.hospiceshops.com","","","",""
"1220527325","way","https://osm.org/way/1220527325","54.1526705","-4.483715500000001","Hospice","yes","317","","","","76","Bucks Road","","Douglas","IM1 3AF","IM","https://www.hospiceshops.com/","","","",""
"1666047899","node","https://osm.org/node/1666047899","54.086726","-4.756051","Hospice Shop","yes","","","","","","Orchard Walk","","Port Erin","","IM","https://www.hospiceshops.com/","","","",""
"104794522","way","https://osm.org/way/104794522","54.17393238991956","-4.503040078207592","Hospice, Isle of Man","yes","317","Hospice Care","","Hospice, Isle of Man","","","Strang","Douglas","IM4 4RP","IM","https://www.hospice.org.im","","+44 1624 647400","",""
"79372980","way","https://osm.org/way/79372980","54.15391541663271","-4.501679924158987","Hyperbaric Medicine Facility","yes","1274","HBOT IOM","","Scholl Building","","Peel Road","","Douglas","IM1 5ED","IM","https://www.hbot.im","","","",""
"79144725","way","https://osm.org/way/79144725","54.169863543923796","-4.498804883569311","Isle of Man Foodbank","food","1148","","","Ballafletcher House","","Ballafletcher Farm Road","","Cronkbourne","IM4 4QE","IM","https://isleofmanfoodbank.wordpress.com/","","","","https://www.facebook.com/IOMFoodbank/"
"59384842","way","https://osm.org/way/59384842","54.152012796366584","-4.480859442005198","Isle of Man Mosque","yes","432","Isle of Man Islamic Association","","","20","Finch Road","","Douglas","IM1 2PT","IM","","http://www.iomia.com/","","",""
"1154467407","way","https://osm.org/way/1154467407","54.16165754832514","-4.505256312542588","Joey Dunlop Foundation","yes","842","Joey Dunlop Foundation","","Braddan Bridge House","","Peel Road","","Braddan","IM4 4TN","","https://www.joeydunlopfoundation.com","","","",""
"233925097","way","https://osm.org/way/233925097","54.23142607848407","-4.406187009666851","Laxey Working Men's Club","yes","741;1104","Laxey Working Men's Institute","","","17","New Road","","Laxey","IM4 7BD","","https://theinstitute.im/","","","",""
"82567290","way","https://osm.org/way/82567290","54.15496239956184","-4.496173969098007","Lions Club of the Isle of Man","yes","637","","","","","Ballabrooie Way","","Douglas","","IM","https://lions.im","","","","https://www.facebook.com/p/Lions-Club-of-the-Isle-of-Man-100064804596623/"
"183946915","way","https://osm.org/way/183946915","54.123925906130445","-4.57274941834688","Mann Cat Sanctuary","yes","705","Mann Cat Sanctuary","","","","Santon Main Road","","Santon","IM4 1EE","","https://www.manncat.com","","","",""
"103485031","way","https://osm.org/way/103485031","54.08338793363213","-4.637641492609207","Manx Aviation and Military Museum","yes","827","Manx Aviation and Military Museum","","","","","","Ronaldsway","IM9 2AT","IM","http://www.maps.org.im/museum","","+44 1624 829294","",""
"102856161","way","https://osm.org/way/102856161","54.322284517223444","-4.384032104587958","ManxSPCA","animal","26A","ManxSPCA","","","64","Parliament Street","","Ramsey","","IM","","","","",""
"1158812324","way","https://osm.org/way/1158812324","54.153066","-4.483996000000001","ManxSPCA","animal","26A","ManxSPCA","","","88","Bucks Road","","Douglas","","IM","","https://www.manxspca.com","+44 1624 851672","",""
"412956708","way","https://osm.org/way/412956708","54.319878593436044","-4.4040672251798325","Milntown Estate & Gardens","yes","754","The Milntown Trust","","Milntown House","","Lezayre Road","","Ramsey","IM7 2AB","","https://www.milntown.org/","","","",""
"146835161","way","https://osm.org/way/146835161","54.22394241446218","-4.694570938595034","Peel Charity Shop","yes","815","","","","","Shore Road","","Peel","","IM","","","","","https://www.facebook.com/PeelCharityShop/"
"59700895","way","https://osm.org/way/59700895","54.227078500000005","-4.6980205","Peel Lifeboat Station","lifeboat","","Royal National Lifeboat Institution","","","","West Quay","","Peel","IM5 1TG","IM","https://rnli.org/find-my-nearest/lifeboat-stations/peel-lifeboat-station","","","",""
"60007259","way","https://osm.org/way/60007259","54.0851491789085","-4.76804743059415","Port Erin Lifeboat Station","lifeboat","","Royal National Lifeboat Institution","","","","Breakwater Road","","Port Erin","IM9 6JA","IM","https://rnli.org/find-my-nearest/lifeboat-stations/port-erin-lifeboat-station","","","",""
"101875153","way","https://osm.org/way/101875153","54.07047665394243","-4.734533504955618","Port St Mary Lifeboat Station","lifeboat","","Royal National Lifeboat Institution","","Lifeboat Station","","Lime Street","","Port Saint Mary","IM9 5EF","IM","https://rnli.org/find-my-nearest/lifeboat-stations/port-st-mary-lifeboat-station","","","",""
"102737932","way","https://osm.org/way/102737932","54.32254870279498","-4.378491646952664","Ramsey Lifeboat Station","lifeboat","","Royal National Lifeboat Institution","","New Norbury Boat House","","South Promenade","","Ramsey","","IM","https://rnli.org/find-my-nearest/lifeboat-stations/ramsey-lifeboat-station","","","",""
"102635562","way","https://osm.org/way/102635562","54.32120818675557","-4.3801289803831915","Royal National Lifeboat Institute","lifeboat","","","","","3","Market Hill","","Ramsey","IM8 1JT","IM","https://rnli.org/find-my-nearest/shops/ramsey-rnli-shop","","","",""
"753425840","way","https://osm.org/way/753425840","54.15456456293504","-4.484134303581507","Save the Children","yes","199","","","","2","Windsor Road","","Douglas","IM1 3JY","IM","","","","",""
"1270919366","way","https://osm.org/way/1270919366","54.16994474810418","-4.475338846273005","St John Ambulance IOM","yes","1112","","","","","Glencrutchery Road","","Douglas","IM2 6BG","","https://sja.org.im","","","",""
"10829691498","node","https://osm.org/node/10829691498","54.320828","-4.379619","Treasured","yes","1321","","","","","","Saint Paul's Square","Ramsey","","IM","","","","","https://www.facebook.com/p/Treasured-100070007569320/"
"152690581","way","https://osm.org/way/152690581","54.15190065714285","-4.482078842857143","Victim Support Isle of Man","yes","963","Victim Support (Isle of Man)","","","6","Albert Street","","Douglas","IM1 2QA","IM","https://www.victimsupport.im/","","","","http://www.facebook.com/victimsupportiom"
