"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","amenity","addr:unit","addr:housename","addr:housenumber","addr:substreet","addr:street","addr:locality","addr:place","addr:city","addr:postcode","addr:country","website","contact:website","phone","contact:phone","contact:email","contact:facebook"
"79141643","way","https://osm.org/way/79141643","54.147838746421506","-4.482733814587979","14North","","","restaurant","","","14","","North Quay","","","","","IM","https://14north.im/","","+44 1624 664414","","",""
"420051240","way","https://osm.org/way/420051240","54.14893291289058","-4.478557916371614","A Café","","","cafe","","","20","","Duke Street","","","Douglas","","IM","","","","","",""
"101784669","way","https://osm.org/way/101784669","54.07180344971533","-4.73788612237797","Albert Hotel","Albert Hotel","Yn Çhenn Lhong","pub","","Albert Hotel","","","Athol Street","","","Port Saint Mary","","IM","","","","","","https://www.facebook.com/TheAlbertPLM/"
"186415864","way","https://osm.org/way/186415864","54.148380424238226","-4.478508274328897","Aloha","","","cafe","1c","Manning House","","","Lord Street","","","Douglas","","IM","","","","","",""
"549539677","node","https://osm.org/node/549539677","54.222812","-4.691643","Anatolia","","","fast_food","","","2a","","Christian Street","","","Peel","","IM","","","+441624840888","","",""
"505512407","node","https://osm.org/node/505512407","54.07746","-4.739544","Andrea's","","","restaurant","","Points of Call","","","Bay View Road","","","","","IM","","","01624 834040","","",""
"11964344884","node","https://osm.org/node/11964344884","54.152624","-4.50422","Aqua Café","","","cafe","","","","","","","","","","","","https://www.aquacafe.im/","","+44 1624 610480","manager@aquacafe.im",""
"247968410","way","https://osm.org/way/247968410","54.17605639346874","-4.457426966528559","Archibald Knox","","","pub","","","","","Avondale Road","","","Onchan","IM3 4EZ","IM","https://pubsandbars.im/venue/archibald-knox/","","","","",""
"92112419","way","https://osm.org/way/92112419","54.17015667033654","-4.617830408676382","Ard Jerkyll","","","cafe","","","","","","","","","IM4 3HL","IM","https://www.manxspca.com","","","","",""
"11261590904","node","https://osm.org/node/11261590904","54.174191","-4.455275","Arty Barista","","","cafe","","","","","","","","","","","","","","","",""
"410386584","way","https://osm.org/way/410386584","54.14797485011238","-4.483246394127162","Asia Fresh","","","restaurant","","","4-6","","Quines Corner","","","Douglas","IM1 4LF","IM","https://www.asiafresh.co.uk","","","","","https://www.facebook.com/asiafresh.co.uk/"
"11881848854","node","https://osm.org/node/11881848854","54.084153","-4.758123","Athol Park Chinese Restaurant","","","restaurant","","Athol Park Guest House","","","Athol Park","","","Port Erin","IM9 6EX","IM","","","","","","https://www.facebook.com/p/Athol-Park-Chinese-Restaurant-100067607140828/"
"80822388","way","https://osm.org/way/80822388","54.16444647600474","-4.468311482445401","Aura Bar & Bistro","","","restaurant","","","","","Queens Promenade","","","Douglas","IM2 4NH","IM","","https://www.aurabarbistro.com/","","+44 1624 620999","",""
"279663208","way","https://osm.org/way/279663208","54.08506467122905","-4.755967654323242","Bakeaway Cafe","","","cafe","","","","","","","","","","","","","+44 1624 832792","","",""
"925621389","way","https://osm.org/way/925621389","54.237460098815056","-4.408782500116706","Ballacregga Corn Mill","","","restaurant","","","","","","","","","","","","","","","","https://www.facebook.com/ballacregga/"
"813974471","way","https://osm.org/way/813974471","54.14979988014147","-4.482607380208563","Bar George","","","pub","","","","","Hill Street","","","Douglas","","","https://www.bargeorge.net/","","","","",""
"102856155","way","https://osm.org/way/102856155","54.32199234848538","-4.383364415146324","Bar Logo","","","pub","","","39","","Parliament Street","","","Ramsey","IM8 1AU","IM","","","","","",""
"102638493","way","https://osm.org/way/102638493","54.321833740202415","-4.379324450999367","Barbary Coast","","","restaurant","","","","","Market Place","","","Ramsey","IM8 1JY","IM","https://barbarynorthcoast.im","","","","",""
"149066482","way","https://osm.org/way/149066482","54.220154224629816","-4.678012574969018","Barbary West Coast","","","restaurant","","","","","Poortown Road","","","Peel","IM5 1XF","IM","https://barbarywestcoast.im/","","+44 1624 604833","","",""
"102856174","way","https://osm.org/way/102856174","54.32216361084509","-4.386047222551935","Barista Coffee House","","","cafe","","","89","","Parliament Street","","","Ramsey","IM8 1AQ","IM","","","","","",""
"60003741","way","https://osm.org/way/60003741","54.07116310413346","-4.611365754920523","Bay Green","","","restaurant","","","","","","","","","","","https://castletowngolflinks.com/bay-green-restaurant/","","","+44 1624 822211","baygreeniom@gmail.com",""
"415157472","way","https://osm.org/way/415157472","54.15391787775934","-4.479018790540916","Best Kebab","","","fast_food","","","2","","Marina Road","","","Douglas","","IM","https://bestkebabiom.com","","","","","https://www.facebook.com/bestkebabhouseIOM/"
"1091965723","way","https://osm.org/way/1091965723","54.22351157430173","-4.697433617437655","Black Dog Oven (Dogs Nollick)","","","restaurant","","","","","","","","","","","","","+44 7624 230209","+44 7624 230209","Blackdogoven@gmail.com","https://www.facebook.com/Blackdogoven/"
"10620013850","node","https://osm.org/node/10620013850","54.150811","-4.48371","Blue Cafe","","","cafe","","","","","","","","","","","","","","","",""
"410363363","way","https://osm.org/way/410363363","54.14786945734491","-4.480650235493289","Bonjour Creperie","","","restaurant","","","3","","Ridgeway Street","","","Douglas","IM1 1EW","IM","","","","","",""
"1207352796","node","https://osm.org/node/1207352796","54.154772","-4.478748","Bonzai Pan Asian Restaurant","","","restaurant","","The Sefton","","","Harris Promenade","","","Douglas","","IM","https://bonzai-kitchen.im","","","","",""
"102638473","way","https://osm.org/way/102638473","54.321588873205776","-4.379300731001431","Bourne Plaice","","","fast_food","","","1","","Dale Street","","","Ramsey","IM8 1BJ","IM","","","","","","https://www.facebook.com/BournePlaiceFishandChips/"
"101833335","way","https://osm.org/way/101833335","54.0824547131125","-4.758786374740511","Breagle Glen","","","restaurant","","","","","Saint Georges Crescent","","","Port Erin","IM9 6JJ","IM","http://breagleglen.com","","","","",""
