"osm_id","osm_type","osm_url","lat","lon","name","amenity","healthcare","addr:unit","addr:housename","addr:housenumber","addr:substreet","addr:street","addr:place","addr:city","addr:postcode","addr:country","website","contact:website","phone","contact:phone","contact:email","contact:facebook","opening_hours"
"415157520","way","https://osm.org/way/415157520","54.152735155173666","-4.47891766873049","1 Dental Clinic","","dentist","","","","","","","","","","","1dentalclinic.com","","+44 1624 623001","","","Mo-We 09:15-13:00,14:00-17:30, Th,Fr 09:15-13:30, Th 14:30-18:30"
"12173926512","node","https://osm.org/node/12173926512","54.158121","-4.487002","65 Woodbourne Dental Surgery","dentist","dentist","","","65","","Woodbourne Road","","Douglas","","","","","","","","",""
"1158812323","way","https://osm.org/way/1158812323","54.1529705","-4.483925500000002","A D Hewett","dentist","dentist","","","84","","Bucks Road","","Douglas","IM1 3AG","IM","https://www.adhewett.im/","","","+44 1624 675748","","","Mo-Fr 08:45-13:00,14:00-17:00"
"67761902","way","https://osm.org/way/67761902","54.09587041741441","-4.62987422946373","Abbey Dental","dentist","dentist","","","4","","Silverburn Drive","","Ballasalla","IM9 2DR","IM","https://www.abbeydental.info/","","","","","","Mo,Tu,Th 08:30-12:30,13:30-17:30, We 08:30-12:30,13:30-18:30, Fr 08:30-13:00"
"5159163410","node","https://osm.org/node/5159163410","54.147109","-4.485501","Align 4 Life","","alternative","","","1","","Lake Road","","Douglas","IM1 5AF","","https://www.isleofmanchiropractor.com/","","+44 1624 629444","","","","Mo-Th 15:30-18:30 || Mo,We-Th 08:00-13:00,15:00-15:30 || Tu 11:30-13:30 || Fr 10:30-15:00"
"1230934938","way","https://osm.org/way/1230934938","54.149525337486516","-4.482250032645594","Athol Health","doctors","doctor;sample_collection","","","4","","Upper Church Street","","Douglas","IM1 1EE","IM","","","","+44 1624 698297","admin@atholhealth.com","","09:30-17:00"
"1217389845","way","https://osm.org/way/1217389845","54.17481602389189","-4.456802481647578","Avondale Dental Practice","","dentist","","","3","","Avondale Court","","Onchan","","IM","","","","+44 1624 624620","","",""
"449276695","node","https://osm.org/node/449276695","54.097988","-4.630822","Ballasalla Medical Centre","doctors","doctor","","","","","Ballasalla Main Road","","","IM9 2RQ","IM","https://www.ballasallamedicalcentre.im","","","","","",""
"418111622","way","https://osm.org/way/418111622","54.15062018943661","-4.4785557611077405","Boots","pharmacy","pharmacy","","","14-22","","Strand Street","","Douglas","IM1 2EE","IM","https://www.boots.com/stores/1153-isle-of-man-douglas-im1-2ee","","","","","",""
"99861954","way","https://osm.org/way/99861954","54.07420883406362","-4.654077457540823","Castle Pharmacy","pharmacy","pharmacy","","","20","","Malew Street","","Castletown","IM9 1AD","IM","","","","","","https://www.facebook.com/CastlePharmacyIOM/",""
