"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","office","addr:housenumber","addr:housename","addr:street","addr:locality","addr:place","addr:city","addr:postcode","addr:country","website","phone"
"59522606","way","https://osm.org/way/59522606","54.15124381601447","-4.528353015085729","ADT Security","","","security_services","","","","","Spring Valley Industrial Estate","Douglas","","IM","",""
"1155200517","way","https://osm.org/way/1155200517","54.17325269059533","-4.494440217079096","ARC Help@Home","","","home_care","Unit 17c","","Estate Road","","Tromode Estate","Tromode","IM4 4RG","IM","",""
"1139644381","way","https://osm.org/way/1139644381","54.14950917109493","-4.4820356060660735","Ability Plus","","","employment_agency","22","","Athol Street","","","Douglas","IM1 1JA","","https://abilityplus.co.im/",""
"152690587","way","https://osm.org/way/152690587","54.15239034143059","-4.481584293282614","Acclaim","","","company","12","Acclaim House","Mount Havelock","","","Douglas","IM1 2QG","IM","https://accla.im",""
"532705201","way","https://osm.org/way/532705201","54.1509185","-4.537087","AllCare","","","home_care","","","","","Eden Business Park","Douglas","","IM","",""
"10289485871","node","https://osm.org/node/10289485871","54.152274","-4.480872","Ambitions","","","employment_agency","26","","Finch Road","","","Douglas","","","https://ambitions.co.im",""
"1155200515","way","https://osm.org/way/1155200515","54.173290552377736","-4.494562884893166","Antelle","","","it","Unit 17b","","Estate Road","","Tromode Estate","Tromode","","IM","",""
"79141614","way","https://osm.org/way/79141614","54.14905758185052","-4.48315307107736","Apex","","","company","46","Millennium House","Athol Street","","","Douglas","IM1 1JB","","",""
"79141617","way","https://osm.org/way/79141617","54.14875458881469","-4.4830313614440565","Appleby","","","lawyer","33-37","","Athol Street","","","Douglas","IM1 1LB","","",""
"1205089463","way","https://osm.org/way/1205089463","54.1512385","-4.536824","Ardern & Druggan Ltd","","","trade","","","","","Eden Business Park","Douglas","","IM","",""
"59522596","way","https://osm.org/way/59522596","54.1539134492551","-4.531885041600269","Argon","","","company","","Restart Court","Vicarage Drive","","","Douglas","IM2 2QZ","","https://www.argon.im/",""
"1155200516","way","https://osm.org/way/1155200516","54.17312608549666","-4.494447760703153","Ashgrove Marketing","","","advertising_agency","Unit 17d","","Estate Road","","Tromode Estate","Tromode","","IM","",""
"1217588929","way","https://osm.org/way/1217588929","54.15073704156912","-4.526857067655346","Assystems;Expleo","","","aeronautical","","","","","Spring Valley Industrial Estate","Douglas","","IM","",""
"10623703242","node","https://osm.org/node/10623703242","54.149777","-4.481449","Athena","","","yes","14","","Athol Street","","","Douglas","","","",""
"5448644574","node","https://osm.org/node/5448644574","54.222583","-4.693888","Balanced Health Clinic","","","therapist","20/22","","Michael Street","","","Peel","IM5 1HB","","",""
"10727513210","node","https://osm.org/node/10727513210","54.150855","-4.494449","Bernhard Schulte Shipmanagement (Isle of Man) Limited","","","yes","","Dorchester House","Belmont Hill","","","Douglas","IM1 4RE","","",""
"504471756","node","https://osm.org/node/504471756","54.149718","-4.480963","Bespoke Recruitment","","","employment_agency","1","","Athol Street","","","","","IM","https://www.bespoke.co.im/",""
"420028934","way","https://osm.org/way/420028934","54.14909834674545","-4.479914805838945","Black Grace Cowley","","","estate_agent","51","","Victoria Street","","","","IM1 2LD","IM","https://www.blackgracecowley.com/",""
"4200367948","node","https://osm.org/node/4200367948","54.149287","-4.476666","Black Horse","","","financial","2","Villiers House","Victoria Street","","","Douglas","IM1 2LN","","https://www.blackhorseoffshore.co.uk/about-us/isle-of-man-team/",""
