"Hash","SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish","Market_Value","Consideration","Acquisition_Date","CompletionDate","Issue"
"2586c806c45f7b4865b440ff492dbbc2","","","Land Part Of The Craig","St Judes","","Andreas And Lezayre","","Andreas","1,437,682.00","1,437,682.00","24/12/2010","08/01/2013","Andreas And Lezayre is an invalid town name"
"bddff003140665faf2c4db975b6030a3",""," 1 & 3","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","","180,000.00","17/03/2004","18/08/2004","Ramsey Road is an invalid town name"
"cf68c241f145b6421b8f6c21bd6729c4",""," 1","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","","0.00","12/08/2005","02/03/2007","Ramsey Road is an invalid town name"
"02503f210bfd680f8f45a5f9b57da0d5",""," 1","","Jurby Road","","Ramsey Road","IM8 3PF","Lezayre","179,000.00","179,000.00","07/12/2007","23/07/2008","Ramsey Road is an invalid town name"
"59854e93730d497bb3527898c11324e0","","","The Old School House And Corrody  Cottage","Tholt-Y-Will","Sulby Glen","Lezayre And Ballaugh","IM7 2BF","Lezayre","","625,000.00","20/01/2006","21/08/2006","Lezayre And Ballaugh is an invalid town name"
"50828b1fd4cc6075f05862fc1665c1ef","","","Cottage 2","Riversdale Cottages","","Jurby Road","IM7 2EA","Lezayre","345,000.00","345,000.00","10/02/2021","22/04/2021","Jurby Road is an invalid town name"
"d3e9736413b61eb2e0d745638d7fe9bc","","","Cottage 2","Riversdale Cottages","","Jurby Road","IM7 2EA","Lezayre","350,000.00","0.00","18/07/2022","12/09/2022","Jurby Road is an invalid town name"
"46709a030d44106e4c6b6ae22e95b608",""," 8","","Grand Island","","Bride Road","IM8 3UQ","Lezayre","855,000.00","855,000.00","27/09/2021","16/12/2021","Bride Road is an invalid town name"
"55db5164a7c992d0fcfd448eea553ef1","","","Yn Soalt","Ballavarkish","Greeba","Main Road","IM4 3LG","German","425,000.00","425,000.00","04/03/2020","16/06/2020","Main Road is an invalid town name"
"c46128f65327440818867b0f603e330e","","","Gansey View","Concorde Developments","","Cronk Road","IM9 5AS","Rushen","295,000.00","295,000.00","11/05/2007","21/04/2008","Cronk Road is an invalid town name"
"63a8b380d7e97ffb1bd056e3be63b8ae","","","Land Situate At Ballafesson","Surby","","Isle Of Man","","Rushen","45,000.00","45,000.00","04/04/2019","24/07/2020","Isle Of Man is an invalid town name"
"6521cb0900ab3e42cbfcfec29fea20ce","","","Land Situate","Colby","","Isle Of Man","","Arbory","116,800.00","116,800.00","04/04/2019","02/12/2020","Isle Of Man is an invalid town name"
"b27a99fddaa64eb60474f24d3d790b41",""," 37","","Knock Rushen","Castletown","Scarlett Road","IM9 1TQ","Malew","570,000.00","570,000.00","25/08/2021","14/12/2021","Scarlett Road is an invalid town name"
"98a9c59ca65c4ecb430c047c30c7ed30","","","","Parcel Of Land","","Part Of The Estate Of Mullinaragher","","Malew","200,000.00","200,000.00","12/05/2016","21/09/2016","Part Of The Estate Of Mullinaragher is an invalid town name"
"4c9e5e4c306902ae8972278cbc8da320","","","Parcel Of Land","Between New Castletown Road And","","Mount Murray Back Road","","Santon","20,000.00","10,001.00","10/10/2018","10/10/2018","Mount Murray Back Road is an invalid town name"
"dea0a768ce4d3ff30a9710d319a61328","","","Arragon Veg","Santon","","Isle Of Man","IM9 3AB","Santon","1,600,000.00","1,600,000.00","19/12/2022","31/03/2023","Isle Of Man is an invalid town name"
"f34a303556b3640e2c1caa99db7305dd",""," 37","","Saddle Mews","Douglas","Groves Road","IM2 1HS","Braddan","190,000.00","190,000.00","10/02/2022","24/02/2022","Groves Road is an invalid town name"
"5f23b7f1df55e1ce616557b9358cb90a","","","Land Abutting Johnny Watterson's Lane","Douglas","","Isle Of Man","","Onchan","500,000.00","500,000.00","12/08/2022","22/06/2023","Isle Of Man is an invalid town name"
"245dc6ca9e41a62fa16f0e709040c73e","","","A Parcel Of Land","Canaan","West Kimmeragh Road","Bride","IM7 4BA","Bride","","9,000.00","14/05/2004","17/08/2004","West Kimmeragh Road is an invalid locality name"
"37acf24f376ec93ea33e5cf43420501c","","","A Parcel Of Land","Canaan","West Kimmeragh Road","Bride","IM7 4BA","Bride","10,000.00","0.25","25/05/2016","01/08/2016","West Kimmeragh Road is an invalid locality name"
"e1996ccff9c88cb45ca9bd76836d9c21","","","Part Of Field 111304 Adjacent To","Lheakarrow Cottage","Andreas Road","Andreas","","Bride","","27,500.00","12/11/2004","25/02/2005","Andreas Road is an invalid locality name"
"ffd2a90c8e0ffd67fecd5111d578971e","","","Part Of Field 111304 Adjacent To","Lheakerrow Cottage","Andreas Road","Andreas","","Bride","50,000.00","50,000.00","10/10/2007","04/02/2008","Andreas Road is an invalid locality name"
"84a763721c3f588fb1b6fa4bcad4cc65","","","A Plot Of Land Abutting","Orry's Mount Lodge","Grenaby Road","Bride","IM7 4AN","Bride","10,000.00","10,000.00","19/08/2009","22/12/2009","Grenaby Road is an invalid locality name"
"79aac18f11cf9677ec38840a82b29b91","","","","Land Known As Dorans Croft","Ballacherrims Road","Bride","","Bride","1,000.00","0.25","11/02/2011","13/07/2011","Ballacherrims Road is an invalid locality name"
"e0b284e19abcc4efcbe9ff8ad101d773","","","Field Number 114040","Land At Dogmills","Bride Road","Bride","IM7 4AE","Bride","55,000.00","55,000.00","05/01/2017","28/04/2017","Bride Road is an invalid locality name"
"d8f5c13a720fef7f3e855d061fb303d0","","","Field Number 114040","Land At Dogmills","Bride Road","Bride","IM7 4AE","Bride","49,950.00","49,950.00","10/01/2019","27/02/2019","Bride Road is an invalid locality name"
"6180ade854e5bf38cd68f6d8c919e562","","","Field Number 114218 And Ballamin Access Roads","Ballamin","Off Lhen Road","Bride","","Bride","20,000.00","20,000.00","26/05/2022","03/10/2022","Off Lhen Road is an invalid locality name"
"d4777f775990a03ba4a250412334c09a","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","139,950.00","16/05/2003","29/07/2003","Leodest Road is an invalid locality name"
"1d4dbff3f5055afc2607afeeb65352f9","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","178,950.00","12/12/2003","19/08/2004","Leodest Road is an invalid locality name"
"39f8455e0dbc2660956e7306851c56eb","","","Plot 23","Larivane Meadows","Leodest Road","Andreas","","Andreas","","180,000.00","28/07/2005","24/11/2005","Leodest Road is an invalid locality name"
"1995eae476fb7937955b9be48706c254","","","Plot 20","Larivane Meadows","Leodest Road","Andreas","","Andreas","","159,950.00","30/04/2003","04/08/2003","Leodest Road is an invalid locality name"
"d7f5d594c2977123690cccfb5e2b6b97","","","Plot 17","Larivane Meadows","Leodest Road","Andreas","","Andreas","","182,500.00","21/05/2003","06/08/2003","Leodest Road is an invalid locality name"
"292e6a84e31b3e266ea962cccdf45a42",""," 2","","Georges Close","Leodest Road","Andreas","","Andreas","","260,000.00","20/10/2005","13/01/2006","Leodest Road is an invalid locality name"
"feeaf4bcfe1321c71b599b73951f7173",""," 2","","Georges Close","Leodest Road","Andreas","","Andreas","525,000.00","525,000.00","19/10/2023","01/11/2023","Leodest Road is an invalid locality name"
"62908b1715d463d59d2771f0394d7bb9",""," 1","","Georges Close","Leodest Road","Andreas","","Andreas","","280,000.00","09/09/2005","16/01/2006","Leodest Road is an invalid locality name"
"16bac6a84f7b5c8a6948e4d1b7d54318",""," 1","","Georges Close","Leodest Road","Andreas","IM7 4HZ","Andreas","","296,000.00","11/12/2006","03/05/2007","Leodest Road is an invalid locality name"
"1497cb1925e3024423cb9e7da1950422",""," 1","","Georges Close","Leodest Road","Andreas","IM7 4HZ","Andreas","350,000.00","0.25","31/10/2008","18/02/2009","Leodest Road is an invalid locality name"
"1f1f3cf3cda1574188f701f1c6c93f6b",""," 1","","Mountain View ","Main Road","Andreas","IM7 4EZ","Andreas","","267,000.00","12/05/2006","30/06/2006","Main Road is an invalid locality name"
"ee63fbee8258322ed56d277b9dd3ea4a",""," 3","","St Georges Close","Leodest Road","Andreas","IM7 4HA","Andreas","","279,000.00","31/05/2006","17/08/2007","Leodest Road is an invalid locality name"
"0ff6086bc36fecf2da2441695677c51d",""," 17","","Ballaradcliffe","Kiondroghad Road","Andreas","IM7 3EN","Andreas","170,000.00","170,000.00","25/05/2007","07/12/2007","Kiondroghad Road is an invalid locality name"
"de63545818a95620935d795e155e7cf7",""," 17","","Ballaradcliffe","Kiondroghad Road","Andreas","IM7 3EN","Andreas","250,000.00","250,000.00","31/03/2023","15/05/2023","Kiondroghad Road is an invalid locality name"
"7f89ae52997a01b71a836a82bcb3e148","Plot 4","","","Georges Close","Leodest Road","Andreas","IM7 4HA","Andreas","380,000.00","380,000.00","19/12/2007","03/12/2008","Leodest Road is an invalid locality name"
"f1a1e80f8e35b75de7e5d9b4aeeec0cf",""," 2","","Ballalough Beg","Bride Road","Andreas","IM7 4HR","Andreas","142,500.00","142,500.00","25/07/2008","30/11/2008","Bride Road is an invalid locality name"
"81e506c05e8b2213b09eb6deca4b8278","","","Parcel Of Land","The Cronk","Smeale Road","Andreas","IM7 4JA","Andreas","2,500.00","2,500.00","01/04/2011","03/08/2011","Smeale Road is an invalid locality name"
"ee9191f551465b1a6e4e728775cc3a40","","","The Cottage","Cains Croft","Smeale Road","Andreas","IM7 4JA","Andreas","170,000.00","170,000.00","14/08/2015","05/02/2016","Smeale Road is an invalid locality name"
