"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","archaeological_site","ref:GB:imher","url:imher","source"
"458783495","node","https://osm.org/node/458783495","54.169354","-4.664031","Cross Vein Lead Mine","","","","","","Isle of Man Government 1:25000 map (2007)"
"475393039","node","https://osm.org/node/475393039","54.147699","-4.685159","Round Table","Round Table","Boaryd Runt","tumulus","0093.00","https://isleofmanher.im/report/327208fe-71ac-4fb2-a22f-7b0172a2385a","Isle of Man Government 1:25000 map (2007)"
"495102937","node","https://osm.org/node/495102937","54.317391","-4.473879","Cronk Sumark","","","earthwork","0450.00","https://isleofmanher.im/report/e3488c54-4738-49ce-b885-e83c349c1961","Isle of Man Government 1:25000 map (2007)"
"938884284","node","https://osm.org/node/938884284","54.174156","-4.497498","Castleward Fort","","","earthwork","0688.00","https://isleofmanher.im/report/a2276050-1271-48eb-a99e-cda9f662dd28","Isle of Man Government 1:25k map (2007)"
"1832143308","node","https://osm.org/node/1832143308","54.386888","-4.394819","Glentruan (Stone Axe)","","","","","",""
"1832153917","node","https://osm.org/node/1832153917","54.392768","-4.371742","N.W. end of Logh Cranstal (various flints)","","","","","",""
"1833598303","node","https://osm.org/node/1833598303","54.284216","-4.340495","Quaker Burial Ground","Quaker Burial Ground","Ruillick ny Quakeryn","burial","0594.00","https://isleofmanher.im/report/cd448b28-5ac2-4fa2-8662-7a3db4de2128",""
"1968376236","node","https://osm.org/node/1968376236","54.142984","-4.469784","Warwick Tower","","","","","",""
"2155263346","node","https://osm.org/node/2155263346","54.170668","-4.47425","The White Lady","","","","0240.00","https://isleofmanher.im/report/809e38e8-d701-4bc7-a106-e05d427a0626",""
"3191020418","node","https://osm.org/node/3191020418","54.23117","-4.396969","Neolithic tomb","","","tomb","","","https://commons.wikimedia.org/wiki/File:Neolithic_tomb,_Isle_of_Man_-_geograph.org.uk_-_298356.jpg"
"4344226092","node","https://osm.org/node/4344226092","54.284079","-4.340145","Ballafayle Cairn","","","cairn","1078.10","https://isleofmanher.im/report/7fa09618-0e2c-47d0-a58d-affdeca64bb3",""
"4344300644","node","https://osm.org/node/4344300644","54.275459","-4.363155","Cashtal Yn Ard","Castle of the Heights","Cashtal Yn Ard","tomb","0557.00","https://isleofmanher.im/report/382d5db8-c05e-4358-9b71-88db6a93ce9b",""
"4344363139","node","https://osm.org/node/4344363139","54.206924","-4.413052","The Cashtal, Ballagawne","","","fortification","","",""
"4344363140","node","https://osm.org/node/4344363140","54.213756","-4.405716","Killkellan","","Killkellan","keeil","0657.00","https://isleofmanher.im/report/fab8aae0-5871-4096-8621-3b696298ab48",""
"5121577962","node","https://osm.org/node/5121577962","54.272796","-4.411165","Site of pumping wheel","","","","","",""
"5121577963","node","https://osm.org/node/5121577963","54.272327","-4.415774","Old Lead Mine","","","","","",""
"5121577995","node","https://osm.org/node/5121577995","54.272607","-4.4123","Line of old pumping rod","","","","","",""
"5121589172","node","https://osm.org/node/5121589172","54.273645","-4.407853","Old Lead Mine","","","","","",""
"5121638358","node","https://osm.org/node/5121638358","54.279113","-4.384859","Old Lead Mine","","","","","",""
