"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","amenity","addr:housenumber","addr:housename","addr:street","addr:locality","addr:place","addr:city","addr:postcode","addr:country","website","phone"
"283491272","node","https://osm.org/node/283491272","54.153792","-4.478537","Quids Inn","","","pub","","Falcon Hotel","Loch Promenade","","","Douglas","","IM","",""
"283495156","node","https://osm.org/node/283495156","54.106243","-4.638587","Silverdale Café and Restaurant","","","cafe","","The Cregg Mill","","","Silverdale","Ballasalla","IM9 3DS","","",""
"283500412","node","https://osm.org/node/283500412","54.226795","-4.392324","La Mona Lisa","","","restaurant","","","Glen Road","","","","","IM","https://www.lamonalisa.im","+44 1624 862488"
"283504569","node","https://osm.org/node/283504569","54.150165","-4.50592","The Pinewood","","","pub","","","","","","","","","",""
"452662085","node","https://osm.org/node/452662085","54.149926","-4.480248","Cafe Delight","","","cafe","","","Prospect Hill","","","Douglas","","","https://www.cafedelight.co.uk/","+44 1624 660557"
"453442522","node","https://osm.org/node/453442522","54.232023","-4.405227","Laxey Station Cafe","","","cafe","","","","","","","","","",""
"455297140","node","https://osm.org/node/455297140","54.170591","-4.639548","The Baltic Inn","","","pub","","","","","","","","","",""
"455458441","node","https://osm.org/node/455458441","54.148748","-4.481102","Rover's Return","","","pub","11","","Church Street","","","Douglas","IM1 2AG","IM","https://www.bushys.com/the-rovers-return/",""
"455677527","node","https://osm.org/node/455677527","54.167258","-4.452452","Port Jack Chippy","","","restaurant","","","","","","","","","",""
"455952594","node","https://osm.org/node/455952594","54.150296","-4.47766","JAR Bar","","","bar","12","","Loch Promenade","","","","","IM","http://www.admiralhouse.com/jar-bar-grill/",""
"455952596","node","https://osm.org/node/455952596","54.148921","-4.475556","Pizza Hut Delivery","","","fast_food","","","","","","","","","",""
"455952597","node","https://osm.org/node/455952597","54.148902","-4.475448","La Piazza","","","restaurant","","","Loch Promenade","","","","","IM","https://www.lapiazza.co.im/",""
"455952598","node","https://osm.org/node/455952598","54.148874","-4.475331","Bordello's","","","bar","6/7","Peveril Building","Loch Promenade","","","","","IM","http://www.bordellowinebar.co.uk",""
"456430223","node","https://osm.org/node/456430223","54.166583","-4.464157","Chillies","","","restaurant","1 South View","","Queens Promenade","","","","","IM","",""
