PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Construction of building to provide 33 apartments with integral parking,Refused,29-Jul-08,Planning Committee,07-Aug-08,01-Dec-11,08/00221/B,Factory And Premises 40 South Quay Douglas Isle Of Man IM1 5AX,Approved at Appeal
"Reserved Matters application for the erection of dwelling with integral garage, gate lodge and tennis court",Refused,11-Dec-09,Planning Committee,15-Dec-09,01-Feb-11,08/01931/REM,Tractor Shed Site  Castletown Golf Course Derbyhaven Road Derbyhaven Isle Of Man  ,Refused at Appeal
Erection of a replacement dwelling,Refused,14-Jun-10,Planning Committee,30-Jun-10,06-Jul-11,09/00688/B,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,Appeal Withdrawn
Erection of a replacement dwelling,Permitted,20-Dec-10,Planning Committee,29-Dec-10,19-Apr-11,09/01306/B,The Green Hut Grove Mount Ramsey Isle Of Man IM8 3HN,Refused at Appeal
Erection of a two storey extension to side elevation and driveway amendments,Refused,05-Nov-10,Planning Committee,19-Nov-10,30-Mar-11,09/01497/B,34 High View Road Douglas Isle Of Man IM2 5BH,Refused at Appeal
Extension to existing quarry,Permitted,09-Aug-11,Department Application,14-Apr-10,28-Jul-11,09/01544/B,Stoney Mountain Quarry Stoney Mountain Road Eairy Isle Of Man IM4 3HJ,Department Application Approved
Erection of a two storey extension and decked area,Permitted,13-Jul-10,Head of Development Management,02-Aug-10,18-Jan-11,09/01632/B,Lightwood Grove Mount Ramsey Isle Of Man IM8 3HN,Approved at Appeal
Approval in principle for the erection of an agricultural worker's dwelling,Refused,14-May-10,Head of Development Management,20-May-10,25-Jan-11,09/01668/A,East Sartfield Farm Sartfield Road Jurby Isle Of Man IM7 3AZ ,Refused at Appeal
Approval in principle for erection of an agricultural worker's dwelling,Refused,29-Oct-10,Head of Development Management,09-Nov-10,21-Mar-11,09/01969/A,Balla Ny Baa Blue Point Road The Lhen Ramsey Isle Of Man  ,Refused at Appeal
Reserved matters application for erection of a dwelling,Refused,20-Dec-10,Planning Committee,06-Jan-11,19-Apr-11,10/00133/REM,Land Opposite Ballachree Cottage Churchtown Ramsey Isle Of Man  ,Approved at Appeal
Erection of a dwelling (Re advertised due to amended plan received),Refused,27-Jul-10,Head of Development Management,12-Aug-10,25-Jan-11,10/00134/B,Site Adjacent To Hollybank Rencell Laxey Isle Of Man  ,Refused at Appeal
Relocation of existing stone recycling area and creation of industrial starter units,Refused,28-Jul-10,Planning Committee,23-Jul-10,31-Jan-11,10/00155/B,"Land Currently Used As Part Of Recycling And Storage Compound And Adjoining Unused Land, Adjacent To Existing Industrial Units And Animal Waste Processing Plant Middle Farm Braddan Isle Of Man  ",Approved at Appeal
Approval in principle for erection of a dwelling,Permitted,20-Dec-10,Planning Committee,10-Jan-11,19-Apr-11,10/00219/A,Land Between Cliffe Cottage And Greystones Battery Road Peel Isle Of Man  ,Approved at Appeal
Creation of vehicular access to serve nurseries (Retrospective),Refused,08-Jun-11,Head of Development Management,15-Jun-11,20-Oct-11,10/00239/R,Bridge Gardens Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR ,Refused at Appeal
