Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Refused,09/00821/A,Approval in principle to erect a dwelling south of,15-Feb-11,Planning Committee,St Olaves Bowring Road Ramsey Isle Of Man IM8 3ES
Application Withdrawn,09/01154/REM,Reserved Matters application for the erection of a replacement dwelling and conversion of outbuildings to guest accommodation and garaging,07-Apr-11,Withdrawn,Ballacaroon Farm West Baldwin Road Mount Rule Isle Of Man IM4 4HS 
Permitted,09/01388/B,Erection of a five storey building to provide nine apartments and associated parking,30-Aug-11,Director Delegation,Windsor House / Brobourne Hotel Promenade Port Erin Isle Of Man 
Permitted,09/01544/B,Extension to existing quarry,09-Aug-11,Department Application,Stoney Mountain Quarry Stoney Mountain Road Eairy Isle Of Man IM4 3HJ
Refused,09/01951/C,Variation of condition 4 of approved PA 92/01118/B,01-Sep-11,Head of Development Management,Gorse Mill Cottage Druidale Ballaugh Isle Of Man IM7 5JA 
Application Withdrawn,10/00135/B,Demolition of existing dwelling and erection of an apartment building of eleven apartments with associated parking and site works,14-Apr-11,Withdrawn,Ballure Ballure Promenade Ramsey Isle Of Man IM8 1NN
Refused,10/00239/R,Creation of vehicular access to serve nurseries (Retrospective),08-Jun-11,Head of Development Management,Bridge Gardens Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR 
Refused,10/00416/R,Change of use of warehouse and store to recreational sporting use (Retrospective),11-Jan-11,Head of Development Management,Warehouse And Store Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX 
Refused,10/00462/R,Use of hardstanding for external storage (Retrospective),21-Mar-11,Head of Development Management,Land Adjacent To Garage Rear Of 73 Westbourne Drive Douglas Isle Of Man  
Permitted,10/00522/C,Additional use of retail unit as office accommodation,22-Feb-11,Head of Development Management,Unit 5  Tower House Loch Promenade Douglas Isle Of Man IM1 2LZ
Refused,10/00526/D,Erection of illuminated signage,06-May-11,Head of Development Management,Nobles Park Pavilion Nobles Park Douglas Isle Of Man IM2 4BD 
Permitted,10/00544/B,"Residential development of 101 dwellings with associated highway and drainage works, public open space and landscaping",23-Dec-11,Department Application,"Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  "
Permitted,10/00644/B,Installation of a septic tank,07-Feb-11,Head of Development Management,Regaby Works Nassau Road Regaby Ramsey Isle Of Man IM7 4AL
Application Withdrawn,10/00659/B,Creation of outside café seating area,14-Dec-11,Withdrawn,Clarendon Hotel 50 North Quay Douglas Isle Of Man IM1 4LA
Application Withdrawn,10/00660/A,Approval in principle to demolish existing warehouse buildings and erection of a building to provide seven apartments with associated parking,29-Jul-11,Withdrawn,33 West Quay Ramsey Isle Of Man IM8 1DD
Permitted,10/00912/B,Alterations and extensions to rear elevation to integrate no 36 Athol Street with no's 38-42 Athol Street,10-Jan-11,Head of Development Management,36 - 42 Athol Street Douglas Isle Of Man IM1 1JB
Permitted,10/00945/B,Installation of replacement windows and doors,24-Jun-11,Head of Development Management,5 Peveril Road Peel Isle Of Man IM5 1NU
