PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
Erection of a light industrial development comprising 4 individual buildings providing 24 separate units with parking and landscaping,Permitted,20-Sep-12,Planning Committee,01-Oct-12,10-Apr-13,11/01232/B,Field 521919 Land Adjacent To Eden Park  Cooil Road Cooil Douglas Isle Of Man  ,Approved at Appeal
"Approval in principle for mixed used development to provide industrial / warehousing, office / retail accommodation and leisure facilities including service road and car parking (discharging siting and means of access)",Permitted,21-Aug-12,Planning Committee,07-Sep-12,08-Jan-13,11/01290/A,Land Adjacent Industrial Estate Ballafletcher Road Cronkbourne Douglas Isle Of Man  ,Approved at Appeal
Approval in principle for the re-location of farm dwelling and buildings,Permitted,07-Aug-12,Planning Committee,28-Aug-12,10-Jan-13,11/01430/A,Field 114104 Ballakilley Farm  Lambhill Road Cranstal Bride Isle Of Man  ,Refused at appeal
Residential Development of six dwellings and associated estate road layout,Refused,12-Feb-13,Planning Committee,01-Mar-13,04-Jul-13,11/01434/B,Site Including 118A Ballanorris Crescent And   The Bungalow Main Road Ballabeg Castletown Isle Of Man IM9 4HA,Refused at Appeal
Lighting scheme for the car parks associated with club house and sports pitches,Refused,17-Dec-12,Planning Committee,21-Dec-12,29-May-13,11/01764/B,Clubhouse And Sports Pitches Land South Of Railway Station Colby Isle Of Man  ,Approved at Appeal
Lighting Scheme for the access road to new clubhouse and sports pitches,Permitted,17-Dec-12,Planning Committee,03-Jan-13,29-May-13,11/01781/B,"Proposed Football Ground  Field 424828, 424827, 424826,424573, Access Road Via 424845,424824, Station Road Colby Isle Of Man ",Approved at Appeal
Demolition of barns and erection of seven tourist units  (Retrospective),Refused,11-Jul-12,Planning Committee,27-Jul-12,01-Mar-13,12/00233/B,Ard Na Mara House Quines Hill Port Soderick Isle Of Man IM4 1BA ,Refused at Appeal
"Residential development of 95 dwellings with highway and drainage infrastructure, new school field and playground, public open space and landscaping",Refused,28-Jan-13,Department Application,20-Apr-12,24-Jan-13,12/00573/B,"Part Field's 234267, 234456, 234555 & 230578, Parts Of Adjacent Gardens, School Grounds & Adjacent Highway, Main Road Playground, Part Public Car Park & Verge/hedge Of Slieau Curn Park, Kirk Micharl ",Department Application refused
Approval in principle for erection of a dwelling,Refused,21-Aug-12,Planning Committee,05-Sep-12,24-May-13,12/00597/A,Garden Forming Part Of Mountain View Sound Road Glen Maye Isle Of Man IM5 3BJ,Approved at Appeal
Approval in principle for erection of a dwelling,Permitted,02-Oct-12,Planning Committee,22-Oct-12,05-Mar-13,12/00771/A,Land Adjoining Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL,Approved at Appeal
Approval in principle for residential development of land,Refused,04-Dec-12,Senior Planning Officer - North (CB),20-Dec-12,02-May-13,12/00776/A,Field 224243 Station Road Ballaugh Isle Of Man  ,Refused at Appeal
"Erection of a development comprising new town centre library, offices, multi-storey car park and public toilets with associated external works",Permitted,01-Feb-13,Department Application,13-Jun-12,24-Jan-13,12/00831/B,"Site Bounded By Lord Street Fort Street, Cambrian Place And Muckles Gate  Douglas Isle Of Man  ",Department Application Approved
Approval in principle for erection of a replacement dwelling,Permitted,02-Nov-12,Planning Committee,06-Nov-12,05-Mar-13,12/00875/A,Corvalley Howe Road Port St. Mary Isle Of Man IM9 5PR ,Approved at Appeal
Installation of a gazebo and engineering works to create a childrens feature cave (retrospective),Permitted,18-Sep-12,Planning Committee,05-Oct-12,30-May-13,12/00891/B,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP,Approved at Appeal
Demolition of former shop and erection of a dwelling to be used as tourist accommodation,Permitted,04-Jul-13,Planning Committee,10-Jul-13,15-Aug-13,12/00904/B,Shop Land Opposite Waterfall Cottage  Shore Road Glen Maye Isle Of Man IM5 3BG ,Appeal Withdrawn
"Approval in principle for erection of a building to provide garage, recreational room and ancillary living accommodation to replace existing redundant barn",Refused,14-Nov-12,Senior Planning Officer - North (CB),30-Nov-12,13-May-13,12/00947/A,Kionslieu Farm Kionslieu Hill Foxdale Isle Of Man IM4 3HB,Approved at Appeal
Approval in principle to develop the site for residential use,Permitted,18-Sep-13,Department Application,09-Jul-12,12-Sep-13,12/00979/A,The Farmers Arms And The Old Auction Mart Site Station Road St Johns Isle Of Man IM4 3AN,Department Application Approved
"Alterations and erection of an extension to dwelling to provide w.c, porch and garage",Refused,28-Aug-12,Senior Planning Officer - South (SC),18-Sep-12,22-Feb-13,12/00981/B,Caardee Cottage Andreas Village Isle Of Man IM7 4HE ,Appeal Withdrawn
Alterations to driveway and access and additional use of dwelling as a children's nursery,Refused,18-Jan-13,Planning Committee,25-Jan-13,05-Jun-13,12/01012/B,Farm Hill Manor Farmhill Lane Douglas Isle Of Man IM2 2EF,Refused at Appeal
"Erection of a two storey extension to side elevation, single storey extension to rear elevation, removal of rear workshop and widening of vehicular access",Refused,13-Sep-12,Planning Committee,26-Sep-12,15-Feb-13,12/01026/B,4 Grenea Cottages Shore Road Kentraugh Port St. Mary Isle Of Man IM9 5NB,Appeal Withdrawn
Conversion of existing retail unit to provide residential accommodation,Permitted,06-Nov-12,Senior Planning Officer - North (CB),23-Nov-12,15-Mar-13,12/01032/B,The Longhouse Shop Viking Longhouse East Quay Peel Isle Of Man IM5 1AR ,Approved at Appeal
Installation of dormer windows and erection of extension to dwelling,Permitted,27-Nov-12,Senior Planning Officer - North (CB),14-Dec-12,02-May-13,12/01061/B,19 Bridge Street Peel Isle Of Man IM5 1NQ,Approved at Appeal
Erection of a garage and workshop extension,Refused,20-Sep-12,Senior Planning Officer - South (SC),04-Oct-12,10-Jan-13,12/01112/B,Kione Y Churree Nassau Road Dogmills Ramsey Isle Of Man IM7 4AQ ,Refused at Appeal
Installation of a traffic barrier,Refused,29-Apr-13,Department Application,08-Aug-12,25-Apr-13,12/01137/B,Part Land Of 35 Oak Road And Highway North Of Willow Close & Entrance To Willow Close Ballawattleworth Peel Isle Of Man  ,Department Application refused
Erection of a terrace of three dwellings with parking and new vehicular access onto Ramsey Road,Permitted,02-Nov-12,Planning Committee,23-Nov-12,15-Mar-13,12/01138/B,Land Adjacent To Carnaween Battery Road Peel Isle Of Man  ,Approved at Appeal
Installation of flood lighting to riding arena,Refused,25-Oct-12,Senior Planning Officer - South (SC),05-Nov-12,05-Mar-13,12/01160/B,Field Number 614732 Baldrine Farm Baldrine Road Baldrine Isle Of Man  ,Refused at Appeal
"Alterations, creation of external staircase and erection of first floor extension and balcony to existing detached garage",Refused,15-Oct-12,Senior Planning Officer - South (SC),26-Oct-12,15-Mar-13,12/01225/B,Ballaconn Ballalfayle Road Cornaa Ramsey Isle Of Man IM7 1EE ,Approved at Appeal
Installation of timber gates and erection of a roofed colonnade and folly,Refused,13-Nov-12,Planning Committee,19-Nov-12,05-Mar-13,12/01227/B,Glenside Ramsey Road Peel Isle Of Man IM5 2AQ,Refused at Appeal
Alteration and conversion of former office to a hot food take-away shop,Refused,11-Dec-12,Planning Committee,31-Dec-12,02-May-13,12/01242/B,10 Prospect Hill Douglas Isle Of Man IM1 1EJ ,Approved at Appeal
Erection of a garden store and creation of a hard standing to provide off road parking,Refused,14-Nov-12,Senior Planning Officer - North (CB),27-Nov-12,15-Mar-13,12/01247/B,Kilkenny Wood Colooneys Lane Cooil Douglas Isle Of Man  ,Refused at Appeal
Approval in principle for erection of a dwelling including access onto highway,Refused,14-Nov-12,Senior Planning Officer - North (CB),27-Nov-12,15-Mar-13,12/01251/A,Land Between Cronkhane And Erinport Saint Marys Road Port Erin Isle Of Man  ,Refused at Appeal
"Installation of garden shed, chicken run and dog kennel (Retrospective)",Refused,23-Oct-12,Senior Planning Officer - South (SC),12-Nov-12,05-Mar-13,12/01272/B,Field 110832 West Kimmeragh Road Bride Isle Of Man  ,Refused at Appeal
Erection of a storage container adjacent to existing agricultural building (Retrospective),Refused,13-Nov-12,Planning Committee,21-Nov-12,15-Mar-13,12/01303/B,Field 220269 Ballacrye Road Ballaugh  ,Refused at Appeal
