Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Refused,09/01386/B,"Residential development of 88 dwellings with 4 small commercial units, associated parking facilities and shared open space",29-Aug-13,Planning Committee,Land Between The River Douglas And Lake Road Douglas Isle Of Man  
Application Withdrawn,11/01206/B,Demolition of existing property and replacement with two semi detached dwellings with integral garages,08-Jan-13,Withdrawn,Braeside Loch Road Port St. Mary Isle Of Man IM9 5EB
Refused,11/01434/B,Residential Development of six dwellings and associated estate road layout,12-Feb-13,Planning Committee,Site Including 118A Ballanorris Crescent And   The Bungalow Main Road Ballabeg Castletown Isle Of Man IM9 4HA
Application Withdrawn,12/00043/A,Approval in principle for re-instatement of former gatekeepers cottage to a residential dwelling,04-Nov-13,Withdrawn,Building Adjacent To Level Crossing Mount Gawne Road Colby Isle Of Man  
Permitted,12/00426/B,Erection of three detached dwellings,15-Apr-13,Planning Committee,Field 133088 & 132425 Glen Auldyn Road Glen Auldyn Ramsey Isle Of Man  
Application Withdrawn,12/00494/B,Erection of a replacement dwelling,19-Apr-13,Withdrawn,Lower Ballawyllan East Baldwin Isle Of Man IM4 5ER 
Refused,12/00573/B,"Residential development of 95 dwellings with highway and drainage infrastructure, new school field and playground, public open space and landscaping",28-Jan-13,Department Application,"Part Field's 234267, 234456, 234555 & 230578, Parts Of Adjacent Gardens, School Grounds & Adjacent Highway, Main Road Playground, Part Public Car Park & Verge/hedge Of Slieau Curn Park, Kirk Micharl "
Application Withdrawn,12/00802/B,Residential layout for three plots and associated roads and sewers,29-Apr-13,Withdrawn,Orryside And Land Adjacent Main Road Colby Isle Of Man IM9 4NG
Permitted,12/00830/A,Approval in principle for a sheltered accommodation development,29-Jan-13,Senior Planning Officer - North (CB),St Olaves House  Bowring Road Ramsey Isle Of Man IM8 3ES
Permitted,12/00831/B,"Erection of a development comprising new town centre library, offices, multi-storey car park and public toilets with associated external works",01-Feb-13,Department Application,"Site Bounded By Lord Street Fort Street, Cambrian Place And Muckles Gate  Douglas Isle Of Man  "
Permitted,12/00904/B,Demolition of former shop and erection of a dwelling to be used as tourist accommodation,04-Jul-13,Planning Committee,Shop Land Opposite Waterfall Cottage  Shore Road Glen Maye Isle Of Man IM5 3BG 
Permitted,12/00918/B,Erection of two attached dwellings,04-Jan-13,Planning Committee,Land Between Bay House And Ellan Veen Apartments  College Green Castletown Isle Of Man  
Permitted,12/00944/GB,Removal of four decorative block work panels and the installation of GRP decorative panels (In association with 12/00945/CON),02-Jan-13,Planning Committee,All Saints Church Alexander Drive Douglas Isle Of Man IM2 3QH
Permitted,12/00945/CON,Registered Building Consent for installation of four telecommunication antenna inside existing bell tower and replace four decorative block work feature panels (RB no 188 in association with 12/00944/GB),02-Jan-13,Planning Committee,All Saints Church Alexander Drive Douglas Isle Of Man IM2 3QH
Permitted,12/00979/A,Approval in principle to develop the site for residential use,18-Sep-13,Department Application,The Farmers Arms And The Old Auction Mart Site Station Road St Johns Isle Of Man IM4 3AN
Permitted,12/00988/B,Re-profiling of land (Retrospective) and erection of a building for the stabling of animals,04-Jan-13,Planning Committee,Field 434702 Foxdale Road Eairy Isle Of Man  
Permitted,12/01000/GB,Refurbishment works to dwelling (partial retrospective) (In association with 12/01001/CON),21-Mar-13,Head of Development Management,16 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW 
Permitted,12/01001/CON,Registered Building consent for refurbishment works to dwelling (partial retrospective) (In association with 12/01000/GB) Registered Building Nos. 151,21-Mar-13,Head of Development Management,16 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW 
Refused,12/01012/B,Alterations to driveway and access and additional use of dwelling as a children's nursery,18-Jan-13,Planning Committee,Farm Hill Manor Farmhill Lane Douglas Isle Of Man IM2 2EF
Permitted,12/01041/B,"Erection of a development of 35 apartments arranged in five blocks with underground parking, roads, landscaping, gatehouse and electricity sub station",02-Jul-13,Planning Committee,Site Of Former Grand Island Hotel Bride Road Ramsey Isle Of Man IM8 3UN 
Permitted,12/01067/B,Erection of a replacement gate house and gates to the estate,30-Jan-13,Planning Committee,The Gate House Ballamona Estate Oak Hill Port Soderick Isle Of Man IM4 1AT
Permitted,12/01104/B,Creation of a BMX track with associated fencing,27-Feb-13,Planning Committee,Site Adjacent To Trout Farm Glen Wyllin Kirk Michael Isle Of Man  
Refused,12/01125/B,Residential development of six detached dwellings with garages,29-Jan-13,Planning Committee,Land Adjacent To Ginger Hall Hotel Ballamanagh Road Sulby Isle Of Man  
Refused,12/01137/B,Installation of a traffic barrier,29-Apr-13,Department Application,Part Land Of 35 Oak Road And Highway North Of Willow Close & Entrance To Willow Close Ballawattleworth Peel Isle Of Man  
Permitted,12/01175/A,Approval in principle for the conversion and extension of existing stores / maintenance building to create web hosting centre,04-Jan-13,Planning Committee,Greenhill Centre Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ
Permitted,12/01193/B,"Alterations, creation of gable windows and installation of a dormer to dwelling",10-Jan-13,Senior Planning Officer - South (SC),1 Rheast Mooar Lane Ramsey Isle Of Man IM8 3LP
Application Withdrawn,12/01197/B,Conversion of warehouse / light industry into office accommodation including installation of replacement garage door and replacement windows (partial retrospective),19-Apr-13,Withdrawn,2 & 2A Berkeley Street Lane Douglas Isle Of Man IM2 3RN 
Permitted,12/01203/C,"Variation of agricultural worker's condition to allow dwelling to be let to non agricultural tenants, guests and members of staff for temporary periods",01-Nov-13,Director Delegation,Tramman Ballamanagh Road Sulby Isle Of Man IM7 2HD
Permitted,12/01231/B,Clearing and levelling of garden and erection of raised decking (retrospective),07-Jan-13,Planning Committee,4 Strand Street Peel Isle Of Man IM5 1NL
Permitted,12/01245/B,Erection of a replacement dwelling with garage block and landscaping,30-Jan-13,Planning Committee,Ballamona House  Oak Hill Port Soderick Isle Of Man IM4 1AT
Permitted,12/01274/GB,Removal of louvres from four window openings and the installation of replacement GRP louvres (in association with 12/01275/CON),02-Jan-13,Planning Committee,St Germans Cathedral  Derby Road Peel Isle Of Man IM5 1HH
Permitted,12/01275/CON,Registered Building Consent for the installation of telecommunication equipment within the bell tower (RB no 204 in association with 12/01274/GB),02-Jan-13,Planning Committee,St Germans Cathedral  Derby Road Peel Isle Of Man IM5 1HH
Permitted,12/01285/B,"Erection of equestrian facilities including stables, staff facilities and indoor riding arena",30-Jan-13,Planning Committee,Fields 524030 & 522779 Ballamona Estate  Oak Hill  Port Soderick  Isle Of Man    
Refused,12/01309/B,Erection of steel portal frame building on concrete base (retrospective) for stabling (not retrospective),04-Jan-13,Planning Committee,Part Of Field 1403 Staarvey Road Peel Isle Of Man  
Permitted,12/01314/B,Creation of customer car park (Retrospective),15-Jan-13,Planning Committee,Land To Rear Of Garage Church Road Onchan Isle Of Man  
Refused,12/01316/B,Creation of new vehicular access and erection of front wall (Retrospective),14-Mar-13,Planning Committee,Sarah's Cottage Ballasloe  Cornaa Ramsey Isle Of Man IM7 1EH 
Permitted,12/01321/B,Formation of re-located driveway and vehicular access incorporating part of adjacent field into residential curtilage,12-Feb-13,Planning Committee,Green Hills Pinfold Hill Laxey Isle Of Man IM4 7HJ
Refused,12/01330/B,Erection of an agricultural building to replace existing pig sty,01-Feb-13,Senior Planning Officer - North (CB),Gleneedle Farm Gleneedle Lower Foxdale Isle Of Man IM4 3BF
Refused,12/01337/B,Erection of dwelling with attached garage,07-May-13,Department Application,Site Adjacent To Highfield Stoney Road Laxey Isle Of Man  
Permitted,12/01339/B,Erection of a crossed field radio antenna,28-Feb-13,Department Application,Land Adjacent To Unit 203 Jurby Industrial Estate Jurby Isle Of Man  
Refused,12/01345/GB,Erection of a conservatory (In association with 12/01346/CON),21-Jan-13,Head of Development Management,Our Lady Star Of The Seas And St Maughold Queens Promenade Ramsey Isle Of Man IM8 1BH 
Refused,12/01346/CON,Registered Building consent for the erection of a conservatory (In association with 12/01345/GB) Registered Building Nos. 80,21-Jan-13,Head of Development Management,Our Lady Star Of The Seas And St Maughold Queens Promenade Ramsey Isle Of Man IM8 1BH 
Application Withdrawn,12/01354/A,Approval in principle for the erection of an office building with associated parking,12-Mar-13,Withdrawn,Land At The Creamery Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man  
Permitted,12/01357/B,"Alterations, erection of extension and installation of replacement windows to dwelling",02-Jan-13,Planning Committee,46 Sea Cliff Road Onchan Isle Of Man IM3 2JD
Permitted,12/01367/C,Change of use from retail wholesalers to 24 hour access self storage/document storage warehouse (Retrospective),03-Jan-13,Planning Committee,John Lancaster House Formerly Crosby Wholesalers Main Road Crosby Isle Of Man  
Permitted,12/01371/B,"Alteration to dwelling comprising replacement windows, porch roof and amendments to existing dormer windows; demolition of existing detached garage and erection of a single storey extension to existing dwelling",25-Jan-13,Senior Planning Officer - North (CB),Hillview Glen Auldyn Ramsey Isle Of Man IM7 2AG 
Permitted,12/01385/B,Installation of patio doors to replace existing first floor window and installation of handrail on part of flat roof extension,28-Jan-13,Senior Planning Officer - South (SC),48 Wybourn Drive Onchan Isle Of Man IM3 4AN
Permitted,12/01387/B,"Alterations to, and retention of cover (part retrospective)",03-Jan-13,Planning Committee,Reayrt Ny Mourne  16 The Meadows Kirk Michael Isle Of Man IM6 1EX
Refused,12/01388/C,"Change of use of redundant industrial warehouse to an entertainment, leisure and activities centre",04-Nov-13,Head of Development Management,Castle House  Ronaldsway Industrial Estate Ronaldsway Ballasalla Isle Of Man IM9 2RY
Refused,12/01403/B,Extend existing car park to create additional temporary car parking,29-Apr-13,Department Application,Land Off Bridson Street Port Erin Isle Of Man  
Application Withdrawn,12/01404/A,"Approval in principle for the development of a business park comprising land and buildings for new technology companies and office accommodation for corporate headquarters, hotel, internal access roads, formation of new vehicular access to the A5 Douglas ",01-Feb-13,Withdrawn,"Land To The South Of Rondaldsway Industrial Estate Field's 432868, 432891, 432992, 434054 & 434765 Douglas Road Castletown Isle Of Man  "
Permitted,12/01406/B,Erection of boundary fence between adjacent property (Retrospective),16-Jan-13,Senior Planning Officer - South (SC),7 Richmond Close Douglas Isle Of Man IM2 6HR
Permitted,12/01408/B,"Hard landscaping works including new footpath pavings, kerbs, steps with handrails, retaining wall, street lighting and tree planting",14-Mar-13,Department Application,Land Adjacent To Shoprite Store Orchard Road Port Erin Isle Of Man  
Permitted,12/01411/B,"Alterations, reduction in area of property and creation of a new vehicular access",02-Jan-13,Planning Committee,Smeall Manaugh Smeale Andreas Isle Of Man  
Permitted,12/01427/GB,"Alterations, internal re-ordering and erection of replacement porch (In association with 12/01428/CON)",04-Jan-13,Head of Development Management,Christ Church Church Hill Laxey Isle Of Man IM4 7AX 
Permitted,12/01428/CON,"Registered Building Consent for alterations, internal re-ordering and erection of replacement porch (RB no 85 in association with 12/01427/GB)",04-Jan-13,Head of Development Management,Christ Church Church Hill Laxey Isle Of Man IM4 7AX 
Refused,12/01430/GB,Installation of replacement windows to front and rear elevations (in association with 12/01431/CON),21-Jan-13,Head of Development Management,The Red House  1 The Parade Castletown Isle Of Man IM9 1LG
Refused,12/01431/CON,Registered Building Consent for the installation of replacement windows to front and rear elevations (RB no 70 in association with 12/01430/GB),21-Jan-13,Head of Development Management,The Red House  1 The Parade Castletown Isle Of Man IM9 1LG
Permitted,12/01435/GB,Rebuilding of two existing chimney stacks (In association with 12/01436/CON),15-Feb-13,Head of Development Management,The Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Permitted,12/01436/CON,Registered Building consent to rebuild two existing chimney stacks (In association with 12/01435/GB) Registered Building Nos. 160,15-Feb-13,Head of Development Management,The Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Permitted,12/01440/B,Erection of a single detached dwelling with garage in lieu of a pair of semi-detached dwellings approved under PA 02/02106/B,07-Feb-13,Director Delegation,Plots 13 & 14 Mcleods Field Peel Isle Of Man  
Permitted,12/01446/B,Alterations and erection of extensions to dwelling,13-Aug-13,Planning Committee,2 Glen Bank Glen Maye Isle Of Man IM5 3BQ
Refused,12/01453/B,Installation of a window and a velux window to side and rear elevations of dwelling,27-Feb-13,Planning Committee,Plot 9 Poachers Pocket  Bridge Road Ballasalla Isle Of Man IM9 3DD 
Refused,12/01454/B,Installation of a window and a velux window to side and rear elevations of dwelling,27-Feb-13,Planning Committee,Plot 10 Poachers Pocket  Bridge Road Ballasalla Isle Of Man IM9 3DD 
Permitted,12/01458/B,Erection of three mobile phone communications antenna (on previously approved floodlighting masts) and associated electrical equipment cabinet,29-Jan-13,Planning Committee,Vagabonds RUFC Playing Fields Ballafletcher Road Strang Douglas Isle Of Man  
Permitted,12/01462/C,Change of use of garage to a therapy facility,04-Jan-13,Planning Committee,36 Ballatessan Meadow Peel Isle Of Man IM5 1DW 
Permitted,12/01468/B,Erection of a double mobile classroom,04-Jan-13,Head of Development Management,Manor Park School Pulrose Road Douglas Isle Of Man IM2 1AT
Permitted,12/01483/B,"Alterations, erection of extension, creation of a driveway and extension of residential curtilage",12-Feb-13,Planning Committee,Seawinds 4 Ballajora Crossing Ballajora Ramsey Isle Of Man IM7 1BA 
