PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
12/01549/LAW,Beehive Kindergarten Hillberry Road Onchan Isle Of Man IM3 3JP,Operation of children's nursery in breach of condition 6 of planning approval 88/00155/B that restricts the maximum number of children attending the Beehive kindergarten at any time to not more than 55.,22-Apr-15,Director Delegation,Certificate of Lawfulness DECLINED
13/00144/LAW,Mountain View  Nassau Road Regaby Ramsey Isle Of Man IM7 4AJ ,Application for a Certificate of Lawfulness for the use of agricultural worker's dwelling as a private domestic dwelling,19-Feb-15,Withdrawn,Application Withdrawn
13/00600/C,Land At Cronk Aashen Farm  Barregarrow Kirk Michael Isle Of Man IM6 1HQ ,"Additional use of land for camping (tents, motorhomes and caravans) with associated winter storage",21-Apr-15,Planning Committee,Permitted
13/00877/B,Braddan AFC Clubhouse Victoria Road Douglas Isle Of Man IM2 6AQ,"Erection of a replacement clubhouse to provide club facilities and function room, as well as facilities for TT camping on adjacent land, alterations and creation of new access onto Glencrutchery Road and new car park",26-Feb-15,Planning Committee,Permitted
13/91222/REM,Bridge Works Site  South Quay Douglas Isle Of Man IM1 5AJ,Reserved Matters Application to replace existing industrial/commercial units with a new office building,19-Oct-15,Planning Committee,Permitted
13/91322/B,Former Bakery / Warehouse Christian Street Ramsey Isle Of Man  ,External works to property,16-Mar-15,Withdrawn,Deemed withdrawn 4(3) Dev Pro Order 2005
13/91419/B,Site Adjacent To WDS & Millmount Cottage Millmount Industrial Complex  Douglas Isle Of Man  ,Erection of a new industrial unit with associated parking,26-Feb-15,Withdrawn,Application Withdrawn
13/91484/B,Peel Golf Club Rheast Lane Peel Isle Of Man IM5 1BG,"Erection of a detached building to provide a pro shop, locker rooms and associated facilities",16-Jan-15,Withdrawn,Application Withdrawn
13/91519/C,"Parts Of Fields 134273,134274,134275,134276  And Adjacent Highway  East Of Gardeners Lane  Poylldooey Ramsey Isle Of Man","Removal of condition 1 of PA 11/00990/B relating to the provision of affordable housing in connection with the erection of 45 dwellings, associated highway and drainage infrastructure, public open space and landscaping",24-Apr-15,Department Application,Permitted
14/00029/B,Manx Electric Railway Station Tram Lines And Public Car Park Albert Street And Parsonage Road    Ramsey Isle Of Man  ,"Construction of a transport interchange, including tram and bus station, car park, bus parking facilities and bus refuelling and washing facilities",19-Feb-15,Department Application,Refused
14/00095/LAW,Field Number 224502 The Curragh Ballaugh Isle Of Man  ,Application for a certificate of lawfulness to confirm the lawfulness of the use of buildings as residential,10-Mar-15,Director Delegation,Certificate of Lawfulness DECLINED
14/00192/B,Land To Rear Of IOM Seafood Products Ltd  Isle Of Man Food Park Mill Road Peel Isle Of Man  ,Erection of a building to provide garaging and service facilities,08-May-15,Planning Committee,Permitted
14/00210/B,1 - 3 Kensington Road Douglas Isle Of Man IM1 3EP ,Installation of replacement windows to front elevation,16-Mar-15,Withdrawn,Deemed withdrawn 4(3) Dev Pro Order 2005
14/00254/B,Unit 14/15 Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ,Erection of a building to provide food processing unit with associated facilities,28-Jan-15,Planning Committee,Permitted
14/00270/B,Land Adjacent To Westbourne 4 Riverside Ramsey Isle Of Man,Erection of a detached dwelling,05-May-15,Head of Development Management,Permitted
14/00335/B,Land Adjacent To Cliff Cottage Back Shore Road Laxey Isle Of Man  ,Erection of a detached dwelling with associated parking,12-Feb-15,Department Application,Refused
14/00443/B,Units A1 To A6 Block A Ballapaddag Industrial Estate Douglas Isle Of Man  ,Conversion of existing building for light industrial to assembly of electrical components/showroom/trade counter/storage/distribution and ancillary offices (Sui Generis) for Units A1-A4 and light industrial (Use Class 5) for Units A5-A6,22-Jan-15,Director Delegation,Permitted
14/00612/B,Farmhill Lodge Farmhill Lane Douglas Isle Of Man IM2 2EF,Conversion of outbuilding to ancillary living accommodation,30-Mar-15,Director Delegation,Permitted
14/00615/B,Former Manx Petroleum Depot And Adjoining Scrubland  South Quay Douglas Isle Of Man IM1 5AY,Variation of condition 1 of approved application PA 07/02169/B (re-development of site to provide 53 residential apartments and one commercial unit including use of adjoining scrubland as garden) in order to extend period of permission by four years,31-Mar-15,Director Delegation,Permitted
14/00689/C,Ballakinnish Nurseries Ballakinnish Richmond Hill Braddan Isle Of Man  ,Change of use of site from a former market garden to use for the storage of construction materials (retrospective),13-Jan-15,Department Application,Permitted
14/00766/GB,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,"Demolition of existing boiler room and remodelling of existing pantry, construction of a new private dance studio and family room extension with balcony area and glazed link and remodelling of existing hard landscaping (in association with 14/00767/CON)",13-Jan-15,Head of Development Management,Refused
14/00767/CON,May Hill House Summerland Ramsey Isle Of Man IM8 2EF,"Registered Building Consent for demolition of existing boiler room and remodelling of existing pantry, construction of a new private dance studio and family room extension with balcony area and glazed link and remodelling of existing hard landscaping (RB ",13-Jan-15,Director Delegation,Refused
14/00776/C,The Caff  1C Lord Street Douglas Isle Of Man IM1 1BL ,Creation of pavement seating area with removable barriers,24-Apr-15,Department Application,Permitted
14/00808/B,Land To Rear Of Energy From Waste Plant Richmond Hill Kewaigue Braddan Isle Of Man  ,Erection of a breathing apparatus and fire training facility with associated rest room area,13-Jan-15,Department Application,Permitted
14/00809/B,Barns Ballaragh Old Farmhouse Ballaragh Laxey Isle Of Man  ,Conversion of existing outbuildings into a dwelling and improvement to existing vehicular access,11-Mar-15,Planning Committee,Permitted
14/00846/B,"Part Fields 522518, 524096 & 524740 Middle Park Kewaigue Braddan Isle Of Man  ","Creation of a compound, including the erection of a storage building with associated offices and welfare facilities, for the recycling and storage of construction and demolition waste together with commercial and domestic recyclables",30-Jan-15,Planning Committee,Permitted
14/00847/A,Plot Of Land At Kames Court To East Of Hollin Lane Cronkbourne Douglas Isle Of Man  ,An application for approval in principle for residential development,13-Jan-15,Planning Committee,Refused
14/00872/A,"Land At Fo Glion, Bayr Glion Rushen Main Road Glen Maye Isle Of Man  ",Approval in principle for the erection of a detached dwelling,22-Apr-15,Planning Committee,Permitted
14/00882/A,Glen Helen Inn  Glen Helen St Johns Isle Of Man IM4 3NP ,An application for approval in principle for a residential development to replace existing Inn,28-Jan-15,Planning Committee,Refused
14/00891/GB,Railway Station Banks Circus Douglas Isle Of Man IM1 4LL,"Alterations and refurbishment works to building, erection of an outdoor canopy and creation of an internal retail area (in association with 14/00892/CON)",23-Apr-15,Department Application,Permitted
14/00892/CON,Railway Station Banks Circus Douglas Isle Of Man IM1 4LL,"Registered Building consent for alterations and refurbishment works to building, erection of an outdoor canopy and creation of an internal retail area (in association with 14/00891/GB) Registered Building Nos. 74",23-Apr-15,Department Application,Permitted
14/00894/B,Silverburn River Restoration Scheme Victoria Road Castletown Isle Of Man  ,"Reclamation of river bank along Qualtrough's Yard side of Siverburn River, creation of two mid-channel islands to be used as habitat for wildlife, construction of viewing platform on the Victoria Road side leading to a riverside walkway",02-Feb-15,Department Application,Application Withdrawn
14/00947/A,Field 224268 Ballacrye Farm  Ballacrye Road Ballaugh Isle Of Man  ,Approval in principle for a farm managers dwelling,23-Sep-15,Planning Committee,Refused
14/00967/A,Field 314880 Land Adjacent To Thie Slieau Whallian Saw Mill Complex Foxdale Road St Johns Isle Of Man  ,Approval in principle for the erection of a light industrial unit with associated parking and vehicular access,08-May-15,Planning Committee,Refused
14/00997/B,West View Shore Road Port Erin Isle Of Man IM9 6HL,Demolition  of existing garage and erection of a single storey food kiosk,19-Feb-15,Withdrawn,Application Withdrawn
14/01012/B,Walton House Bridge Road Ballasalla Isle Of Man IM9 3DA,"Construction of a pitched roof extension over existing flat roof detached garage, construction of external access staircase and re-instatement of section of boundary wall",23-Jan-15,Head of Development Management,Permitted
14/01030/B,Land Adjacent To Grianane Glen Auldyn Ramsey Isle Of Man  ,Erection of a dwelling (relating to PA 13/91036/A),13-Feb-15,Planning Committee,Permitted
14/01034/B,Warehouse Store And Lock Up Garages Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX ,`Erection of a block of eight apartments with landscaping and parking to replace existing buildings,28-Jul-15,Director Delegation,Permitted
14/01036/B,10 Woodburn Square Douglas Isle Of Man IM1 4DB ,Alterations to provide apartment on ground floor and dwelling on upper floors,24-Mar-15,Planning Committee,Refused
14/01051/A,"Former Pinfold, The Bungalow, And 118A Friary Park  Main Road Ballabeg Castletown Isle Of Man IM9 4HA"," Approval in principle for erection of three dwellings addressing siting, design, external appearance, internal layout and means of access",27-Mar-15,Planning Committee,Refused
14/01054/B,2 The Grove Peel Isle Of Man IM5 1LB ,Erection of extension to replace existing conservatory,04-Jun-15,Director Delegation,Permitted
14/01066/B,Market Place  Ramsey Isle Of Man  ,"Ramsey Regeneration Phase 3, alterations to road layout, footpaths, parking and bus stop location",12-Feb-15,Department Application,Permitted
14/01075/B,Part Of Field 414214 Church Road Port St. Mary Isle Of Man  ,Extension to graveyard and creation of car park,28-Jul-15,Planning Committee,Permitted
14/01082/GB,The Guard House Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Conversion of existing Guard House into a restaurant with associated parking (in association with 14/01083/CON),03-Feb-15,Department Application,Permitted
14/01083/CON,The Guard House Jurby Industrial Estate Jurby Isle Of Man IM7 3BD ,Registered Building consent for the conversion of existing Guard House into a restaurant with associated parking (in association with 14/01082/GB) Registered Building Nos. 237,03-Feb-15,Department Application,Permitted
14/01085/B,Old Craft Centre Kionslieu Hill Foxdale Isle Of Man IM4 3HB ,Conversion of existing barns into five tourist/residential units,26-Jun-15,Head of Development Management,Permitted
14/01090/B,3 Maycroft Ramsey Isle Of Man IM8 2HQ,Conversion of existing dwelling into three residential apartments together with provision for off-street parking,13-Jan-15,Planning Committee,Permitted
14/01098/C,61 Strand Street Douglas Isle Of Man IM1 2EN,Change of use of footpath in front of existing caf‚ to outside seating area with removable barriers,11-Aug-15,Department Application,Permitted
14/01099/B,Exchange House 54 - 62 Athol Street Douglas Isle Of Man IM1 1JD,Alterations and erection of a two storey roof extension to office building,13-Feb-15,Planning Committee,Refused
