Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Erection of a replacement dwelling.,Clenagh Veg Clenagh Road Sulby Isle Of Man IM7 3AB,PER,10-Jan-17,16/01211/B
Installation of illuminated and non-illuminated signage,Co-op Shop Bay View Road Port St. Mary Isle Of Man IM9 5AE,PER,20-Jan-17,16/01263/D
Erection of an extension to garage with balcony over,Shearwater Fort Island Road Derbyhaven Isle Of Man IM9 1TZ,PER,13-Feb-17,16/01264/B
New front boundary wall and vehicular access.,Dreem Ard Ballanard Road Douglas Isle Of Man IM2 5PR,PER,11-Jan-17,16/01342/B
Creation of a vehicular access and driveway,32 Ballakermeen Drive Douglas Isle Of Man IM1 4HS,PER,03-Mar-17,16/01296/B
Alterations and additions,6 Laureston Close Douglas Isle Of Man IM2 4BF,PER,08-May-17,17/00133/B
Erection of car port with integral wood store,Boayl Dooin Ballavitchel Road Crosby Isle Of Man IM4 2DN,PER,04-May-17,17/00166/B
Replacement of existing polycarbonate annex roof with tiled roof,6 Fuchsia Avenue Ballawattleworth Peel Isle Of Man IM5 1WY ,PER,04-Apr-17,17/00227/B
Replacement of existing roof slates and installation of three roof lights,44 Selborne Drive Douglas Isle Of Man IM2 3NH,PER,04-May-17,17/00273/B
Installation of a replacement rear door,12 Wesley Terrace Douglas Isle Of Man IM1 3HF,PER,19-Apr-17,17/00302/B
Erection of signage,Aston House 36 Hope Street Douglas Isle Of Man IM1 1AP ,PER,16-Feb-17,17/00022/D
Single storey extension including installation of flue,8 Tommy Clucas Avenue Peel Isle Of Man IM5 1QX ,PER,30-Mar-17,17/00034/B
Replacement of existing single storey wing with two storey wing (comprising amendments to PA 15/00808/B),The Old Vicarage Barracks Road Port St. Mary Isle Of Man IM9 5LP,PER,01-Mar-17,17/00063/B
"Demolition of existing garage and outbuildings, erection of new garage and garden walls (in connection with Registered Building Application 17/00073/CON)",Old School House Main Road Sulby Isle Of Man IM7 2HP ,PER,13-Jul-17,17/00072/GB
"Development of two industrial/storage units (Class 5/6) with associated trade counter and showroom along with associated access, car parking and landscaping",Springham Park Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS ,PER,30-Jun-17,17/00115/B
Alterations to front elevation including demolition of canopy,Hanly's Westmoreland Road Douglas Isle Of Man IM1 4AH,PER,17-Mar-17,17/00134/B
Installation of play equipment,Main Road Playground Main Road Kirk Michael Isle Of Man  ,PER,17-Mar-17,17/00135/B
Alterations and installation of replacement play equipment,Broogh Wyllin Play Area Kirk Michael Isle Of Man  ,PER,17-Mar-17,17/00138/B
Erection of an agricultural building,Ballachrink Moar Farm Ramsey Road Laxey Isle Of Man IM4 7PP,PER,17-Mar-17,17/00140/B
Installation of a replacement rear window and door,4 Albany Street Douglas Isle Of Man IM2 3LE,PER,03-May-17,17/00303/B
Alterations and erection of a rear extension,19 Market Street Peel Isle Of Man IM5 1AD,PER,26-May-17,17/00366/B
Alterations and formation of a covered loading bay area,Unit 18 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH,PER,04-Aug-17,17/00632/B
Installation of upvc cladding to dormer (retrospective),19 Bayr Grianagh Castletown Isle Of Man IM9 1HL,PER,10-Jan-17,16/01242/B
Reserved Matters Application relating to PA 15/01041A for erection of a detached dwelling,Land Adjacent To WDS Limited New Castletown Road Douglas Isle Of Man,PER,31-Mar-17,16/01244/REM
Use of 38 Murrays Road as a 12 bedrooms House in Multiple Occupation with shared facilities and a separate self-contained 1 bedroom flat accommodation on part of ground floor,38 Murrays Road Douglas Isle Of Man IM2 3HW ,CLAWA,24-Mar-17,16/01348/LAW
Additional use of residential property for self catering tourist accommodation,34 Mill Street Castletown Isle Of Man IM9 1AG,PER,12-Apr-17,17/00165/C
Erection of front porch and car port,Mountain View Main Road Ballaugh Isle Of Man IM7 5EF,PER,31-Mar-17,17/00184/B
Creation of additional off street parking and widening of vehicular access,41 Vicarage Park Douglas Isle Of Man IM2 2QE ,PER,08-May-17,17/00193/B
Erection of new agricultural building,Moaney Moar Farm Ballabooie Road Cronk Y Voddy Kirk Michael Isle Of Man IM6 1HR,PER,26-Apr-17,17/00232/B
Erection of greenhouse on concrete slab base,Greenbank Tynwald Road Peel Isle Of Man IM5 1JZ,PER,09-May-17,17/00323/B
Removal of existing conservatory and erection of a rear extension,38 Carrick Park Sulby Isle Of Man IM7 2EY,PER,03-May-17,17/00362/B
Alterations and erection of extension to provide two apartments for tourist accommodation with associated parking,Deepdale Laxey Launderette / Complex Glen Road Laxey Isle Of Man IM4 7AB,PER,31-Mar-17,16/00805/B
Replacement of three sliding sash windows and two fixed casement windows with like for like hardwood windows,Lyndale Glen Wyllin Kirk Michael Isle Of Man IM6 1AN ,PER,28-Jun-17,17/00428/B
Replacement of existing sun room with new extension to rear of property,11 First Avenue Douglas Isle Of Man IM2 6BA,REF,27-Sep-17,17/00426/B
"Installation of window to rear and gable of garage, replacement of garage and workshop door, and installation of interlocking concrete roof tiles to house and garage (all retrospective)",Lhergy Vreck Crescent Road Ramsey Isle Of Man IM8 2JR,PER,17-Aug-17,17/00470/B
"Widening of vehicular access, increase in parking area and additional use of existing ancillary accommodation as tourist accommodation",The Forge Cronk Y Voddy St Johns Isle Of Man IM4 3NS ,PER,23-Jun-17,17/00475/B
Replacement of ground floor shopfronts and windows to upper floors,Balmoral Promenade Port Erin Isle Of Man IM9 6AG,PER,14-Jun-17,17/00476/B
"Enlargement of garage pedestrian access door opening, enlargement of extension window openings and installation of upvc windows/doors to altered openings",1 Marina Close Onchan Isle Of Man IM3 4BN,PER,14-Jun-17,17/00482/B
Alterations and erection of a two storey front extension and single storey rear extension to dwelling,58 Summerhill Road Onchan Isle Of Man IM3 1NF,REF,27-Sep-17,17/00485/B
Erection of a balcony extension with store room below,The Laurels Croit E Quill Road Laxey Isle Of Man IM4 7JD,PER,26-Jan-17,16/01293/B
"Erection of an agricultural building for grain, feed, fertilizer and farming equipment storage",Sound Farm Sound Road Cregneash Isle Of Man IM9 5PZ ,PER,20-Jan-17,16/01294/B
Driveway extension and widening of vehicular access,8 Douglas Road Peel Isle Of Man IM5 1JW,PER,20-Jan-17,16/01295/B
Conversion of existing agricultural building into residential property.,Ellenbrook Farm Old Castletown Road Douglas Isle Of Man IM4 1AJ ,PER,17-Aug-17,16/01150/B
Change of use of dwelling house to additional use as tourist accommodation,5 Shore Road Laxey Isle Of Man IM4 7DJ,PER,23-Jan-17,16/01248/C
Erection of open front porch and additional openings in bedroom over garage,3 Parson's Glebe St Johns Isle Of Man IM4 3LT ,PER,18-Jul-17,17/00379/B
Replacement of existing metal skate ramps on tarmac hardstanding with multi use concrete riding bowl,Site At Poulson Park Alexandra Road Castletown Isle Of Man  ,PER,26-May-17,17/00397/B
