Planning  Applications Determined between 1/1/17 - 31/12/17,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Application Withdrawn,16/00742/B,Creation of new highway access from A3 Main Road onto disused railway tracks to be used as a temporary relief road,16-Aug-17,Withdrawn,"Disused Railway Line, From Dove Cottage To Costain's Yard Mines Road Foxdale Isle Of Man  "
Deemed withdrawn 4(3) Dev Pro Order 2005,16/01126/B,Alterations and extension to dwelling.,21-Mar-17,Withdrawn,1 Riversdale Cottages Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA
Permitted,16/01211/B,Erection of a replacement dwelling.,10-Jan-17,Senior Planning Officer - South (SC),Clenagh Veg Clenagh Road Sulby Isle Of Man IM7 3AB
Permitted,16/01258/B,"Erection of craft workshop building to replace approved facilities block, relocation of waste water treatment plant, relocation of approved facilities block within car park previously approved under PA 16/00125/B",21-Mar-17,Planning Committee,Middle Cordeman Farm Cordeman Road St Marks Ballasalla Isle Of Man  
Permitted,16/01263/D,Installation of illuminated and non-illuminated signage,20-Jan-17,Senior Planning Officer - South (SC),Co-op Shop Bay View Road Port St. Mary Isle Of Man IM9 5AE
Permitted,16/01264/B,Erection of an extension to garage with balcony over,13-Feb-17,Senior Planning Officer - North (CB),Shearwater Fort Island Road Derbyhaven Isle Of Man IM9 1TZ
Permitted,16/01279/B,"Alterations and extension to existing farm building to facilitate change of use to veterinary practice and separate office with associated parking, including alterations to existing vehicular access to improve visibility",09-Feb-17,Planning Committee,Ballacreggan Farm Plantation Road Port St. Mary Isle Of Man IM9 5AY
Refused,16/01312/B,Replacement of existing dwelling with two detached dwellings including adjustment of existing access,01-Dec-17,Planning Committee,Berwyn South Cape Laxey Isle Of Man IM4 7JA 
Permitted,16/01342/B,New front boundary wall and vehicular access.,11-Jan-17,Senior Planning Officer - North (CB),Dreem Ard Ballanard Road Douglas Isle Of Man IM2 5PR
Permitted,16/01296/B,Creation of a vehicular access and driveway,03-Mar-17,Senior Planning Officer - South (SC),32 Ballakermeen Drive Douglas Isle Of Man IM1 4HS
Permitted,17/00053/B,Construction of a 60 bed residential care home and day care unit for older residents,24-Mar-17,Planning Committee,Former Glenside Residential Home Site Victoria Road Douglas Isle Of Man IM2 4AF 
Permitted,17/00133/B,Alterations and additions,08-May-17,Senior Planning Officer - North (CB),6 Laureston Close Douglas Isle Of Man IM2 4BF
Permitted,17/00166/B,Erection of car port with integral wood store,04-May-17,Director 2017+,Boayl Dooin Ballavitchel Road Crosby Isle Of Man IM4 2DN
Permitted,17/00227/B,Replacement of existing polycarbonate annex roof with tiled roof,04-Apr-17,Senior Planning Officer - South (SC),6 Fuchsia Avenue Ballawattleworth Peel Isle Of Man IM5 1WY 
Permitted,17/00273/B,Replacement of existing roof slates and installation of three roof lights,04-May-17,Director 2017+,44 Selborne Drive Douglas Isle Of Man IM2 3NH
Permitted,17/00302/B,Installation of a replacement rear door,19-Apr-17,Senior Planning Officer - South (SC),12 Wesley Terrace Douglas Isle Of Man IM1 3HF
Permitted,17/00022/D,Erection of signage,16-Feb-17,Senior Planning Officer - South (SC),Aston House 36 Hope Street Douglas Isle Of Man IM1 1AP 
Permitted,17/00033/B,"Variation of conditions 4, 5 of 01/02440/A and 4 of 02/02584/REM to remove personal and agricultural occupancy conditions to the dwelling",02-Nov-17,Planning Committee,Cronk Mooar Andreas Road Ramsey Isle Of Man IM7 4EF 
Permitted,17/00034/B,Single storey extension including installation of flue,30-Mar-17,Senior Planning Officer - South (SC),8 Tommy Clucas Avenue Peel Isle Of Man IM5 1QX 
Permitted,17/00063/B,Replacement of existing single storey wing with two storey wing (comprising amendments to PA 15/00808/B),01-Mar-17,Director 2017+,The Old Vicarage Barracks Road Port St. Mary Isle Of Man IM9 5LP
Permitted,17/00072/GB,"Demolition of existing garage and outbuildings, erection of new garage and garden walls (in connection with Registered Building Application 17/00073/CON)",13-Jul-17,Head of Development Management,Old School House Main Road Sulby Isle Of Man IM7 2HP 
Permitted,17/00115/B,"Development of two industrial/storage units (Class 5/6) with associated trade counter and showroom along with associated access, car parking and landscaping",30-Jun-17,Head of Development Management,Springham Park Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS 
Permitted,17/00134/B,Alterations to front elevation including demolition of canopy,17-Mar-17,Senior Planning Officer - North (CB),Hanly's Westmoreland Road Douglas Isle Of Man IM1 4AH
Permitted,17/00135/B,Installation of play equipment,17-Mar-17,Senior Planning Officer - North (CB),Main Road Playground Main Road Kirk Michael Isle Of Man  
Permitted,17/00138/B,Alterations and installation of replacement play equipment,17-Mar-17,Senior Planning Officer - North (CB),Broogh Wyllin Play Area Kirk Michael Isle Of Man  
Permitted,17/00140/B,Erection of an agricultural building,17-Mar-17,Senior Planning Officer - North (CB),Ballachrink Moar Farm Ramsey Road Laxey Isle Of Man IM4 7PP
Application Withdrawn,17/00290/B,External alterations to florist unit (retrospective),29-Jun-17,Withdrawn,Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF 
Permitted,17/00303/B,Installation of a replacement rear window and door,03-May-17,Senior Planning Officer - South (SC),4 Albany Street Douglas Isle Of Man IM2 3LE
Permitted,17/00304/B,Conversion of unit to enable storage and maintenance of medical equipment and creation of office and training facilities,09-May-17,Planning Committee,Unit 1 Block D Eden Business Park Douglas Isle Of Man IM4 2AY 
Permitted,17/00366/B,Alterations and erection of a rear extension,26-May-17,Senior Planning Officer - South (SC),19 Market Street Peel Isle Of Man IM5 1AD
Permitted,17/00632/B,Alterations and formation of a covered loading bay area,04-Aug-17,Head of Development Management,Unit 18 Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH
Permitted,16/01242/B,Installation of upvc cladding to dormer (retrospective),10-Jan-17,Senior Planning Officer - North (CB),19 Bayr Grianagh Castletown Isle Of Man IM9 1HL
Permitted,16/01244/REM,Reserved Matters Application relating to PA 15/01041A for erection of a detached dwelling,31-Mar-17,Senior Planning Officer - South (SC),Land Adjacent To WDS Limited New Castletown Road Douglas Isle Of Man
Certificate of Lawfulness AGREED,16/01348/LAW,Use of 38 Murrays Road as a 12 bedrooms House in Multiple Occupation with shared facilities and a separate self-contained 1 bedroom flat accommodation on part of ground floor,24-Mar-17,Senior Planning Officer - North (CB),38 Murrays Road Douglas Isle Of Man IM2 3HW 
Permitted,17/00165/C,Additional use of residential property for self catering tourist accommodation,12-Apr-17,Director 2017+,34 Mill Street Castletown Isle Of Man IM9 1AG
Permitted,17/00184/B,Erection of front porch and car port,31-Mar-17,Senior Planning Officer - South (SC),Mountain View Main Road Ballaugh Isle Of Man IM7 5EF
Permitted,17/00193/B,Creation of additional off street parking and widening of vehicular access,08-May-17,Senior Planning Officer - North (CB),41 Vicarage Park Douglas Isle Of Man IM2 2QE 
Permitted,17/00225/B,"Installation of replacement rear windows (retrospective), formation of rear window and installation of kitchen extract flue and replacement windows to front elevation",29-Nov-17,Planning Committee,Silvercraigs 27 Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4NF 
Permitted,17/00232/B,Erection of new agricultural building,26-Apr-17,Senior Planning Officer - South (SC),Moaney Moar Farm Ballabooie Road Cronk Y Voddy Kirk Michael Isle Of Man IM6 1HR
Permitted,17/00323/B,Erection of greenhouse on concrete slab base,09-May-17,Director 2017+,Greenbank Tynwald Road Peel Isle Of Man IM5 1JZ
Permitted,17/00362/B,Removal of existing conservatory and erection of a rear extension,03-May-17,Senior Planning Officer - South (SC),38 Carrick Park Sulby Isle Of Man IM7 2EY
Permitted,16/00805/B,Alterations and erection of extension to provide two apartments for tourist accommodation with associated parking,31-Mar-17,Senior Planning Officer - South (SC),Deepdale Laxey Launderette / Complex Glen Road Laxey Isle Of Man IM4 7AB
Permitted,16/01050/B,Erection of detached dwelling with integral garage,10-Mar-17,Planning Committee,Strathallan Cliff House Strathallan Road Onchan Isle Of Man IM3 1NN 
Permitted,17/00428/B,Replacement of three sliding sash windows and two fixed casement windows with like for like hardwood windows,28-Jun-17,Senior Planning Officer - North (CB),Lyndale Glen Wyllin Kirk Michael Isle Of Man IM6 1AN 
Refused,17/00426/B,Replacement of existing sun room with new extension to rear of property,27-Sep-17,Head of Development Management,11 First Avenue Douglas Isle Of Man IM2 6BA
Permitted,17/00470/B,"Installation of window to rear and gable of garage, replacement of garage and workshop door, and installation of interlocking concrete roof tiles to house and garage (all retrospective)",17-Aug-17,Senior Planning Officer - North (CB),Lhergy Vreck Crescent Road Ramsey Isle Of Man IM8 2JR
Permitted,17/00475/B,"Widening of vehicular access, increase in parking area and additional use of existing ancillary accommodation as tourist accommodation",23-Jun-17,Senior Planning Officer - South (SC),The Forge Cronk Y Voddy St Johns Isle Of Man IM4 3NS 
Permitted,17/00476/B,Replacement of ground floor shopfronts and windows to upper floors,14-Jun-17,Senior Planning Officer - North (CB),Balmoral Promenade Port Erin Isle Of Man IM9 6AG
Permitted,17/00477/B,"Part demolition of existing apartments and bungalows and construction of 19 new apartments, refurbishment of 20 existing apartments and alterations to create 6 semi-detached bungalows",18-Jul-17,Planning Committee,Westlands Peel Isle Of Man IM5 1JT
Permitted,17/00482/B,"Enlargement of garage pedestrian access door opening, enlargement of extension window openings and installation of upvc windows/doors to altered openings",14-Jun-17,Senior Planning Officer - North (CB),1 Marina Close Onchan Isle Of Man IM3 4BN
Refused,17/00485/B,Alterations and erection of a two storey front extension and single storey rear extension to dwelling,27-Sep-17,Head of Development Management,58 Summerhill Road Onchan Isle Of Man IM3 1NF
Permitted,16/01293/B,Erection of a balcony extension with store room below,26-Jan-17,Senior Planning Officer - South (SC),The Laurels Croit E Quill Road Laxey Isle Of Man IM4 7JD
Permitted,16/01294/B,"Erection of an agricultural building for grain, feed, fertilizer and farming equipment storage",20-Jan-17,Senior Planning Officer - South (SC),Sound Farm Sound Road Cregneash Isle Of Man IM9 5PZ 
Permitted,16/01295/B,Driveway extension and widening of vehicular access,20-Jan-17,Senior Planning Officer - South (SC),8 Douglas Road Peel Isle Of Man IM5 1JW
Permitted,16/01150/B,Conversion of existing agricultural building into residential property.,17-Aug-17,Senior Planning Officer - North (CB),Ellenbrook Farm Old Castletown Road Douglas Isle Of Man IM4 1AJ 
Permitted,16/01248/C,Change of use of dwelling house to additional use as tourist accommodation,23-Jan-17,Senior Planning Officer - North (CB),5 Shore Road Laxey Isle Of Man IM4 7DJ
Permitted,17/00379/B,Erection of open front porch and additional openings in bedroom over garage,18-Jul-17,Senior Planning Officer - South (SC),3 Parson's Glebe St Johns Isle Of Man IM4 3LT 
Permitted,17/00397/B,Replacement of existing metal skate ramps on tarmac hardstanding with multi use concrete riding bowl,26-May-17,Senior Planning Officer - North (CB),Site At Poulson Park Alexandra Road Castletown Isle Of Man  
Permitted,17/00405/B,Conversion of existing store / retail / craft areas to provide tourist living accommodation,25-Jul-17,Department Application,Silverdale Mill Complex Silverdale Glen Silverdale Road Ballasalla Isle Of Man IM9 3DS
Permitted,17/00407/CON,"Registered Building Application for alterations and additions including conversion of storage to living accommodation, internal refurbishment, replacement of windows and doors, construction of external stores and improvement to access - RB 117 (in connect",16-Jun-17,Senior Planning Officer - South (SC),Kate's Cottage Mountain Road Onchan Isle Of Man IM4 5BP
Permitted,17/00438/B,Replacement of existing annex polycarbonate roof with tiled roof,02-Jun-17,Senior Planning Officer - South (SC),11 Cronk Drean Douglas Isle Of Man IM2 6AX
Permitted,17/00466/B,"Conversion of front section of existing garage to create additional living accommodation, and widening of existing driveway",26-May-17,Senior Planning Officer - North (CB),19 Close Corneil Port Erin Isle Of Man IM9 6BN
Permitted,16/01199/B,Erection of a detached dwelling with associated landscaping and parking.,27-Jan-17,Senior Planning Officer - North (CB),Rose Cottage Lhergy Cripperty Union Mills Isle Of Man IM4 4NF
Permitted,17/00486/B,Installation of two replacement windows and door to front elevation,14-Jun-17,Senior Planning Officer - South (SC),Spyrryd Ny Marrey Old Laxey Hill Laxey Isle Of Man IM4 7BT 
Permitted,17/00487/B,Alterations to existing detached garage to form home office/garden room,14-Jun-17,Senior Planning Officer - South (SC),Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB 
Permitted,17/00518/B,Widening of existing driveway,15-Jun-17,Senior Planning Officer - South (SC),14 Briarfield Avenue Onchan Isle Of Man IM3 3JJ
