Planning Application No,Proposal,Property Address,Decision,Date decision issued
15/01384/B,Erection of a detached split level dwelling with associated access,Plot To Rear Of Moorcroft Tromode Lane Douglas Isle Of Man  ,REF,03-Dec-18
15/01385/B,Erection of a split level dwelling with associated access,Plot To Rear Of Poolaash Tromode Lane  Douglas Isle Of Man  ,REF,03-Dec-18
16/01134/B,New detached house with associated parking,Bailrigg House Ballanard Road Douglas Isle Of Man IM2 5PT,PER,21-May-18
17/00037/B,Alterations and erection of a rear two storey extension,110 Castlemona Avenue Douglas Isle Of Man IM2 4EF,PER,31-Oct-18
17/00144/B,Extension to clubhouse including additional parking and creation of new vehicular exit,St Georges Afc Clubroom Glencrutchery Road Douglas Isle Of Man IM2 6AN,PER,31-Oct-18
17/00190/B,Conversion of outbuilding to provide residential and tourist living accommodation,Detached Outbuilding  1 High Street Port St. Mary Isle Of Man  ,PER,25-May-18
17/00378/B,"Demolition of existing gas store, levelling of site and construction of retaining walls.  Use of site for the medium term storage of site vehicles, containers and building materials",Former Gas Storage Installation Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AG ,PER,15-Aug-18
17/00490/B,Replacement of existing garage with new detached double garage with hobby room above,The Old Rectory Bride Isle Of Man IM7 4AT ,REF,24-Jan-18
17/00495/B,"Alterations and erection of extensions, installation of dormer and retrospective installation of two flues",Cedar Lodge Main Road Union Mills Braddan Isle Of Man IM4 4LW,PER,21-Jun-18
17/00549/B,Removal of existing container and erection of a timber shed/store,Field 132046 Garey Road Garey Ramsey Isle Of Man  ,PER,04-Jan-18
17/00566/A,Approval in principle for the erection of a replacement dwelling with garaging and replacement vehicular access,Walden Phildraw Road Ballasalla Isle Of Man IM9 3EG,PER,03-Apr-18
17/00702/B,Installation of roller shutter curtain to car park entrance,Wharfside Apartments Station Place Peel Isle Of Man  ,PER,30-May-18
17/00711/B,"Alterations and extension to dwelling, erection of a barn incorporating stables, creation of a mange and access alterations",Close Ruish Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AE,PER,08-Mar-18
17/00718/B,Erection of extension to rear of property in place of existing sun room,8 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EH,PER,12-Feb-18
17/00730/B,"Alterations and additions including demolition of existing bathroom, erection of extension and construction of second floor dormer to rear",8 Marsden Terrace Ramsey Isle Of Man IM8 3DS ,PER,08-Mar-18
17/00731/B,"Alterations and additions including demolition of existing bathroom, erection of extension and construction of second floor dormer to rear",9 Marsden Terrace Ramsey Isle Of Man IM8 3DS,PER,08-Mar-18
17/00750/B,Alterations and additions including new garage and new roof over sun room,Dalveitch Sulby Glen Sulby Isle Of Man IM7 2BB,PER,08-Mar-18
17/00809/B,"Extension to shop including window and door alterations, the removal of an existing flue and the use of the site as a petrol station, convenience shop and associated car parking",EVF Petrol Station Main Road Kirk Michael Isle Of Man IM6 2HD,PER,16-Nov-18
17/00828/B,Installation of replacement street lighting,Mines Road From Junction With New Road To Its Junction With Agneash Road Laxey Isle Of Man  ,PER,08-Mar-18
17/00847/B,Conversion and extension of existing barn,Wallberry Farm Old Castletown Road Douglas Isle Of Man IM4 1AQ ,PER,07-Feb-18
17/00875/B,Erection of a car port and retrospective alterations to previously approved PA 13/00589/B including variation of windows and doors and the installation of a flue,Teen Kai Clifton Road Port St. Mary Isle Of Man IM9 5EL,PER,18-Jul-18
