PA Ref,Property Address,PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,Appeal decision
18/00524/B,Field 434021 And 434031 Corner Of Douglas Road And Victoria Road Castletown Isle Of Man  ,"Erection of 96 dwellings with associated roads, car parking and landscaping",Permitted,01-Apr-20,Planning Committee,21-Apr-20,09-Sep-20,Approved at Appeal
18/00750/B,Thie Grianagh Balleira Road Kirk Michael Isle Of Man IM6 1EE,Erection of a replacement detached dwelling with integral garage,Refused,16-Nov-18,Head of Development Management,06-Dec-18,09-Jan-20,Appeal Withdrawn
18/00979/B,Berwyn South Cape Laxey Isle Of Man IM4 7JA ,Erection of a replacement detached dwelling with integral garage,Refused,13-Mar-20,Planning Committee,20-Mar-20,17-Dec-20,Approved at Appeal
18/00987/B,Field 433129 Land Adjacent To Knock Rushen Scarlett Road Castletown Isle Of Man  ,"Erection of 48 dwellings with associated access, parking, open space and landscaping",Refused,30-Jul-19,Planning Committee,12-Aug-19,15-Apr-20,Refused at Appeal
19/00176/B,Beach House Stanley Mount East Ramsey Isle Of Man IM8 1NP,"Alterations, erection of extensions and additional use of residential dwelling as tourist living accommodation",Permitted,15-Nov-19,Planning Committee,06-Dec-19,19-Mar-20,Approved at Appeal
19/00235/CON,Former Farmers Combine Warehouse 33 West Quay Ramsey Isle Of Man  ,Application for the de-registration of the former Farmers Combine Warehouse (19/00293/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,Permitted,15-Oct-19,Department Application,05-Nov-19,26-Nov-20,Approved at Appeal
19/00510/CON,Former Groudle Glen House King Edward Road Onchan Isle Of Man IM3 2JY ,Application for the de-registration of the former Groudle Glen Hotel (19/00287/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,Refused,15-Oct-19,Department Application,18-Oct-19,12-Nov-20,Refused at Appeal
19/00670/B,Sunnyhill Croit E Quill Road Laxey   Isle Of Man IM4 7JJ,"Installation of french doors and balcony to front dormer, replacement roof tiles, and removal of chimney stacks",Refused,23-Jul-19,Principal Planner - South (SC),12-Aug-19,19-Mar-20,Approved at Appeal
19/00755/B,Sea Wall Harris Promenade Douglas Isle Of Man  ,Construction of 500m long reinforced concrete wall 1.2m in height anchored to the existing sea wall to reduce wave overtopping,Refused,11-Oct-19,Planning Committee,31-Jan-19,01-May-20,Approved at Appeal
19/00818/B,Field 430886 Adjacent To Edd Beg (formerly Toms Cottage) Kerrowkeil Road Grenaby Ballasalla Isle Of Man  ,Erection of a detached garage,Refused,07-Nov-19,Principal Planner - South (SC),13-Nov-19,04-Nov-20,Refused at Appeal
19/00858/B,113 Cronk Liauyr Douglas Isle Of Man IM2 5LS,Removal of existing conservatory and erection of single storey extension to the side and rear of property.,Permitted,30-Sep-19,Principal Planner - South (SC),11-Oct-19,17-Dec-20,Approved at Appeal
19/00873/B,Pennybridge Stables Main Road Kirk Michael Isle Of Man IM6 2HD ,Conversion of existing equestrian riding school to provide eight light industrial (Class 5) units,Refused,03-Oct-19,Principal Planner - South (SC),14-Oct-19,03-Sep-20,Refused at Appeal
19/00901/B,Ballacondra Barn Cranstal Bride Isle Of Man IM7 4BP ,Erection of detached garage,Refused,11-Oct-19,Principal Planner - South (SC),23-Oct-19,13-Aug-20,Approved at Appeal
19/00935/B,22 Queen Street Castletown Isle Of Man IM9 1PA,"Alterations, erection of a two storey extension to rear and replacement of existing cement roof slates with natural slate",Refused,11-Oct-19,Planning Committee,22-Oct-19,19-Mar-20,Refused at Appeal
19/00953/B,41 Fairway Drive Ramsey Isle Of Man IM8 2BD,Erection of a detached dwelling with integral garage within garden,Refused,10-Oct-19,Principal Planner - South (SC),29-Oct-19,13-Aug-20,Refused at Appeal
19/01007/B,9 Mourne View Peel Isle Of Man IM5 1UJ,"Alterations and extensions including side/north extension with living accommodation at ground floor and storage at basement level, extension to utility and garage at front, and creation of patio doors in place of window at rear.",Refused,16-Dec-19,Principal Planner- North (CB),20-Dec-19,03-Sep-20,Refused at Appeal
19/01034/B,The Studio 1 Church Close Lonan Laxey Isle Of Man IM4 7JY,Erection of detached garage,Refused,20-Nov-19,Planning Committee,09-Dec-19,04-Nov-20,Approved at Appeal
19/01039/B,Proposed Dwelling At Barroose Farm Barroose House Barroose Road Baldrine Isle Of Man  ,"Erection of dwelling (forming amendments to approved application 09/01334/B) to include swimming pool, roof terrace and associated works.",Refused,25-Oct-19,Principal Planner - South (SC),12-Nov-19,04-Nov-20,Approved at Appeal
19/01082/C,Knockaloe Farm Patrick Village Isle Of Man IM5 3AJ ,Change of use of existing barns to stables,Permitted,28-Apr-20,Department Application,23-Sep-19,19-Mar-20,Department Application Approved
19/01094/B,Stables Rear Of Cooil Avenue Kirk Michael Isle Of Man,Erection of a detached dwelling and associated detached garage,Refused,09-Dec-19,Head of Development Management,23-Dec-19,16-Oct-20,Refused at Appeal
19/01183/B,The Haven Agneash Laxey Isle Of Man IM4 7NS ,Erection of extension to rear elevation,Refused,10-Feb-20,Head of Development Management,14-Feb-20,17-Dec-20,Approved at Appeal
